timestamps,TP9,AF7,AF8,TP10,Right AUX
1728631189.990,-13.184,-39.062,-14.160,8.301,0.000
1728631189.994,-18.555,-48.340,-15.137,-38.086,0.000
1728631189.998,-36.133,-47.852,-12.695,-30.273,0.000
1728631190.002,-45.898,-41.016,-12.207,-9.766,0.000
1728631190.006,-31.250,-44.434,-20.996,-2.930,0.000
1728631190.010,-31.738,-50.293,-30.762,-12.207,0.000
1728631190.014,-37.598,-56.641,-33.691,-42.969,0.000
1728631190.018,-34.668,-64.453,-29.785,-48.828,0.000
1728631190.022,-64.941,-69.824,-33.203,-48.340,0.000
1728631190.026,-61.035,-54.199,-24.414,-28.320,0.000
1728631190.029,-31.738,-42.969,-27.832,-13.184,0.000
1728631190.033,-39.062,-47.363,-49.805,-65.918,0.000
1728631190.037,-39.062,-56.641,-63.965,-89.844,0.000
1728631190.041,-62.500,-56.152,-74.219,-84.961,0.000
1728631190.045,-79.102,-52.734,-70.801,-62.500,0.000
1728631190.049,-54.199,-54.199,-67.871,-43.457,0.000
1728631190.053,-46.387,-42.480,-69.336,-62.012,0.000
1728631190.057,-39.062,-38.574,-67.383,-67.383,0.000
1728631190.061,-55.664,-45.410,-62.500,-57.617,0.000
1728631190.065,-61.523,-42.969,-61.035,-11.719,0.000
1728631190.068,-36.621,-31.738,-61.523,-3.418,0.000
1728631190.072,-32.227,-27.832,-60.059,-29.785,0.000
1728631190.076,-15.137,-32.227,-58.594,-37.598,0.000
1728631190.080,-22.461,-36.621,-54.199,-32.227,0.000
1728631190.084,-34.180,-36.621,-45.898,-5.371,0.000
1728631190.088,-30.273,-25.879,-42.480,8.789,0.000
1728631190.092,-27.344,-27.344,-39.551,-9.277,0.000
1728631190.096,-3.906,-34.668,-39.062,-34.668,0.000
1728631190.100,-2.441,-31.250,-39.551,-49.805,0.000
1728631190.104,-20.020,-35.156,-32.227,-36.133,0.000
1728631190.107,-30.762,-41.504,-31.738,-12.695,0.000
1728631190.111,-33.203,-45.410,-42.480,-32.715,0.000
1728631190.115,-30.762,-39.551,-36.621,-53.711,0.000
1728631190.119,-39.551,-36.133,-40.527,-49.316,0.000
1728631190.123,-49.316,-51.270,-45.898,-45.898,0.000
1728631190.127,-41.504,-61.523,-39.062,-21.973,0.000
1728631190.131,-42.480,-52.246,-41.992,-23.438,0.000
1728631190.135,-39.551,-51.758,-49.316,-41.992,0.000
1728631190.139,-37.598,-51.758,-42.969,-32.227,0.000
1728631190.142,-45.410,-50.293,-35.645,-13.672,0.000
1728631190.146,-25.391,-42.969,-35.645,23.438,0.000
1728631190.150,-32.227,-40.527,-38.086,9.277,0.000
1728631190.154,-56.641,-53.711,-49.805,-43.945,0.000
1728631190.158,-46.875,-49.805,-45.410,-53.223,0.000
1728631190.162,-55.664,-39.551,-36.621,-28.809,0.000
1728631190.166,-53.711,-43.457,-35.645,-18.555,0.000
1728631190.170,-54.688,-42.969,-36.621,-40.039,0.000
1728631190.174,-62.500,-43.945,-40.527,-69.336,0.000
1728631190.178,-60.059,-50.293,-40.527,-74.219,0.000
1728631190.181,-67.871,-48.340,-41.016,-61.035,0.000
1728631190.185,-61.035,-47.363,-40.527,-29.297,0.000
1728631190.189,-45.898,-44.922,-38.086,-39.551,0.000
1728631190.193,-34.668,-41.992,-41.016,-81.543,0.000
1728631190.197,-29.297,-40.039,-43.945,-73.730,0.000
1728631190.201,-38.086,-30.762,-44.434,-49.805,0.000
1728631190.205,-34.180,-20.020,-41.992,-36.133,0.000
1728631190.209,-31.250,-21.973,-54.688,-28.320,0.000
1728631190.213,-33.203,-31.250,-61.035,-52.246,0.000
1728631190.217,-28.320,-35.156,-48.828,-49.805,0.000
1728631190.221,-28.320,-30.273,-48.340,-35.645,0.000
1728631190.225,-5.859,-29.297,-53.223,-21.973,0.000
1728631190.228,2.930,-24.414,-49.316,-5.859,0.000
1728631190.232,2.930,-18.066,-51.758,-34.668,0.000
1728631190.236,14.160,-16.602,-49.805,-34.668,0.000
1728631190.240,-9.277,-24.902,-51.758,-31.738,0.000
1728631190.244,-26.855,-36.133,-50.293,-28.320,0.000
1728631190.248,-11.230,-38.574,-35.156,-2.930,0.000
1728631190.252,-20.996,-43.457,-27.344,-22.461,0.000
1728631190.256,-29.785,-44.434,-35.645,-51.758,0.000
1728631190.260,-38.086,-41.992,-39.062,-35.156,0.000
1728631190.264,-35.156,-39.062,-25.879,-16.113,0.000
1728631190.267,-20.020,-37.109,-15.625,4.395,0.000
1728631190.271,-27.832,-36.133,-20.020,1.465,0.000
1728631190.275,-37.109,-39.551,-25.879,-29.297,0.000
1728631190.279,-42.480,-44.434,-24.414,-44.922,0.000
1728631190.283,-57.129,-44.922,-26.855,-31.738,0.000
1728631190.287,-47.852,-46.387,-29.785,-3.418,0.000
1728631190.291,-34.668,-44.922,-39.062,-19.531,0.000
1728631190.295,-15.625,-49.805,-41.992,-52.246,0.000
1728631190.299,-19.043,-51.270,-36.133,-62.500,0.000
1728631190.303,-58.105,-56.641,-44.434,-21.973,0.000
1728631190.307,-45.410,-61.523,-40.527,10.254,0.000
1728631190.311,-36.133,-62.012,-35.156,-29.297,0.000
1728631190.314,-37.109,-69.336,-45.898,-38.574,0.000
1728631190.318,0.000,-65.430,-49.316,-38.086,0.000
1728631190.322,0.000,-57.617,-43.457,-44.434,0.000
1728631190.326,0.000,-54.688,-36.133,-14.648,0.000
1728631190.330,0.000,-56.152,-38.086,-20.020,0.000
