timestamps,TP9,AF7,AF8,TP10,Right AUX
1728631260.295,-32.715,-22.461,-52.734,-21.973,0.000
1728631260.299,-19.043,-28.320,-49.316,-0.977,0.000
1728631260.302,-29.297,-28.809,-55.664,-36.133,0.000
1728631260.306,-28.320,-22.461,-61.035,-72.754,0.000
1728631260.310,-19.043,-24.902,-60.059,-63.965,0.000
1728631260.314,-5.859,-27.832,-52.734,-17.090,0.000
1728631260.318,-17.578,-30.273,-48.828,-2.441,0.000
1728631260.322,-41.016,-42.480,-51.758,-39.062,0.000
1728631260.326,-32.227,-45.410,-51.758,-50.781,0.000
1728631260.330,-43.457,-37.109,-47.363,-42.480,0.000
1728631260.334,-56.152,-38.086,-35.645,-22.949,0.000
1728631260.338,-36.133,-39.551,-30.762,-4.395,0.000
1728631260.341,-54.199,-35.645,-39.062,-32.715,0.000
1728631260.345,-42.969,-35.645,-45.410,-57.129,0.000
1728631260.349,-31.250,-35.156,-45.898,-41.504,0.000
1728631260.353,-28.320,-31.738,-39.062,-6.836,0.000
1728631260.357,-9.766,-28.809,-32.227,8.789,0.000
1728631260.361,-26.367,-31.738,-46.387,-25.391,0.000
1728631260.365,-33.203,-41.992,-57.129,-49.316,0.000
1728631260.369,-27.832,-52.734,-51.270,-48.828,0.000
1728631260.373,-29.785,-42.480,-42.969,-33.691,0.000
1728631260.377,-20.508,-23.438,-41.504,14.648,0.000
1728631260.381,-33.691,-26.367,-53.711,-7.324,0.000
1728631260.384,-40.039,-40.039,-61.523,-55.176,0.000
1728631260.388,-30.273,-47.363,-62.012,-55.664,0.000
1728631260.392,-26.367,-39.551,-60.059,-43.945,0.000
1728631260.396,-8.789,-29.785,-48.340,-0.977,0.000
1728631260.400,-24.414,-32.227,-42.480,-13.184,0.000
1728631260.404,-35.645,-36.621,-42.480,-53.223,0.000
1728631260.408,-21.973,-34.180,-38.086,-50.293,0.000
1728631260.412,-22.461,-39.062,-37.109,-23.438,0.000
1728631260.416,-23.926,-47.852,-38.086,4.395,0.000
1728631260.420,-45.898,-45.898,-47.852,-13.672,0.000
1728631260.423,-54.688,-39.062,-60.547,-32.227,0.000
1728631260.427,-40.039,-33.203,-50.293,-41.992,0.000
1728631260.431,-33.203,-30.273,-40.527,-53.711,0.000
1728631260.435,-19.043,-34.668,-43.457,-20.996,0.000
1728631260.439,-27.832,-45.410,-44.434,-10.254,0.000
1728631260.443,-37.598,-45.410,-47.363,-39.062,0.000
1728631260.447,-28.320,-45.898,-48.340,-42.480,0.000
1728631260.451,-37.598,-44.922,-44.434,-42.480,0.000
1728631260.455,-22.949,-41.016,-37.109,-5.371,0.000
1728631260.459,-15.625,-43.945,-39.062,17.090,0.000
1728631260.462,-43.457,-37.109,-40.039,-33.691,0.000
1728631260.466,-38.086,-30.273,-35.156,-60.547,0.000
1728631260.470,-32.715,-27.832,-35.156,-51.270,0.000
1728631260.474,-12.695,-20.020,-29.297,-7.324,0.000
1728631260.478,5.859,-19.531,-27.344,20.508,0.000
1728631260.482,-32.227,-27.832,-31.250,-28.809,0.000
1728631260.486,-33.691,-35.645,-31.250,-51.758,0.000
1728631260.490,-15.625,-39.551,-22.461,-37.598,0.000
1728631260.494,-8.789,-36.133,-12.695,-5.859,0.000
1728631260.498,-3.906,-38.086,-19.043,6.836,0.000
1728631260.501,-17.090,-42.480,-33.203,-43.945,0.000
1728631260.505,-19.531,-34.180,-34.180,-58.105,0.000
1728631260.509,-36.133,-23.438,-33.203,-47.363,0.000
1728631260.513,-38.086,-28.320,-32.227,-27.344,0.000
1728631260.517,-18.555,-35.645,-27.832,-3.906,0.000
1728631260.521,-25.879,-31.738,-30.273,-35.645,0.000
1728631260.525,-36.133,-28.320,-35.156,-55.176,0.000
1728631260.529,-39.062,-38.574,-41.016,-40.527,0.000
1728631260.533,-28.809,-47.363,-39.551,-17.090,0.000
1728631260.537,-14.160,-46.875,-39.062,-2.930,0.000
1728631260.541,-28.320,-45.898,-48.828,-41.992,0.000
1728631260.545,-39.062,-39.062,-44.922,-67.383,0.000
1728631260.548,-43.457,-42.969,-39.062,-52.734,0.000
1728631260.552,-41.016,-47.363,-41.504,-35.645,0.000
1728631260.556,-18.555,-43.457,-44.922,-3.418,0.000
1728631260.560,-27.832,-35.156,-43.945,-11.719,0.000
1728631260.564,-35.156,-32.227,-40.527,-42.480,0.000
1728631260.568,-26.367,-33.691,-40.527,-40.039,0.000
1728631260.572,-24.902,-33.203,-37.109,-19.043,0.000
1728631260.576,-6.348,-32.715,-35.156,1.465,0.000
1728631260.580,-14.648,-36.621,-40.527,-25.391,0.000
1728631260.584,-28.320,-38.086,-46.387,-68.848,0.000
1728631260.588,-23.926,-31.738,-42.480,-75.195,0.000
1728631260.592,-30.762,-35.156,-31.738,-41.992,0.000
1728631260.595,-14.160,-43.945,-24.902,-3.418,0.000
1728631260.599,-15.625,-43.945,-22.949,-24.414,0.000
1728631260.603,-33.691,-37.598,-27.344,-64.941,0.000
1728631260.607,-29.297,-35.156,-24.414,-55.664,0.000
1728631260.611,-39.062,-38.086,-24.414,-33.203,0.000
1728631260.615,-29.785,-48.340,-26.855,-4.395,0.000
1728631260.619,-20.020,-51.270,-23.926,2.441,0.000
1728631260.623,-42.969,-47.363,-28.809,-42.480,0.000
1728631260.627,-37.598,-45.898,-24.902,-56.641,0.000
1728631260.631,-42.480,-44.922,-18.066,-39.062,0.000
1728631260.635,-33.203,-42.969,-16.113,0.000,0.000
1728631260.638,-9.277,-30.762,-17.090,15.625,0.000
1728631260.642,-11.230,-27.832,-26.855,-28.809,0.000
1728631260.646,-13.184,-34.180,-27.344,-42.969,0.000
1728631260.650,-43.945,-37.109,-36.621,-28.809,0.000
1728631260.654,-30.762,-41.992,-44.922,8.301,0.000
1728631260.658,-6.836,-38.574,-43.457,12.207,0.000
1728631260.662,-26.855,-28.320,-46.387,-34.180,0.000
1728631260.666,-18.555,-34.180,-45.898,-49.316,0.000
1728631260.670,-21.973,-41.504,-44.434,-51.270,0.000
1728631260.674,-18.066,-38.086,-41.016,-21.484,0.000
1728631260.678,10.254,-26.367,-40.527,11.719,0.000
1728631260.681,-8.301,-16.602,-47.852,-19.531,0.000
1728631260.685,-23.438,-20.508,-43.457,-44.922,0.000
1728631260.689,-24.902,-25.391,-37.598,-32.227,0.000
1728631260.693,-31.250,-30.273,-35.645,-6.836,0.000
1728631260.697,-16.602,-36.621,-20.508,15.137,0.000
1728631260.701,-20.020,-41.016,-20.996,-2.930,0.000
1728631260.705,-29.297,-39.551,-21.973,-35.645,0.000
1728631260.709,-51.758,-45.410,-14.160,-40.527,0.000
