timestamps,TP9,AF7,AF8,TP10,Right AUX
1728626214.516,-58.594,-30.273,-31.250,-39.062,0.000
1728626214.520,-48.828,-43.945,-32.227,0.000,0.000
1728626214.524,-51.758,-49.316,-27.832,-29.297,0.000
1728626214.528,-54.688,-47.363,-31.738,-69.824,0.000
1728626214.531,-36.621,-41.504,-33.203,-54.199,0.000
1728626214.535,-44.922,-43.457,-31.250,-45.410,0.000
1728626214.539,-40.039,-42.480,-21.973,-11.230,0.000
1728626214.543,-40.527,-32.227,-18.066,-1.953,0.000
1728626214.547,-53.223,-31.738,-30.273,-46.875,0.000
1728626214.551,-41.504,-31.738,-37.598,-48.340,0.000
1728626214.555,-45.410,-28.320,-39.551,-40.039,0.000
1728626214.559,-39.062,-23.438,-38.086,-15.625,0.000
1728626214.563,-25.391,-26.855,-32.715,-7.812,0.000
1728626214.567,-42.480,-29.785,-28.320,-52.246,0.000
1728626214.571,-36.133,-20.508,-27.832,-70.801,0.000
1728626214.575,-40.039,-26.367,-35.156,-70.801,0.000
1728626214.579,-37.598,-27.344,-33.203,-35.156,0.000
1728626214.583,-25.391,-20.020,-30.273,-3.906,0.000
1728626214.587,-37.598,-24.414,-41.504,-41.992,0.000
1728626214.590,-33.691,-30.762,-38.086,-63.965,0.000
1728626214.594,-37.109,-35.156,-34.180,-53.223,0.000
1728626214.598,-42.480,-31.738,-39.062,-28.809,0.000
1728626214.602,-28.809,-21.484,-27.344,-10.742,0.000
1728626214.606,-25.391,-22.461,-21.484,-47.852,0.000
1728626214.610,-25.879,-30.273,-28.809,-76.172,0.000
1728626214.614,-52.734,-27.344,-23.438,-64.941,0.000
1728626214.618,-68.359,-35.156,-15.625,-43.945,0.000
1728626214.622,-53.223,-42.480,-23.926,-25.879,0.000
1728626214.626,-65.430,-45.898,-36.133,-60.059,0.000
1728626214.630,-59.570,-47.852,-40.039,-88.379,0.000
1728626214.634,-53.711,-45.410,-41.016,-84.961,0.000
1728626214.638,-59.082,-50.293,-38.086,-58.594,0.000
1728626214.642,-51.270,-49.316,-31.738,-14.160,0.000
1728626214.645,-66.895,-47.852,-32.227,-43.945,0.000
1728626214.649,-61.035,-41.016,-30.273,-85.938,0.000
1728626214.653,-49.805,-40.039,-25.391,-75.195,0.000
1728626214.658,-61.035,-40.527,-24.902,-44.922,0.000
1728626214.662,-45.410,-30.273,-22.461,-13.184,0.000
1728626214.666,-42.480,-30.273,-25.879,-34.668,0.000
1728626214.670,-42.969,-37.109,-34.180,-70.801,0.000
1728626214.674,-36.621,-43.945,-36.621,-74.219,0.000
1728626214.678,-51.270,-43.457,-33.691,-37.598,0.000
1728626214.682,-42.969,-35.645,-28.320,-6.836,0.000
1728626214.686,-32.715,-24.414,-24.902,-22.949,0.000
1728626214.690,-24.902,-22.949,-28.320,-44.922,0.000
1728626214.694,-22.461,-16.113,-33.203,-50.781,0.000
1728626214.698,-40.039,-14.648,-32.227,-30.273,0.000
1728626214.701,-17.090,-19.043,-31.250,1.953,0.000
1728626214.705,-3.906,-17.090,-33.203,-8.789,0.000
1728626214.709,-19.043,-13.672,-40.039,-45.898,0.000
1728626214.713,-19.043,-17.090,-39.551,-50.781,0.000
1728626214.717,-33.203,-26.367,-33.691,-32.227,0.000
1728626214.721,-33.691,-27.344,-31.738,2.930,0.000
1728626214.725,-28.809,-21.973,-30.273,14.648,0.000
1728626214.729,-29.297,-12.695,-36.621,-21.973,0.000
1728626214.733,-10.742,-18.555,-40.527,-43.945,0.000
1728626214.737,-28.809,-28.320,-32.227,-38.574,0.000
1728626214.740,-20.020,-17.090,-29.297,2.930,0.000
1728626214.744,0.488,-7.324,-26.855,22.461,0.000
1728626214.748,-17.578,-12.695,-25.391,-12.695,0.000
1728626214.752,-8.301,-11.719,-26.367,-37.598,0.000
1728626214.756,-19.043,-12.207,-27.832,-36.621,0.000
1728626214.760,-24.414,-22.949,-24.902,-1.953,0.000
1728626214.764,-11.230,-27.344,-15.625,8.301,0.000
1728626214.768,-33.691,-26.367,-20.508,-38.574,0.000
1728626214.772,-25.879,-28.320,-26.367,-60.547,0.000
1728626214.775,-27.832,-33.691,-30.273,-49.805,0.000
1728626214.779,-37.598,-36.133,-24.414,-17.578,0.000
1728626214.783,-19.043,-33.203,-15.137,6.836,0.000
1728626214.787,-25.879,-30.273,-23.438,-19.531,0.000
1728626214.791,-24.414,-21.484,-26.855,-47.363,0.000
1728626214.795,-30.762,-23.926,-22.949,-50.293,0.000
1728626214.799,-49.316,-37.598,-22.949,-20.508,0.000
1728626214.802,-45.410,-39.551,-23.926,-6.348,0.000
1728626214.806,-46.387,-39.062,-28.809,-37.598,0.000
1728626214.810,-35.645,-40.527,-29.297,-50.293,0.000
1728626214.814,-34.180,-37.598,-22.949,-45.898,0.000
1728626214.818,-54.688,-37.109,-19.531,-25.879,0.000
1728626214.822,-34.180,-38.574,-25.879,0.488,0.000
1728626214.826,-41.504,-42.969,-36.621,-35.645,0.000
1728626214.830,-51.758,-49.805,-38.574,-68.848,0.000
1728626214.834,-41.016,-39.551,-36.621,-58.594,0.000
1728626214.838,-40.039,-35.156,-34.668,-25.391,0.000
1728626214.841,-21.484,-36.133,-28.320,1.953,0.000
1728626214.845,-23.926,-36.133,-26.367,-20.508,0.000
1728626214.849,-30.273,-37.598,-28.320,-42.480,0.000
1728626214.853,-29.297,-31.738,-33.203,-49.316,0.000
