timestamps,TP9,AF7,AF8,TP10,Right AUX
1728700150.863,-15.137,-36.133,-17.090,-9.277,0.000
1728700150.867,-1.465,-36.621,-22.949,-2.441,0.000
1728700150.871,-10.254,-37.109,-24.902,-15.137,0.000
1728700150.875,-24.414,-31.738,-23.926,-30.762,0.000
1728700150.879,-38.086,-30.273,-26.855,-37.109,0.000
1728700150.883,-22.461,-32.715,-31.250,-15.137,0.000
1728700150.887,-9.766,-34.668,-36.621,-7.812,0.000
1728700150.891,-8.301,-29.297,-34.180,-10.742,0.000
1728700150.895,-25.879,-27.344,-31.250,-20.020,0.000
1728700150.898,-55.176,-29.785,-30.273,-37.598,0.000
1728700150.902,-36.621,-30.762,-32.227,-12.695,0.000
1728700150.906,-8.301,-32.227,-31.250,2.930,0.000
1728700150.910,-11.230,-30.762,-25.391,-10.742,0.000
1728700150.914,-25.879,-23.926,-24.902,-31.738,0.000
1728700150.918,-52.246,-22.949,-24.414,-51.758,0.000
1728700150.922,-41.016,-26.855,-23.926,-25.391,0.000
1728700150.926,-11.719,-32.227,-24.414,1.465,0.000
1728700150.930,2.930,-35.156,-26.367,0.000,0.000
1728700150.934,-9.277,-25.391,-26.855,-24.902,0.000
1728700150.937,-50.293,-25.879,-29.297,-62.988,0.000
1728700150.941,-45.898,-35.156,-34.180,-42.969,0.000
1728700150.945,-5.371,-41.016,-35.645,-13.184,0.000
1728700150.949,-5.371,-37.109,-35.645,-20.996,0.000
1728700150.953,-18.555,-25.391,-32.715,-25.879,0.000
1728700150.957,-38.574,-21.973,-30.273,-44.434,0.000
1728700150.961,-41.504,-20.996,-29.785,-38.086,0.000
1728700150.965,-6.836,-16.602,-22.949,-7.324,0.000
1728700150.969,-2.930,-22.461,-21.484,-7.812,0.000
1728700150.973,-18.066,-31.738,-27.344,-23.438,0.000
1728700150.977,-34.180,-26.367,-29.785,-47.363,0.000
1728700150.980,-35.156,-22.949,-27.832,-34.180,0.000
1728700150.984,-25.879,-27.832,-30.273,-3.906,0.000
1728700150.988,-14.648,-28.320,-38.086,-11.230,0.000
1728700150.992,-12.207,-27.832,-32.227,-20.508,0.000
1728700150.996,-31.738,-24.414,-28.809,-45.410,0.000
1728700151.000,-34.668,-18.555,-31.738,-49.316,0.000
1728700151.004,-9.766,-16.602,-32.715,-12.207,0.000
1728700151.008,2.441,-11.719,-35.156,-5.371,0.000
1728700151.012,-16.113,-13.672,-39.062,-21.484,0.000
1728700151.016,-41.992,-22.461,-42.969,-48.828,0.000
1728700151.019,-47.852,-28.320,-37.109,-48.828,0.000
1728700151.023,-19.043,-33.691,-30.273,-17.578,0.000
1728700151.027,0.488,-32.227,-27.344,-5.859,0.000
1728700151.031,-7.324,-20.508,-26.855,-8.301,0.000
1728700151.035,-30.762,-16.602,-22.461,-41.016,0.000
1728700151.039,-45.898,-23.926,-22.949,-56.641,0.000
1728700151.043,-16.602,-24.902,-31.250,-28.320,0.000
1728700151.047,3.906,-24.414,-32.715,-18.555,0.000
1728700151.051,-4.395,-24.414,-29.297,-15.137,0.000
1728700151.055,-29.297,-35.645,-30.762,-39.062,0.000
1728700151.058,-42.480,-36.133,-35.156,-59.570,0.000
1728700151.062,-25.879,-27.344,-40.527,-27.832,0.000
1728700151.066,-9.766,-32.715,-43.457,-17.090,0.000
1728700151.070,-15.625,-34.180,-40.527,-21.973,0.000
1728700151.074,-35.156,-35.156,-40.039,-33.691,0.000
1728700151.078,-50.781,-33.203,-45.410,-53.711,0.000
1728700151.082,-31.738,-24.414,-42.480,-33.203,0.000
1728700151.086,-14.648,-21.973,-36.621,-14.648,0.000
1728700151.090,-19.043,-23.438,-35.645,-17.578,0.000
1728700151.094,-18.555,-21.484,-32.715,-30.273,0.000
1728700151.098,-38.574,-22.949,-26.855,-53.223,0.000
1728700151.101,-31.250,-28.320,-23.438,-28.809,0.000
1728700151.105,-8.301,-30.273,-28.320,0.977,0.000
1728700151.109,-8.301,-26.367,-32.227,-17.578,0.000
1728700151.113,-18.555,-26.367,-32.715,-35.645,0.000
1728700151.117,-43.945,-29.785,-25.879,-49.316,0.000
