timestamps,TP9,AF7,AF8,TP10,Right AUX
1728615036.205,-4.395,-27.344,-38.574,-20.020,0.000
1728615036.209,6.836,-15.137,-42.480,-48.828,0.000
1728615036.213,-15.625,-20.508,-41.992,-47.852,0.000
1728615036.217,-42.969,-24.902,-37.109,-26.367,0.000
1728615036.221,-26.855,-28.809,-46.875,-14.648,0.000
1728615036.225,-24.902,-30.762,-55.176,-39.551,0.000
1728615036.229,-15.625,-29.297,-47.852,-60.059,0.000
1728615036.233,-15.625,-31.250,-44.922,-60.547,0.000
1728615036.236,-54.688,-29.297,-38.574,-41.504,0.000
1728615036.240,-47.852,-31.250,-30.273,-8.789,0.000
1728615036.244,-45.898,-33.203,-31.738,-26.367,0.000
1728615036.248,-48.340,-33.203,-35.156,-62.012,0.000
1728615036.252,-41.016,-34.180,-29.297,-60.059,0.000
1728615036.256,-67.871,-30.762,-23.926,-43.945,0.000
1728615036.260,-53.711,-38.086,-29.297,-12.207,0.000
1728615036.264,-34.668,-47.852,-35.645,-19.043,0.000
1728615036.268,-34.180,-41.016,-32.715,-54.199,0.000
1728615036.272,-20.020,-40.039,-28.320,-53.711,0.000
1728615036.275,-47.363,-44.434,-27.832,-37.598,0.000
1728615036.279,-53.711,-37.598,-25.879,-9.766,0.000
1728615036.283,-33.691,-35.645,-24.902,-5.371,0.000
1728615036.287,-28.809,-39.551,-29.785,-44.434,0.000
1728615036.291,-28.809,-37.109,-25.879,-54.199,0.000
1728615036.295,-58.594,-34.180,-24.414,-38.086,0.000
1728615036.299,-58.594,-35.645,-31.250,-18.066,0.000
1728615036.303,-38.574,-48.828,-35.156,-14.648,0.000
1728615036.307,-33.691,-57.617,-32.227,-56.152,0.000
1728615036.310,-14.160,-43.457,-32.227,-70.312,0.000
1728615036.314,-35.156,-31.250,-30.273,-53.223,0.000
1728615036.318,-50.293,-30.273,-25.879,-20.508,0.000
1728615036.322,-31.250,-25.391,-23.438,1.465,0.000
1728615036.326,-37.109,-24.414,-32.715,-46.875,0.000
1728615036.330,-15.625,-30.273,-35.645,-66.895,0.000
1728615036.334,-59.082,-32.715,-34.668,-57.617,0.000
1728615036.338,-80.078,-35.156,-36.133,-32.227,0.000
1728615036.342,-40.527,-39.062,-35.645,-0.488,0.000
1728615036.346,-47.363,-46.875,-33.203,-30.273,0.000
1728615036.350,-29.297,-37.598,-34.180,-57.617,0.000
1728615036.354,-50.293,-34.180,-38.574,-62.012,0.000
1728615036.358,-78.613,-49.805,-34.668,-46.387,0.000
1728615036.361,-37.109,-50.293,-30.273,-10.742,0.000
1728615036.365,-36.621,-43.457,-25.391,-22.461,0.000
1728615036.369,-26.855,-36.133,-28.320,-50.781,0.000
1728615036.373,-40.527,-40.039,-38.574,-57.129,0.000
1728615036.377,-79.102,-47.363,-42.480,-36.133,0.000
1728615036.381,-47.852,-50.293,-39.551,-2.441,0.000
1728615036.385,-34.180,-36.621,-35.645,-19.531,0.000
1728615036.389,-24.414,-29.297,-38.086,-59.082,0.000
1728615036.393,0.000,-37.109,-35.645,-66.406,0.000
1728615036.397,0.000,-36.621,-31.250,-37.109,0.000
1728615036.401,0.000,-37.598,-32.715,0.488,0.000
1728615036.405,0.000,-35.156,-38.574,-17.090,0.000
1728615036.409,0.000,-35.156,-41.992,-45.410,0.000
1728615036.412,0.000,-32.227,-38.574,-64.453,0.000
1728615036.416,0.000,-20.508,-39.551,-62.500,0.000
1728615036.420,0.000,-22.949,-38.086,-16.602,0.000
1728615036.424,0.000,-30.762,-37.598,-16.113,0.000
1728615036.428,0.000,-36.621,-40.527,-53.711,0.000
1728615036.432,0.000,-38.574,-40.527,-61.523,0.000
1728615036.436,0.000,-40.039,-38.574,-46.387,0.000
1728615036.440,-48.340,-37.109,-30.762,-10.254,0.000
1728615036.444,-27.344,-30.273,-25.391,-8.789,0.000
1728615036.448,-34.668,-22.949,-28.320,-38.574,0.000
1728615036.452,-3.418,-20.020,-30.762,-41.504,0.000
1728615036.455,-19.531,-25.879,-28.809,-34.668,0.000
1728615036.459,-22.949,-20.996,-25.391,0.000,0.000
1728615036.463,0.977,-19.043,-32.227,2.930,0.000
1728615036.467,-9.277,-28.809,-44.434,-42.969,0.000
1728615036.471,-3.906,-25.879,-34.668,-57.129,0.000
1728615036.475,-24.414,-25.391,-21.973,-45.410,0.000
1728615036.479,-51.270,-31.250,-24.902,-10.254,0.000
1728615036.483,-32.227,-33.203,-29.785,-0.488,0.000
1728615036.487,-24.902,-31.738,-29.297,-47.363,0.000
1728615036.491,-23.926,-33.691,-34.180,-67.871,0.000
1728615036.495,-42.969,-36.133,-34.180,-57.617,0.000
1728615036.499,-62.500,-41.504,-38.574,-37.598,0.000
1728615036.502,-46.387,-49.805,-43.457,-16.113,0.000
1728615036.506,-46.875,-43.457,-33.691,-36.621,0.000
1728615036.510,-24.414,-34.180,-31.250,-63.477,0.000
1728615036.514,-29.785,-40.039,-40.039,-69.336,0.000
1728615036.518,-57.129,-41.504,-40.039,-40.527,0.000
1728615036.522,-38.086,-35.156,-37.598,-1.953,0.000
1728615036.526,-31.250,-33.691,-40.527,-21.484,0.000
1728615036.530,-19.531,-34.668,-42.480,-51.270,0.000
1728615036.534,-28.320,-36.621,-41.504,-53.223,0.000
1728615036.538,-59.570,-33.691,-44.922,-38.086,0.000
1728615036.542,-38.086,-29.785,-41.992,-4.395,0.000
1728615036.545,-26.855,-21.973,-26.367,-9.277,0.000
1728615036.549,-16.602,-24.414,-31.738,-54.199,0.000
1728615036.553,-20.020,-40.039,-51.758,-61.523,0.000
1728615036.557,-63.965,-36.621,-44.434,-35.645,0.000
1728615036.561,-50.293,-27.344,-33.691,-5.859,0.000
1728615036.565,-26.855,-21.484,-32.715,-16.113,0.000
1728615036.569,-21.484,-25.391,-36.133,-53.223,0.000
1728615036.573,-21.973,-33.691,-39.062,-55.664,0.000
1728615036.577,-51.758,-40.527,-41.992,-42.480,0.000
1728615036.581,-28.809,-35.645,-35.645,-7.812,0.000
1728615036.584,-18.555,-22.949,-27.344,-0.977,0.000
1728615036.588,-43.945,-23.926,-26.367,-48.340,0.000
1728615036.592,-43.457,-19.043,-21.973,-55.664,0.000
1728615036.596,-58.594,-23.926,-28.809,-33.691,0.000
1728615036.600,-46.387,-38.086,-29.297,-1.953,0.000
1728615036.604,-24.902,-36.621,-21.973,4.883,0.000
1728615036.608,-27.832,-35.645,-22.949,-30.273,0.000
1728615036.612,-15.137,-36.133,-20.508,-48.340,0.000
1728615036.616,-34.668,-38.086,-22.461,-43.457,0.000
1728615036.620,-34.668,-41.016,-24.902,-9.277,0.000
1728615036.624,-23.438,-35.645,-24.414,3.418,0.000
1728615036.627,-42.969,-41.016,-31.738,-41.016,0.000
1728615036.631,-31.738,-51.758,-34.668,-59.082,0.000
1728615036.635,-42.480,-46.387,-29.297,-51.270,0.000
1728615036.639,-58.105,-43.945,-29.297,-24.902,0.000
1728615036.643,-37.598,-43.457,-25.879,-8.301,0.000
1728615036.647,-33.691,-35.156,-29.297,-39.062,0.000
1728615036.651,-8.789,-27.344,-31.250,-50.293,0.000
1728615036.655,-25.391,-20.996,-33.203,-45.410,0.000
1728615036.659,-70.801,-23.926,-36.133,-26.367,0.000
1728615036.663,-34.668,-33.691,-39.551,1.465,0.000
1728615036.666,-24.414,-39.551,-44.434,-35.645,0.000
1728615036.670,-20.996,-37.598,-41.504,-66.895,0.000
1728615036.674,-31.250,-45.898,-43.945,-49.316,0.000
1728615036.678,-43.945,-40.527,-41.016,-19.531,0.000
1728615036.682,-19.043,-27.832,-34.668,8.789,0.000
1728615036.686,-24.414,-31.250,-40.527,-18.066,0.000
1728615036.690,-1.953,-23.926,-46.875,-51.758,0.000
1728615036.694,-4.883,-21.973,-43.945,-47.852,0.000
1728615036.698,-47.852,-39.551,-41.992,-20.996,0.000
1728615036.701,-38.086,-37.109,-41.016,4.883,0.000
1728615036.705,-33.203,-23.438,-30.762,-6.836,0.000
1728615036.709,-26.855,-23.926,-29.297,-31.250,0.000
1728615036.713,-21.973,-27.344,-34.180,-41.016,0.000
1728615036.717,-61.523,-26.855,-35.156,-28.809,0.000
1728615036.721,-48.340,-27.344,-25.879,11.719,0.000
1728615036.725,-27.344,-27.832,-23.926,-2.930,0.000
1728615036.729,-20.996,-24.902,-25.879,-43.457,0.000
1728615036.733,-13.672,-34.180,-24.414,-44.434,0.000
1728615036.736,-58.105,-41.992,-27.832,-33.203,0.000
1728615036.740,-48.828,-30.762,-25.879,4.395,0.000
1728615036.744,-34.668,-26.367,-29.297,-1.953,0.000
1728615036.748,-36.133,-28.809,-35.156,-48.340,0.000
1728615036.752,-17.090,-28.809,-36.621,-58.105,0.000
1728615036.756,-52.734,-37.598,-31.250,-45.898,0.000
1728615036.760,-50.293,-39.551,-33.203,-16.602,0.000
1728615036.764,-27.344,-32.715,-41.992,-13.672,0.000
1728615036.768,-34.668,-41.992,-41.992,-48.340,0.000
1728615036.772,-26.367,-43.945,-37.598,-63.477,0.000
1728615036.776,-62.012,-44.922,-41.016,-66.895,0.000
1728615036.780,-75.684,-42.969,-45.898,-42.480,0.000
1728615036.783,-41.992,-33.203,-38.574,-22.949,0.000
1728615036.787,-49.316,-39.062,-34.668,-51.758,0.000
1728615036.791,-37.109,-44.434,-42.480,-67.871,0.000
1728615036.795,-52.246,-47.852,-54.199,-71.289,0.000
1728615036.799,-72.266,-47.852,-52.734,-36.621,0.000
1728615036.803,-48.340,-40.039,-42.480,-5.371,0.000
1728615036.807,-47.852,-41.016,-35.156,-49.316,0.000
1728615036.811,-37.109,-51.270,-41.504,-80.566,0.000
1728615036.815,-46.387,-47.852,-41.992,-69.824,0.000
1728615036.819,-56.152,-35.645,-32.715,-37.598,0.000
1728615036.823,-22.461,-33.691,-34.180,-5.371,0.000
1728615036.827,-27.344,-42.480,-40.039,-31.738,0.000
1728615036.830,-21.484,-37.598,-44.922,-63.965,0.000
1728615036.834,-28.809,-25.879,-52.246,-67.383,0.000
1728615036.838,-68.848,-30.762,-46.875,-40.039,0.000
1728615036.842,-36.133,-31.738,-41.016,-9.277,0.000
1728615036.846,-18.066,-29.297,-51.270,-28.320,0.000
1728615036.850,-14.648,-36.133,-48.340,-57.129,0.000
1728615036.854,-14.648,-33.203,-36.621,-54.199,0.000
1728615036.858,-53.223,-29.785,-36.621,-32.715,0.000
1728615036.862,-38.086,-30.273,-37.598,-10.742,0.000
1728615036.866,-25.879,-26.367,-35.645,-16.602,0.000
1728615036.870,-21.973,-30.273,-34.668,-42.480,0.000
1728615036.873,-21.484,-39.551,-39.551,-56.152,0.000
1728615036.877,-57.129,-40.527,-43.945,-44.922,0.000
1728615036.881,-47.363,-34.180,-43.457,-12.207,0.000
1728615036.885,-22.461,-30.273,-29.785,-7.812,0.000
1728615036.889,-17.578,-42.969,-28.809,-52.246,0.000
1728615036.893,-22.461,-44.922,-47.363,-72.754,0.000
1728615036.897,-62.500,-35.156,-44.434,-57.129,0.000
1728615036.901,-58.105,-41.992,-41.016,-20.508,0.000
1728615036.905,-47.852,-45.410,-42.480,-23.438,0.000
1728615036.909,-49.805,-56.152,-35.156,-69.336,0.000
1728615036.913,-43.457,-60.547,-31.738,-74.707,0.000
1728615036.916,-70.801,-43.945,-34.180,-53.711,0.000
1728615036.920,-62.988,-40.039,-35.645,-21.973,0.000
1728615036.924,-38.086,-38.086,-34.668,-11.230,0.000
1728615036.928,-40.039,-29.785,-35.156,-43.945,0.000
1728615036.932,-20.996,-25.879,-37.598,-63.965,0.000
1728615036.936,-61.035,-27.832,-39.062,-60.547,0.000
1728615036.940,-81.055,-38.086,-41.504,-27.832,0.000
1728615036.944,-45.898,-46.387,-41.016,-8.789,0.000
1728615036.948,-41.504,-52.246,-40.039,-42.480,0.000
1728615036.952,-25.391,-47.363,-34.180,-60.547,0.000
1728615036.955,-46.387,-33.691,-36.621,-57.617,0.000
1728615036.959,-66.895,-31.738,-39.551,-23.926,0.000
1728615036.963,-41.992,-40.039,-38.574,-1.465,0.000
