timestamps,TP9,AF7,AF8,TP10,Right AUX
1728618112.630,-139.160,-99.609,47.852,-109.863,0.000
1728618112.634,-129.395,-98.145,38.086,-109.375,0.000
1728618112.638,-126.465,-97.656,30.762,-95.215,0.000
1728618112.642,-137.207,-97.168,25.879,-82.031,0.000
1728618112.646,-125.488,-93.750,6.348,-73.730,0.000
1728618112.650,-104.980,-89.355,-8.789,-67.871,0.000
1728618112.654,-93.262,-83.984,-3.418,-66.406,0.000
1728618112.657,-89.844,-75.195,3.906,-60.547,0.000
1728618112.661,-89.355,-72.754,8.301,-40.527,0.000
1728618112.665,-85.449,-72.266,-7.812,-40.527,0.000
1728618112.669,-87.402,-71.289,-23.926,-60.547,0.000
1728618112.673,-69.336,-71.777,-16.602,-64.453,0.000
1728618112.677,-58.594,-69.336,-22.949,-47.363,0.000
1728618112.681,-69.336,-65.918,-38.574,-28.809,0.000
1728618112.685,-60.547,-65.918,-29.297,-31.250,0.000
1728618112.689,-44.922,-63.965,-34.668,-24.902,0.000
1728618112.693,-43.945,-58.594,-67.871,-22.461,0.000
1728618112.696,-40.527,-56.641,-54.199,-18.555,0.000
1728618112.700,-49.805,-61.035,-34.668,-2.930,0.000
1728618112.704,-52.246,-61.523,-41.992,-7.324,0.000
1728618112.708,-45.410,-62.988,-33.691,-14.160,0.000
1728618112.712,-39.551,-56.152,-41.992,-31.738,0.000
1728618112.716,-29.785,-51.758,-20.508,-40.039,0.000
1728618112.720,-44.922,-54.688,-13.184,-28.320,0.000
1728618112.724,-46.387,-52.246,-24.902,-36.133,0.000
1728618112.728,-35.645,-52.734,-11.230,-41.016,0.000
1728618112.732,-22.949,-47.363,6.836,-36.133,0.000
1728618112.735,-11.230,-42.480,0.488,-28.320,0.000
1728618112.739,-20.020,-47.363,-25.391,-16.113,0.000
1728618112.743,-32.715,-48.340,-16.602,-23.438,0.000
1728618112.747,-30.762,-43.945,-45.410,-21.484,0.000
1728618112.751,-19.043,-41.504,-78.613,-3.906,0.000
1728618112.755,-21.484,-45.898,-27.344,-15.137,0.000
1728618112.759,-36.621,-50.293,8.301,-24.414,0.000
1728618112.763,-36.133,-50.781,-5.859,-17.090,0.000
1728618112.767,-32.715,-51.758,-33.691,-21.973,0.000
1728618112.771,-29.297,-50.781,-16.113,-25.879,0.000
1728618112.774,-24.414,-46.875,-7.812,-33.203,0.000
1728618112.778,-19.531,-41.504,-25.391,-18.066,0.000
1728618112.782,-21.973,-35.156,-21.973,0.000,0.000
1728618112.786,-26.367,-36.133,-9.766,-9.277,0.000
1728618112.790,-17.090,-41.016,-26.855,-12.695,0.000
1728618112.794,-2.441,-40.039,-67.871,-12.207,0.000
1728618112.798,-6.836,-38.086,-42.480,3.906,0.000
1728618112.802,-27.832,-41.504,-11.230,-10.742,0.000
1728618112.806,-20.996,-39.062,-38.574,-16.602,0.000
1728618112.810,-19.531,-40.527,-58.105,-14.648,0.000
1728618112.814,-16.113,-44.922,-42.480,-27.344,0.000
1728618112.817,-12.695,-41.016,-6.836,-18.066,0.000
1728618112.821,-26.367,-42.480,-4.883,-18.066,0.000
1728618112.825,-27.344,-43.945,-10.254,-15.137,0.000
1728618112.829,-17.090,-36.621,-12.207,-9.277,0.000
1728618112.833,0.977,-26.367,-21.973,-29.297,0.000
1728618112.837,3.418,-25.879,-17.578,-21.484,0.000
1728618112.841,-10.254,-32.227,-18.555,0.977,0.000
1728618112.845,-11.230,-29.785,-26.367,1.953,0.000
1728618112.849,-10.254,-29.297,-38.574,-2.930,0.000
1728618112.852,-6.836,-31.738,-62.012,-12.695,0.000
1728618112.856,-9.766,-30.762,-74.707,-13.672,0.000
1728618112.860,-20.996,-28.809,-56.641,-2.930,0.000
1728618112.864,-11.719,-30.273,-38.574,-0.977,0.000
1728618112.868,-2.930,-36.133,-15.625,-6.348,0.000
1728618112.872,0.000,-41.504,-21.973,-15.625,0.000
1728618112.876,-8.789,-36.133,-39.551,-16.113,0.000
1728618112.880,-19.043,-29.297,-21.484,0.977,0.000
1728618112.884,-16.602,-29.785,-8.789,5.859,0.000
1728618112.888,-9.277,-30.762,-23.438,0.488,0.000
1728618112.892,3.906,-32.227,-26.367,-9.766,0.000
1728618112.896,2.930,-29.297,-7.324,-14.648,0.000
1728618112.899,-15.137,-27.344,-9.277,0.977,0.000
1728618112.903,-13.672,-30.273,-24.902,11.230,0.000
1728618112.907,-6.836,-31.250,-35.156,-3.418,0.000
1728618112.911,2.441,-28.320,-42.969,-16.113,0.000
1728618112.915,9.766,-26.855,-55.664,-11.230,0.000
1728618112.919,-8.789,-24.902,-54.199,0.000,0.000
1728618112.923,-11.719,-23.926,-34.180,0.000,0.000
1728618112.927,0.000,-28.320,-30.762,-6.348,0.000
1728618112.931,13.184,-29.785,-33.203,-18.066,0.000
1728618112.935,36.133,-33.691,-27.344,-0.488,0.000
1728618112.939,40.039,-31.250,-22.949,41.016,0.000
1728618112.943,6.348,-22.949,-31.250,27.344,0.000
1728618112.946,-24.414,-24.902,-36.133,1.465,0.000
1728618112.950,-13.184,-22.949,-43.945,3.906,0.000
1728618112.954,13.672,-16.602,-55.176,5.371,0.000
1728618112.958,22.949,-11.230,-57.617,24.414,0.000
1728618112.962,27.832,-7.812,-60.547,26.855,0.000
1728618112.966,36.133,-2.930,-66.406,15.137,0.000
1728618112.970,42.480,1.465,-71.289,7.812,0.000
1728618112.974,53.711,6.348,-79.590,7.812,0.000
1728618112.978,47.852,14.648,-80.566,25.879,0.000
1728618112.982,35.156,15.137,-83.008,31.738,0.000
1728618112.986,44.434,11.719,-90.820,33.691,0.000
1728618112.989,55.176,13.672,-88.867,38.086,0.000
1728618112.993,77.637,16.602,-84.473,39.551,0.000
1728618112.997,64.453,10.254,-84.473,35.156,0.000
1728618113.001,26.855,8.301,-80.078,25.879,0.000
1728618113.005,24.902,6.348,-81.543,20.508,0.000
1728618113.009,27.344,4.883,-75.195,14.160,0.000
1728618113.013,37.598,7.324,-69.336,0.488,0.000
1728618113.017,38.086,3.418,-73.242,6.836,0.000
1728618113.021,17.578,-2.930,-66.406,10.254,0.000
1728618113.025,10.742,-9.277,-66.406,2.441,0.000
1728618113.029,17.578,-10.254,-69.824,2.930,0.000
1728618113.032,20.020,-9.766,-64.941,-8.789,0.000
1728618113.036,20.996,-13.672,-58.594,3.906,0.000
1728618113.040,-1.465,-21.973,-54.688,20.996,0.000
1728618113.044,-26.855,-23.926,-54.688,1.953,0.000
1728618113.048,-9.277,-21.973,-51.758,-4.395,0.000
1728618113.052,9.766,-22.949,-49.805,-9.766,0.000
1728618113.056,1.953,-24.414,-56.641,-10.254,0.000
1728618113.060,-20.020,-26.367,-68.359,4.883,0.000
1728618113.064,-21.484,-20.508,-67.383,3.418,0.000
1728618113.068,-4.395,-20.996,-51.758,4.395,0.000
1728618113.071,15.625,-23.926,-41.992,-3.418,0.000
1728618113.075,20.996,-22.949,-53.223,-0.977,0.000
1728618113.079,5.371,-20.996,-45.410,11.230,0.000
1728618113.083,3.906,-21.484,-29.297,21.973,0.000
1728618113.087,4.883,-23.438,-41.504,19.531,0.000
1728618113.091,17.090,-19.043,-53.223,-14.648,0.000
1728618113.095,22.949,-19.043,-40.039,-16.602,0.000
1728618113.099,0.488,-21.973,-29.785,0.977,0.000
1728618113.103,-0.488,-23.438,-34.668,-2.930,0.000
1728618113.107,10.742,-22.461,-60.059,-4.395,0.000
1728618113.111,20.508,-20.508,-60.059,-11.719,0.000
1728618113.114,27.344,-21.484,-30.762,-16.602,0.000
1728618113.118,17.090,-18.066,-20.020,2.930,0.000
1728618113.122,5.371,-19.531,-21.973,-2.930,0.000
1728618113.126,5.371,-22.949,-21.484,-5.859,0.000
1728618113.130,4.883,-21.973,-26.855,1.465,0.000
1728618113.134,13.672,-20.020,-30.762,-7.812,0.000
1728618113.138,18.555,-18.066,-47.852,5.859,0.000
1728618113.142,8.301,-19.043,-75.684,11.230,0.000
1728618113.146,-7.324,-22.461,-47.852,-0.488,0.000
1728618113.150,-12.207,-23.926,-20.508,-9.277,0.000
1728618113.153,0.488,-22.461,-51.270,-14.160,0.000
1728618113.157,-2.930,-20.996,-57.129,0.977,0.000
1728618113.161,-14.648,-23.438,-26.367,1.953,0.000
1728618113.165,-9.766,-23.926,-5.859,-2.441,0.000
1728618113.169,4.395,-20.996,-3.906,-1.465,0.000
1728618113.173,9.277,-26.367,-11.230,-8.301,0.000
1728618113.177,-9.277,-35.645,-22.949,-12.695,0.000
1728618113.181,-27.344,-33.691,-30.762,-16.113,0.000
1728618113.185,-19.531,-23.438,-31.738,-17.090,0.000
1728618113.189,-11.719,-20.020,-31.250,-13.184,0.000
1728618113.192,1.465,-22.949,-34.180,-20.508,0.000
1728618113.196,0.000,-20.996,-35.156,-15.625,0.000
1728618113.200,-10.742,-17.090,-31.250,0.000,0.000
1728618113.204,-8.789,-22.461,-37.109,-4.395,0.000
1728618113.208,-11.719,-25.391,-47.363,-19.043,0.000
1728618113.212,3.418,-20.508,-43.945,-27.832,0.000
1728618113.216,10.254,-20.508,-49.805,-6.836,0.000
1728618113.220,-0.977,-24.902,-70.801,5.371,0.000
1728618113.224,-5.371,-28.320,-74.707,-7.812,0.000
1728618113.228,-6.348,-30.762,-39.062,-15.137,0.000
1728618113.231,-4.883,-34.668,-10.254,-26.367,0.000
1728618113.235,-5.371,-37.598,-12.207,-20.508,0.000
1728618113.239,-8.301,-38.574,-10.254,3.906,0.000
1728618113.243,-7.812,-34.180,-12.207,-0.977,0.000
1728618113.247,-19.043,-30.273,-22.949,-25.879,0.000
1728618113.251,-13.672,-27.832,-33.691,-41.504,0.000
1728618113.255,3.418,-20.508,-37.598,-34.668,0.000
1728618113.259,-0.977,-16.113,-37.598,-7.812,0.000
1728618113.263,-10.742,-16.113,-43.457,-1.465,0.000
1728618113.266,-20.020,-20.508,-47.852,-11.230,0.000
1728618113.270,-6.836,-19.043,-52.246,-21.484,0.000
1728618113.274,3.906,-20.020,-48.828,-16.113,0.000
1728618113.278,-2.441,-22.949,-46.387,16.602,0.000
1728618113.282,-8.301,-22.949,-41.992,12.695,0.000
1728618113.286,-6.348,-25.391,-52.734,-15.137,0.000
1728618113.290,0.000,-19.043,-87.402,-24.902,0.000
1728618113.294,0.000,-26.367,-74.219,-25.879,0.000
1728618113.298,-18.066,-36.621,-40.039,-23.438,0.000
1728618113.302,-13.184,-28.320,-35.156,-10.742,0.000
1728618113.306,3.906,-24.414,-34.668,-3.418,0.000
1728618113.310,-0.488,-21.973,-43.457,-17.090,0.000
1728618113.313,-3.418,-20.508,-63.965,-22.949,0.000
1728618113.317,-7.812,-24.902,-54.199,-10.254,0.000
1728618113.321,-11.719,-27.832,-24.414,-8.301,0.000
1728618113.325,-11.719,-32.715,-23.926,-17.090,0.000
1728618113.329,-6.348,-30.273,-31.738,-21.484,0.000
1728618113.333,7.324,-25.879,-36.133,-15.137,0.000
1728618113.337,-1.953,-29.297,-51.758,-5.371,0.000
1728618113.341,-14.160,-29.785,-41.016,-7.324,0.000
1728618113.345,-12.695,-31.738,-15.625,-14.160,0.000
1728618113.349,-5.859,-30.762,-26.855,-21.484,0.000
1728618113.353,8.789,-25.879,-52.246,-17.090,0.000
1728618113.356,-4.395,-29.297,-48.340,-4.395,0.000
1728618113.360,-19.531,-32.715,-25.391,-2.441,0.000
1728618113.364,-5.371,-31.250,-32.715,-1.465,0.000
1728618113.368,7.812,-23.926,-57.617,10.742,0.000
1728618113.372,4.883,-19.531,-70.312,-4.395,0.000
1728618113.376,-3.418,-20.996,-70.312,-0.488,0.000
1728618113.380,-9.277,-26.855,-38.086,1.465,0.000
1728618113.384,3.418,-29.785,-20.508,-14.160,0.000
1728618113.388,-2.930,-24.414,-26.367,-19.531,0.000
1728618113.392,-11.719,-26.367,-13.184,-36.621,0.000
1728618113.396,-11.719,-30.762,1.465,-28.809,0.000
1728618113.399,-18.555,-27.832,-29.297,-4.395,0.000
1728618113.403,12.207,-21.484,-105.957,12.695,0.000
1728618113.407,40.039,-25.879,-60.059,24.902,0.000
1728618113.411,18.555,-41.016,11.230,1.465,0.000
1728618113.415,-23.438,-42.969,-20.996,-12.207,0.000
1728618113.419,-48.828,-39.062,-32.715,-9.766,0.000
1728618113.423,-48.828,-41.992,-23.438,-21.973,0.000
1728618113.427,-46.387,-46.875,1.953,-36.133,0.000
1728618113.431,-62.012,-54.688,-14.648,-70.801,0.000
1728618113.435,-100.098,-64.453,-23.926,-100.586,0.000
1728618113.438,-127.441,-78.125,52.246,-104.980,0.000
1728618113.442,-114.746,-78.613,31.738,-94.238,0.000
1728618113.446,-132.812,-81.543,9.277,-102.539,0.000
1728618113.450,-161.133,-99.121,59.082,-127.441,0.000
1728618113.454,-161.133,-102.539,55.664,-129.395,0.000
1728618113.458,-163.086,-103.027,42.969,-96.680,0.000
1728618113.462,-166.992,-102.539,68.359,-93.262,0.000
1728618113.466,-160.645,-100.586,55.176,-107.910,0.000
1728618113.470,-146.973,-96.680,56.152,-117.676,0.000
1728618113.474,-139.160,-107.422,79.590,-113.770,0.000
1728618113.477,-128.906,-108.887,25.391,-77.148,0.000
1728618113.481,-123.535,-99.121,42.480,-72.754,0.000
1728618113.485,-132.324,-108.398,86.426,-90.332,0.000
1728618113.489,-122.559,-113.770,73.242,-98.145,0.000
1728618113.493,-94.727,-102.051,78.613,-94.238,0.000
1728618113.497,-101.074,-93.750,85.938,-74.219,0.000
1728618113.501,-109.375,-92.285,78.613,-59.570,0.000
1728618113.505,-97.656,-87.402,24.414,-57.129,0.000
1728618113.509,-84.473,-76.172,10.254,-64.453,0.000
1728618113.513,-80.566,-76.172,79.590,-59.570,0.000
1728618113.517,-88.867,-78.125,79.590,-41.504,0.000
1728618113.520,-85.938,-75.195,31.738,-41.016,0.000
1728618113.524,-69.336,-69.336,38.574,-38.574,0.000
1728618113.528,-54.199,-63.965,43.945,-39.551,0.000
1728618113.532,-53.711,-59.570,68.848,-42.969,0.000
1728618113.536,-64.941,-52.734,81.055,-31.250,0.000
1728618113.540,-65.918,-48.828,18.066,-26.855,0.000
1728618113.544,-54.688,-41.992,-30.273,-27.832,0.000
1728618113.548,-49.805,-51.758,3.418,-29.785,0.000
1728618113.552,-40.039,-62.012,59.082,-44.922,0.000
1728618113.556,-39.551,-57.617,115.234,-42.480,0.000
1728618113.559,-48.828,-59.570,99.121,-32.715,0.000
1728618113.563,-39.062,-57.617,32.715,-20.020,0.000
1728618113.567,-32.227,-47.363,12.695,-17.578,0.000
1728618113.571,-38.086,-42.480,42.969,-38.086,0.000
1728618113.575,-47.852,-46.387,71.777,-27.344,0.000
1728618113.579,-51.758,-46.387,53.711,-14.160,0.000
1728618113.583,-39.551,-45.898,21.484,-18.555,0.000
1728618113.587,-23.438,-45.410,52.734,-25.879,0.000
1728618113.591,-5.371,-39.062,75.684,-26.367,0.000
1728618113.594,-7.324,-32.227,26.367,-11.230,0.000
1728618113.598,-10.742,-22.461,5.371,0.000,0.000
1728618113.602,-5.859,-24.414,8.789,2.441,0.000
1728618113.606,-11.719,-36.133,31.250,-15.625,0.000
1728618113.610,-12.695,-39.062,64.941,-37.109,0.000
1728618113.614,-21.484,-38.086,71.777,-27.344,0.000
1728618113.618,-29.785,-37.109,53.711,-2.930,0.000
1728618113.622,-24.902,-37.598,34.180,-2.930,0.000
1728618113.626,-20.996,-36.621,18.066,-8.789,0.000
1728618113.629,-5.859,-35.645,3.418,-10.254,0.000
1728618113.633,-0.488,-36.133,31.738,-15.625,0.000
1728618113.637,-19.043,-37.598,53.223,-20.020,0.000
1728618113.641,-22.461,-33.691,64.941,-14.648,0.000
1728618113.645,-19.043,-35.156,53.711,-11.719,0.000
1728618113.649,-9.766,-37.598,6.348,-10.742,0.000
1728618113.653,0.000,-32.715,16.113,-6.836,0.000
1728618113.657,-16.113,-29.785,66.895,-9.766,0.000
1728618113.661,-19.531,-29.785,63.477,-6.836,0.000
1728618113.665,-6.348,-27.832,45.898,-6.348,0.000
1728618113.669,-7.812,-29.297,52.246,-22.461,0.000
1728618113.673,-19.043,-31.250,43.945,-34.668,0.000
1728618113.676,-34.180,-33.691,18.555,-21.484,0.000
1728618113.680,-37.109,-36.621,3.906,-13.672,0.000
1728618113.684,-19.043,-35.645,-6.836,-9.766,0.000
1728618113.688,-8.301,-34.668,8.789,-23.438,0.000
1728618113.692,-3.418,-37.598,32.227,-30.273,0.000
1728618113.696,-9.277,-35.645,40.039,-12.695,0.000
1728618113.700,-23.438,-32.715,25.879,-14.648,0.000
1728618113.704,-17.090,-32.227,-6.836,-13.184,0.000
1728618113.708,-18.066,-32.715,-5.859,-11.230,0.000
1728618113.712,-21.973,-36.621,3.418,-19.531,0.000
1728618113.716,-27.344,-36.621,-30.762,-2.441,0.000
1728618113.720,-29.297,-33.691,-16.113,-4.395,0.000
1728618113.723,-14.160,-36.133,44.434,-18.066,0.000
1728618113.727,-2.441,-43.945,44.434,-10.742,0.000
1728618113.731,0.488,-47.363,27.832,-16.602,0.000
1728618113.735,-27.344,-44.922,28.320,-30.762,0.000
1728618113.739,-48.340,-42.480,20.020,-32.227,0.000
1728618113.743,-28.809,-41.992,-18.555,-24.414,0.000
1728618113.747,-13.672,-39.062,-19.531,-27.344,0.000
1728618113.751,-10.742,-43.457,23.438,-41.992,0.000
1728618113.755,-40.039,-55.176,35.156,-37.109,0.000
1728618113.759,-54.199,-51.758,15.625,-14.160,0.000
1728618113.763,-47.363,-49.316,-3.418,-14.648,0.000
1728618113.766,-54.199,-59.082,21.973,-34.180,0.000
1728618113.770,-31.250,-57.129,14.648,-33.691,0.000
1728618113.774,-11.230,-46.387,-34.668,-2.930,0.000
1728618113.778,-35.645,-50.781,20.020,0.000,0.000
1728618113.782,-38.574,-53.711,58.105,-18.555,0.000
1728618113.786,-30.273,-42.480,-0.488,-21.484,0.000
1728618113.790,-20.020,-41.992,-57.129,-16.602,0.000
1728618113.794,-6.348,-36.621,-39.551,-7.324,0.000
1728618113.798,-16.602,-27.832,20.020,-8.301,0.000
1728618113.802,-13.184,-42.480,63.477,-5.371,0.000
1728618113.805,-10.742,-61.035,71.777,-2.441,0.000
1728618113.809,-4.883,-58.105,24.414,-9.277,0.000
1728618113.813,-1.953,-47.363,20.996,3.906,0.000
1728618113.817,-6.348,-38.574,55.176,19.043,0.000
1728618113.821,4.395,-36.133,26.367,4.883,0.000
1728618113.825,3.906,-35.156,-25.879,-5.859,0.000
1728618113.829,0.977,-28.809,-21.484,-9.766,0.000
1728618113.833,-0.977,-24.902,2.441,0.000,0.000
1728618113.837,-25.879,-24.414,-6.836,-1.953,0.000
1728618113.841,-30.273,-21.973,-12.207,-17.578,0.000
1728618113.845,-17.090,-38.574,28.809,-25.391,0.000
1728618113.848,-39.551,-46.387,17.578,-41.504,0.000
1728618113.852,-68.359,-2.930,-49.805,-64.453,0.000
1728618113.856,-53.223,-5.859,-39.551,-32.227,0.000
1728618113.860,-33.203,-30.762,-70.801,13.184,0.000
1728618113.864,-14.648,-23.926,-52.734,12.207,0.000
1728618113.868,-21.484,-5.859,24.414,-14.160,0.000
1728618113.872,-61.523,-9.277,59.082,-69.824,0.000
1728618113.876,-64.453,-9.277,41.992,-64.453,0.000
1728618113.880,-20.508,-39.551,48.828,-11.230,0.000
1728618113.884,4.883,-71.777,46.875,-0.488,0.000
1728618113.887,10.742,-29.297,22.461,14.648,0.000
1728618113.891,-0.977,-14.160,20.996,-13.184,0.000
1728618113.895,-13.672,-36.133,-4.395,-28.320,0.000
1728618113.899,10.254,-25.879,1.953,5.859,0.000
1728618113.903,-22.949,-31.738,13.672,-24.902,0.000
1728618113.907,-56.152,-37.598,20.996,-51.270,0.000
1728618113.911,-74.219,-33.203,-6.836,-61.523,0.000
1728618113.915,-41.016,-86.914,-5.859,-25.879,0.000
1728618113.919,-40.039,-130.859,11.230,-29.785,0.000
1728618113.923,-32.715,-131.836,60.547,-28.809,0.000
1728618113.926,15.625,-187.012,101.074,16.113,0.000
1728618113.930,-32.715,-236.816,35.645,-41.504,0.000
1728618113.934,-62.012,-230.469,-11.230,-62.988,0.000
1728618113.938,-60.547,-285.645,-52.246,-51.758,0.000
1728618113.942,-55.664,-350.586,-31.250,-45.898,0.000
1728618113.946,-67.871,-376.465,39.062,-55.664,0.000
1728618113.950,-70.312,-450.684,45.898,-80.078,0.000
1728618113.954,-54.199,-505.371,12.207,-70.801,0.000
1728618113.958,-56.641,-559.570,23.438,-55.176,0.000
1728618113.961,-50.293,-635.254,59.082,-59.082,0.000
1728618113.965,-74.219,-688.477,48.828,-68.359,0.000
1728618113.969,-102.051,-726.562,-10.254,-93.750,0.000
1728618113.973,-104.004,-813.965,-37.598,-93.262,0.000
1728618113.977,-98.145,-886.719,-1.953,-68.359,0.000
1728618113.981,-105.469,-928.711,1.953,-86.914,0.000
1728618113.985,-104.492,-984.863,-0.488,-99.121,0.000
1728618113.989,-82.520,-1000.000,13.672,-100.098,0.000
1728618113.993,-71.777,-999.023,10.742,-91.797,0.000
1728618113.996,-66.895,-1000.000,20.020,-65.430,0.000
1728618114.000,-68.848,-1000.000,34.668,-63.965,0.000
1728618114.004,-67.383,-1000.000,19.531,-64.941,0.000
1728618114.008,-56.152,-1000.000,-1.465,-70.801,0.000
1728618114.012,-63.965,-1000.000,-15.625,-74.707,0.000
1728618114.016,-82.520,-1000.000,1.465,-62.988,0.000
1728618114.020,-94.238,-1000.000,8.301,-85.449,0.000
1728618114.024,-102.051,-1000.000,-19.043,-91.309,0.000
