timestamps,TP9,AF7,AF8,TP10,Right AUX
1728631789.158,-37.598,-29.297,-33.203,-38.574,0.000
1728631789.161,-49.805,-21.973,-37.598,-46.387,0.000
1728631789.165,-34.180,-28.320,-35.156,-41.016,0.000
1728631789.169,-14.648,-43.945,-27.344,-34.180,0.000
1728631789.173,-24.902,-47.363,-24.902,-35.156,0.000
1728631789.177,-45.898,-42.480,-25.879,-37.109,0.000
1728631789.181,-61.523,-43.945,-32.715,-47.363,0.000
1728631789.185,-33.691,-53.223,-28.320,-37.598,0.000
1728631789.189,-3.906,-59.082,-27.344,-15.137,0.000
1728631789.193,-8.301,-51.270,-30.273,-17.578,0.000
1728631789.197,-25.391,-32.715,-38.086,-27.344,0.000
1728631789.201,-37.598,-23.926,-39.551,-31.738,0.000
1728631789.204,0.000,-18.555,-32.715,-42.969,0.000
1728631789.208,0.000,-12.207,-29.785,-40.527,0.000
1728631789.212,0.000,-19.043,-26.367,-35.645,0.000
1728631789.216,0.000,-25.879,-22.461,-29.297,0.000
1728631789.220,0.000,-38.086,-35.645,-33.203,0.000
1728631789.224,0.000,-44.434,-49.316,-45.898,0.000
1728631789.228,0.000,-22.461,-42.969,-43.457,0.000
1728631789.232,0.000,-13.672,-38.574,-39.062,0.000
1728631789.236,0.000,-30.762,-50.293,-44.922,0.000
1728631789.240,0.000,-29.297,-52.734,-55.176,0.000
1728631789.243,0.000,-15.625,-49.805,-53.223,0.000
1728631789.247,0.000,-20.020,-57.617,-48.340,0.000
1728631789.251,-20.020,-28.809,-65.430,-58.105,0.000
1728631789.255,-34.668,-31.738,-50.293,-55.176,0.000
1728631789.259,-49.805,-34.668,-41.016,-41.992,0.000
1728631789.263,-48.340,-37.598,-43.457,-45.898,0.000
1728631789.267,-33.691,-33.691,-40.039,-51.270,0.000
1728631789.271,-18.066,-31.738,-48.828,-50.293,0.000
1728631789.275,-20.020,-31.738,-58.594,-48.828,0.000
1728631789.278,-45.410,-35.156,-55.176,-51.270,0.000
1728631789.282,-57.129,-38.086,-45.410,-46.875,0.000
1728631789.286,-35.156,-31.738,-38.086,-36.621,0.000
1728631789.290,-12.695,-37.109,-42.480,-31.738,0.000
1728631789.294,-27.344,-50.293,-61.035,-42.969,0.000
1728631789.298,-57.129,-43.945,-56.641,-53.223,0.000
1728631789.302,-59.082,-40.039,-45.410,-57.129,0.000
1728631789.306,-34.668,-57.617,-38.086,-46.875,0.000
1728631789.309,-22.461,-59.082,-28.320,-29.297,0.000
1728631789.313,-28.320,-36.621,-20.996,-29.297,0.000
1728631789.317,-48.828,-28.320,-21.973,-36.133,0.000
1728631789.321,-61.035,-33.203,-27.832,-37.109,0.000
1728631789.325,-40.527,-34.668,-34.668,-25.391,0.000
1728631789.329,-18.555,-28.320,-39.062,-21.484,0.000
1728631789.333,-21.484,-28.809,-34.668,-18.555,0.000
1728631789.337,-37.598,-28.809,-36.621,-26.367,0.000
1728631789.341,-36.621,-37.109,-35.645,-33.691,0.000
1728631789.344,-25.879,-40.527,-26.855,-35.156,0.000
1728631789.348,-14.648,-37.109,-19.043,-32.715,0.000
1728631789.352,-12.695,-36.133,-29.297,-28.320,0.000
1728631789.356,-33.203,-23.438,-41.016,-34.180,0.000
1728631789.360,-56.152,-17.090,-45.410,-53.223,0.000
1728631789.364,-43.945,-21.973,-43.945,-58.105,0.000
1728631789.368,-27.832,-23.438,-41.016,-45.898,0.000
1728631789.372,-37.109,-20.508,-46.387,-41.504,0.000
1728631789.375,-60.059,-33.203,-55.664,-48.340,0.000
1728631789.379,-65.918,-51.758,-60.059,-61.523,0.000
1728631789.383,-48.340,-48.340,-51.758,-51.270,0.000
1728631789.387,-39.551,-25.391,-39.551,-34.180,0.000
1728631789.391,-35.156,-23.438,-34.180,-32.227,0.000
1728631789.395,-41.992,-41.992,-34.180,-31.250,0.000
1728631789.399,-67.871,-34.668,-39.062,-41.992,0.000
1728631789.403,-75.684,-35.645,-41.016,-52.246,0.000
1728631789.407,-48.340,-39.062,-37.598,-46.387,0.000
1728631789.411,-23.438,-35.156,-38.086,-40.527,0.000
