timestamps,TP9,AF7,AF8,TP10,Right AUX
1728699847.788,-10.742,-29.785,-35.156,-20.508,0.000
1728699847.792,-44.434,-22.461,-32.227,-48.340,0.000
1728699847.796,-54.199,-22.461,-25.879,-53.711,0.000
1728699847.800,-23.438,-23.926,-28.809,-17.578,0.000
1728699847.804,0.488,-21.484,-30.273,3.418,0.000
1728699847.808,-2.441,-21.484,-33.691,-5.859,0.000
1728699847.812,-34.180,-24.414,-35.156,-39.551,0.000
1728699847.816,-56.152,-24.902,-31.250,-46.387,0.000
1728699847.820,-34.180,-26.855,-30.273,-15.625,0.000
1728699847.824,-8.789,-25.879,-30.273,3.906,0.000
1728699847.827,-4.883,-22.949,-28.809,1.953,0.000
1728699847.831,-31.250,-29.297,-22.461,-31.250,0.000
1728699847.835,-54.688,-33.203,-26.855,-52.734,0.000
1728699847.839,-33.691,-34.180,-34.180,-19.531,0.000
1728699847.843,-8.301,-33.203,-33.691,-0.488,0.000
1728699847.847,-13.672,-36.133,-33.203,-9.766,0.000
1728699847.851,-41.016,-36.133,-34.668,-37.598,0.000
1728699847.855,-64.941,-34.668,-33.203,-60.547,0.000
1728699847.859,-47.852,-37.109,-35.156,-30.273,0.000
1728699847.863,-18.066,-37.109,-37.109,-8.789,0.000
1728699847.867,-9.766,-32.715,-36.621,-24.902,0.000
1728699847.870,-22.949,-29.297,-35.645,-46.387,0.000
1728699847.874,-48.828,-29.297,-37.109,-67.383,0.000
1728699847.878,-35.645,-32.227,-37.109,-38.086,0.000
1728699847.882,-11.719,-36.133,-36.133,-14.648,0.000
1728699847.886,-5.859,-35.156,-34.180,-18.066,0.000
1728699847.890,-20.020,-33.203,-30.273,-26.855,0.000
1728699847.894,-59.570,-30.762,-35.156,-56.152,0.000
1728699847.898,-54.199,-28.320,-35.645,-42.969,0.000
1728699847.902,-16.602,-26.367,-29.785,-9.277,0.000
1728699847.906,-14.648,-24.414,-28.809,-8.301,0.000
1728699847.910,-38.086,-27.832,-27.832,-43.457,0.000
1728699847.913,-62.988,-32.227,-24.414,-76.660,0.000
1728699847.917,-54.199,-32.227,-27.344,-51.758,0.000
1728699847.921,-16.602,-26.855,-30.762,-11.230,0.000
1728699847.925,-2.441,-29.785,-32.715,-19.531,0.000
1728699847.929,-27.832,-31.738,-32.715,-36.133,0.000
1728699847.933,-63.965,-32.227,-27.832,-56.641,0.000
1728699847.937,-57.617,-33.203,-32.227,-59.082,0.000
1728699847.941,-18.066,-27.832,-33.691,-23.926,0.000
1728699847.945,-4.395,-28.809,-31.738,-19.043,0.000
1728699847.949,-9.277,-31.738,-29.785,-33.203,0.000
1728699847.953,-36.621,-32.227,-26.855,-59.082,0.000
1728699847.956,-52.246,-30.762,-25.879,-61.523,0.000
1728699847.960,-15.625,-32.715,-30.762,-20.996,0.000
1728699847.964,-5.859,-37.598,-31.738,-6.836,0.000
1728699847.968,-32.715,-37.109,-31.738,-23.926,0.000
1728699847.972,-63.965,-39.062,-33.203,-52.246,0.000
1728699847.976,-77.637,-35.645,-32.227,-58.105,0.000
1728699847.980,-36.621,-34.180,-31.738,-27.344,0.000
1728699847.984,-11.719,-33.203,-28.320,-18.066,0.000
1728699847.988,-19.043,-25.391,-31.250,-29.785,0.000
1728699847.992,-34.668,-27.832,-38.086,-45.898,0.000
1728699847.996,-51.758,-35.645,-35.156,-45.410,0.000
1728699847.999,-22.461,-26.855,-23.438,-9.766,0.000
1728699848.003,7.812,-20.508,-24.902,2.441,0.000
1728699848.007,-2.441,-23.438,-33.203,-4.883,0.000
1728699848.011,-31.250,-26.367,-41.016,-25.879,0.000
1728699848.015,-56.641,-28.320,-38.086,-50.293,0.000
1728699848.019,-33.691,-29.785,-30.762,-23.926,0.000
1728699848.023,-6.836,-27.344,-39.062,-6.348,0.000
1728699848.027,-15.625,-30.273,-44.922,-10.254,0.000
1728699848.031,-37.598,-33.203,-37.598,-35.156,0.000
1728699848.035,-49.805,-28.320,-37.598,-53.223,0.000
1728699848.039,-20.508,-32.227,-42.480,-19.043,0.000
1728699848.042,4.883,-34.668,-38.086,-0.977,0.000
1728699848.046,-0.977,-30.762,-37.598,-8.301,0.000
1728699848.050,-33.203,-37.109,-36.133,-38.086,0.000
1728699848.054,-61.523,-42.969,-33.203,-48.828,0.000
1728699848.058,-40.527,-37.109,-40.039,-18.555,0.000
1728699848.062,-8.789,-28.809,-40.039,-4.883,0.000
1728699848.066,3.906,-26.367,-36.133,-5.371,0.000
1728699848.070,-0.977,-33.691,-32.715,-8.301,0.000
1728699848.074,-37.109,-43.457,-21.484,-35.156,0.000
1728699848.078,-50.781,-47.363,-18.066,-41.992,0.000
1728699848.081,-26.367,-50.293,-12.207,-19.531,0.000
1728699848.085,-16.602,-51.758,-16.602,-16.113,0.000
1728699848.089,-47.852,-54.688,-24.902,-41.016,0.000
1728699848.093,-97.656,-62.012,-30.273,-80.078,0.000
1728699848.097,-101.074,-65.430,-27.344,-74.219,0.000
1728699848.101,-76.172,-65.918,-16.602,-39.551,0.000
1728699848.105,-67.871,-70.312,-12.207,-43.457,0.000
1728699848.109,-94.727,-69.336,4.883,-80.078,0.000
1728699848.113,-145.020,-73.242,13.672,-108.398,0.000
1728699848.117,-146.973,-81.055,14.160,0.000,0.000
1728699848.121,-112.305,-81.055,6.348,0.000,0.000
1728699848.124,-98.145,-80.078,-28.320,0.000,0.000
1728699848.128,-112.793,-81.543,-37.109,0.000,0.000
1728699848.132,-143.066,-83.008,15.137,0.000,0.000
1728699848.136,-152.832,-92.285,62.988,0.000,0.000
1728699848.140,-114.746,-96.191,62.988,0.000,0.000
1728699848.144,-91.797,-98.145,36.133,0.000,0.000
1728699848.148,-114.258,-99.609,28.320,0.000,0.000
1728699848.152,-136.230,-96.680,40.527,0.000,0.000
1728699848.156,-125.977,-93.750,51.758,0.000,0.000
1728699848.160,-82.520,-89.844,41.992,0.000,0.000
1728699848.164,-55.664,-84.473,6.836,-19.531,0.000
1728699848.167,-60.059,-74.707,-2.441,-25.879,0.000
1728699848.171,-82.031,-71.777,5.859,-64.453,0.000
1728699848.175,-100.586,-75.684,17.090,-76.660,0.000
1728699848.179,-71.777,-75.684,35.645,-33.203,0.000
1728699848.183,-35.645,-68.848,23.926,-5.859,0.000
1728699848.187,-24.414,-60.059,8.301,-3.906,0.000
1728699848.191,-41.016,-65.430,10.742,-25.879,0.000
1728699848.195,-60.547,-67.383,5.371,-48.828,0.000
1728699848.199,-41.504,-57.129,1.953,-7.812,0.000
1728699848.203,-15.625,-53.223,11.719,14.648,0.000
1728699848.206,-14.648,-54.688,13.184,2.441,0.000
1728699848.210,-35.156,-56.641,10.254,-13.672,0.000
1728699848.214,-62.012,-57.129,12.695,-31.738,0.000
1728699848.218,-37.109,-48.828,5.371,-1.465,0.000
1728699848.222,1.953,-37.598,-27.832,29.785,0.000
1728699848.226,1.465,-37.598,-15.625,20.020,0.000
1728699848.230,-23.438,-52.246,21.484,-12.695,0.000
1728699848.234,-50.781,-54.199,3.906,-32.227,0.000
1728699848.238,-29.297,-41.016,-27.832,-4.395,0.000
1728699848.242,0.000,-39.062,-10.254,14.160,0.000
1728699848.246,-4.395,-41.992,8.301,1.465,0.000
1728699848.249,-14.160,-35.645,4.883,-17.090,0.000
1728699848.253,-40.527,-33.691,-8.301,-37.598,0.000
1728699848.257,-35.156,-35.645,-14.648,-17.578,0.000
1728699848.261,-2.930,-32.715,-1.953,13.184,0.000
1728699848.265,-4.883,-34.180,-13.672,11.719,0.000
1728699848.269,-19.531,-34.668,-41.992,-8.789,0.000
1728699848.273,-46.875,-37.109,-39.551,-47.852,0.000
1728699848.277,-49.805,-41.504,-16.113,-31.250,0.000
1728699848.281,-18.066,-43.457,1.953,3.418,0.000
1728699848.285,-8.301,-43.457,-0.977,1.953,0.000
1728699848.289,-28.809,-41.016,-8.789,-16.602,0.000
1728699848.292,-56.152,-42.480,-16.113,-46.387,0.000
1728699848.296,-43.457,-41.504,-29.297,-20.508,0.000
1728699848.300,-10.254,-36.621,-29.785,7.324,0.000
1728699848.304,0.000,-38.574,-20.996,-0.488,0.000
1728699848.308,-11.719,-42.480,-19.043,-9.766,0.000
1728699848.312,-52.246,-44.434,-16.113,-43.945,0.000
1728699848.316,-53.711,-34.668,-16.602,-40.527,0.000
1728699848.320,-18.066,-28.809,-19.531,-3.418,0.000
1728699848.324,-1.953,-36.621,-40.527,1.465,0.000
1728699848.328,-3.906,-35.645,-39.062,-13.672,0.000
1728699848.332,-42.480,-33.691,-18.555,-55.176,0.000
1728699848.335,-53.223,-37.109,-13.672,-57.617,0.000
1728699848.339,-7.324,-32.715,-17.090,-3.418,0.000
1728699848.343,13.184,-28.320,-26.855,7.324,0.000
1728699848.347,2.441,-30.762,-24.414,-9.277,0.000
1728699848.351,-26.855,-29.297,-25.879,-36.133,0.000
1728699848.355,-51.270,-29.785,-41.992,-43.945,0.000
1728699848.359,-15.625,-31.738,-35.156,-4.883,0.000
1728699848.363,14.648,-28.320,-35.645,10.742,0.000
1728699848.367,0.488,-24.902,-46.875,-2.441,0.000
1728699848.371,-29.297,-27.344,-37.109,-27.832,0.000
1728699848.375,-47.852,-25.879,-29.297,-41.992,0.000
1728699848.378,-19.043,-24.414,-27.344,-13.672,0.000
1728699848.382,15.625,-28.320,-22.461,11.719,0.000
1728699848.386,7.812,-28.320,-23.438,8.301,0.000
1728699848.390,-26.855,-23.438,-31.738,-25.879,0.000
1728699848.394,-49.805,-24.902,-32.227,-41.504,0.000
1728699848.398,-27.832,-29.785,-28.809,-10.254,0.000
1728699848.402,-1.953,-28.809,-33.691,-3.906,0.000
1728699848.406,-7.324,-27.344,-37.598,-20.508,0.000
1728699848.410,-29.785,-28.320,-38.086,-43.457,0.000
1728699848.414,-55.664,-30.273,-38.086,-55.664,0.000
1728699848.418,-36.621,-24.902,-37.598,-23.438,0.000
1728699848.421,-6.348,-24.414,-40.039,-7.812,0.000
1728699848.425,-7.324,-28.809,-41.016,-19.531,0.000
1728699848.429,-23.926,-27.344,-31.738,-20.996,0.000
1728699848.433,-53.223,-27.344,-29.297,-54.199,0.000
1728699848.437,-35.156,-27.344,-29.297,-46.875,0.000
1728699848.441,1.465,-26.855,-27.832,-14.648,0.000
1728699848.445,7.324,-24.902,-20.508,-11.230,0.000
1728699848.449,-10.742,-27.344,-22.461,-26.855,0.000
1728699848.453,-48.828,-27.832,-33.691,-60.547,0.000
1728699848.457,-42.480,-24.902,-31.738,-45.410,0.000
1728699848.461,0.000,-23.926,-33.691,-7.812,0.000
1728699848.464,9.766,-25.391,-28.809,-6.836,0.000
1728699848.468,-10.742,-27.344,-19.043,-19.043,0.000
1728699848.472,-51.758,-28.320,-25.391,-39.551,0.000
1728699848.476,-53.223,-31.250,-33.691,-32.227,0.000
1728699848.480,-12.207,-30.273,-28.809,-8.789,0.000
1728699848.484,-1.465,-25.391,-27.344,-10.742,0.000
1728699848.488,-12.695,-24.414,-32.715,-20.508,0.000
1728699848.492,-37.598,-24.902,-31.250,-49.316,0.000
1728699848.496,-46.387,-29.785,-20.508,-54.199,0.000
1728699848.500,-17.090,-28.320,-21.973,-8.301,0.000
1728699848.503,-5.371,-25.879,-31.250,4.395,0.000
1728699848.507,-13.184,-27.832,-26.367,-10.742,0.000
1728699848.511,-44.922,-29.785,-12.695,-43.945,0.000
1728699848.515,-48.828,-30.273,-17.578,-46.875,0.000
1728699848.519,-14.160,-30.273,-34.180,0.977,0.000
1728699848.523,-9.277,-33.203,-35.645,-14.160,0.000
1728699848.527,-27.344,-41.016,-29.785,-50.293,0.000
1728699848.531,-40.039,-32.227,-20.996,-37.598,0.000
1728699848.535,-42.480,-25.879,-25.391,-25.391,0.000
1728699848.539,-4.395,-27.344,-29.297,4.395,0.000
1728699848.543,22.461,-23.926,-23.438,31.738,0.000
1728699848.546,-4.395,-26.855,-19.531,6.836,0.000
1728699848.550,-73.242,-39.551,-10.742,-61.035,0.000
1728699848.554,-95.703,-45.898,-11.230,-85.449,0.000
1728699848.558,-44.922,-45.410,-14.648,-32.227,0.000
1728699848.562,-27.832,-42.969,-14.160,-6.836,0.000
1728699848.566,-26.855,-34.668,-32.227,1.465,0.000
1728699848.570,-64.941,-49.316,-14.648,-38.086,0.000
1728699848.574,-108.398,-70.801,16.602,-111.816,0.000
1728699848.578,-69.336,-66.895,-3.418,-86.426,0.000
1728699848.582,-33.691,-49.316,-26.855,-44.922,0.000
1728699848.586,-50.293,-42.480,-26.855,-51.758,0.000
1728699848.589,-79.102,-48.340,-24.414,-71.289,0.000
1728699848.593,-103.516,-62.012,-14.648,-93.750,0.000
1728699848.597,-47.363,-52.246,-34.180,-56.641,0.000
1728699848.601,-0.488,-31.738,-40.039,-23.926,0.000
1728699848.605,-16.113,-33.203,-7.812,-20.508,0.000
1728699848.609,-43.457,-53.711,24.414,-33.691,0.000
1728699848.613,-88.867,-56.641,15.137,-79.590,0.000
1728699848.617,-84.961,-41.016,13.184,-90.332,0.000
1728699848.621,-61.523,-41.016,35.156,-58.594,0.000
1728699848.625,-53.711,-49.316,38.086,-42.480,0.000
