timestamps,TP9,AF7,AF8,TP10,Right AUX
1728625524.444,-42.480,-39.062,-47.852,-8.301,0.000
1728625524.448,-39.062,-36.133,-45.898,-48.828,0.000
1728625524.452,-27.344,-33.203,-48.340,-74.707,0.000
1728625524.456,-36.133,-41.504,-44.434,-69.336,0.000
1728625524.460,-47.852,-36.133,-40.039,-40.039,0.000
1728625524.464,-29.297,-29.297,-40.527,-4.883,0.000
1728625524.468,-32.715,-41.992,-44.922,-22.949,0.000
1728625524.471,-13.672,-45.410,-43.945,-45.898,0.000
1728625524.475,-11.230,-35.645,-40.039,-32.227,0.000
1728625524.479,-46.387,-38.086,-35.156,-5.371,0.000
1728625524.483,-39.551,-39.551,-32.227,16.602,0.000
1728625524.487,-41.992,-44.922,-33.691,-2.441,0.000
1728625524.487,-41.992,-44.922,-33.691,-2.441,0.000
1728625524.491,-37.109,-55.664,-35.645,-44.922,0.000
1728625524.495,-16.113,-56.641,-33.691,-43.457,0.000
1728625524.499,-24.902,-44.434,-30.273,-17.578,0.000
1728625524.503,-29.785,-35.645,-24.902,13.672,0.000
1728625524.507,-40.527,-39.062,-28.320,-10.742,0.000
1728625524.510,-32.227,-35.156,-31.250,-54.199,0.000
1728625524.514,-16.113,-28.320,-23.926,-40.039,0.000
1728625524.518,-46.387,-36.621,-26.367,-30.762,0.000
1728625524.522,-53.711,-40.527,-32.227,-19.043,0.000
1728625524.526,-49.316,-47.363,-33.203,-22.949,0.000
1728625524.530,-40.039,-50.781,-41.016,-64.941,0.000
1728625524.534,-28.320,-42.480,-43.457,-74.219,0.000
1728625524.538,-63.965,-35.645,-41.504,-55.664,0.000
1728625524.542,-57.617,-29.297,-35.156,-11.230,0.000
1728625524.546,-41.016,-31.738,-36.133,-18.066,0.000
1728625524.550,-50.781,-41.504,-41.992,-62.012,0.000
1728625524.554,-41.016,-40.527,-42.969,-71.289,0.000
1728625524.557,-43.945,-41.992,-46.387,-43.945,0.000
1728625524.561,-44.922,-31.738,-41.016,-3.418,0.000
1728625524.565,-50.293,-23.926,-36.133,-12.695,0.000
1728625524.569,-44.922,-33.691,-43.457,-50.293,0.000
1728625524.573,-19.043,-38.086,-48.340,-60.059,0.000
1728625524.577,-45.410,-39.551,-47.363,-38.574,0.000
1728625524.581,-60.059,-33.691,-35.156,8.301,0.000
1728625524.585,-38.086,-20.508,-23.438,18.066,0.000
1728625524.589,-26.367,-25.879,-31.250,-41.016,0.000
1728625524.593,-6.836,-28.320,-30.273,-66.895,0.000
1728625524.597,-29.785,-21.973,-38.574,-55.176,0.000
1728625524.600,-48.828,-28.809,-37.109,-12.207,0.000
1728625524.604,-48.340,-33.203,-28.320,9.766,0.000
1728625524.608,-42.969,-34.668,-33.203,-35.156,0.000
1728625524.612,-14.160,-25.391,-33.203,-63.477,0.000
1728625524.616,-35.645,-20.508,-28.809,-41.992,0.000
1728625524.620,-45.410,-30.762,-22.949,8.301,0.000
1728625524.624,-28.320,-26.855,-20.508,2.930,0.000
1728625524.628,-30.273,-25.879,-20.020,-46.387,0.000
1728625524.632,-15.137,-38.086,-27.344,-66.406,0.000
1728625524.636,-23.926,-41.016,-29.785,-59.570,0.000
1728625524.640,-37.598,-30.273,-22.461,-31.738,0.000
1728625524.643,-18.066,-25.391,-18.555,0.977,0.000
1728625524.647,-33.203,-34.668,-26.367,-30.762,0.000
1728625524.651,-21.973,-35.156,-27.344,-67.871,0.000
1728625524.655,-27.344,-34.180,-31.250,-68.359,0.000
1728625524.659,-62.988,-43.945,-34.668,-46.387,0.000
1728625524.663,-40.527,-57.129,-38.086,-7.812,0.000
1728625524.667,-46.875,-54.199,-43.457,-31.738,0.000
1728625524.671,-46.875,-43.945,-37.598,-63.477,0.000
1728625524.675,-32.227,-40.039,-43.945,-55.664,0.000
1728625524.679,-48.340,-41.504,-45.410,-31.250,0.000
1728625524.683,-38.086,-36.621,-35.645,-2.930,0.000
1728625524.686,-48.828,-32.715,-42.969,-30.762,0.000
1728625524.690,-46.387,-41.504,-47.852,-60.059,0.000
1728625524.694,-39.551,-44.434,-45.898,-50.293,0.000
1728625524.698,-49.805,-40.039,-51.270,-36.133,0.000
1728625524.702,-34.668,-36.133,-49.805,-13.184,0.000
1728625524.706,-40.527,-44.434,-52.734,-38.086,0.000
1728625524.710,-22.949,-43.945,-59.570,-73.730,0.000
1728625524.714,-14.160,-32.227,-49.316,-64.453,0.000
1728625524.718,-49.805,-27.832,-41.992,-35.645,0.000
1728625524.722,-51.758,-24.902,-40.527,-0.488,0.000
1728625524.726,-41.016,-40.527,-47.363,-30.273,0.000
1728625524.729,-43.457,-50.293,-54.688,-89.844,0.000
1728625524.733,-28.809,-32.227,-45.898,-89.355,0.000
1728625524.737,-43.945,-31.738,-32.715,-53.223,0.000
1728625524.741,-38.574,-35.645,-29.785,-5.859,0.000
1728625524.745,-30.762,-27.344,-27.832,2.441,0.000
1728625524.749,-32.715,-21.484,-26.367,-38.574,0.000
1728625524.753,4.395,-25.879,-32.715,-45.898,0.000
1728625524.757,-20.996,-33.203,-32.715,-22.461,0.000
1728625524.761,-35.156,-25.391,-24.902,8.789,0.000
1728625524.765,-21.973,-25.879,-27.344,5.859,0.000
1728625524.769,-29.297,-37.109,-35.156,-49.316,0.000
1728625524.772,0.000,-40.039,-38.086,-69.336,0.000
1728625524.776,0.000,-31.738,-35.156,-46.875,0.000
1728625524.780,0.000,-24.902,-30.273,0.000,0.000
1728625524.784,0.000,-30.273,-34.668,9.766,0.000
1728625524.788,0.000,-45.898,-39.551,-31.738,0.000
1728625524.792,0.000,-50.293,-44.434,-61.035,0.000
1728625524.796,0.000,-50.781,-49.805,-65.918,0.000
1728625524.800,0.000,-43.945,-42.480,-15.625,0.000
1728625524.804,0.000,-31.250,-36.133,8.301,0.000
1728625524.808,0.000,-28.320,-43.457,-48.340,0.000
1728625524.811,0.000,-38.086,-48.340,-71.777,0.000
1728625524.815,0.000,-43.945,-48.340,-61.523,0.000
1728625524.819,-46.387,-33.691,-48.340,-46.387,0.000
1728625524.823,-30.273,-35.156,-46.875,-26.367,0.000
1728625524.827,-22.461,-46.875,-48.828,-54.688,0.000
1728625524.831,-22.949,-50.293,-48.340,-82.031,0.000
1728625524.835,-39.062,-50.781,-45.410,-70.312,0.000
1728625524.839,-51.758,-39.062,-38.086,-33.203,0.000
1728625524.843,-34.180,-27.344,-30.273,20.020,0.000
1728625524.847,-37.109,-31.250,-33.691,-3.906,0.000
1728625524.850,-38.574,-33.691,-34.180,-60.547,0.000
1728625524.854,-42.480,-41.992,-32.715,-66.895,0.000
1728625524.858,-62.988,-47.363,-39.062,-36.621,0.000
1728625524.862,-46.875,-38.086,-39.551,5.371,0.000
1728625524.866,-39.062,-35.645,-36.133,-9.766,0.000
1728625524.870,-30.273,-40.527,-36.133,-39.551,0.000
1728625524.874,-18.555,-36.621,-34.668,-34.180,0.000
1728625524.878,-39.062,-33.203,-30.273,-16.113,0.000
1728625524.882,-40.527,-30.762,-27.344,20.508,0.000
1728625524.886,-37.109,-38.574,-34.668,-1.953,0.000
1728625524.889,-22.949,-44.434,-39.062,-38.086,0.000
