timestamps,TP9,AF7,AF8,TP10,Right AUX
1728628121.415,-36.621,-46.875,-39.551,-52.246,0.000
1728628121.419,-48.340,-43.457,-27.832,-36.133,0.000
1728628121.423,-38.574,-21.973,-10.742,0.977,0.000
1728628121.426,-35.156,-21.484,-18.066,-10.742,0.000
1728628121.430,-27.344,-20.996,-21.973,-43.457,0.000
1728628121.434,-17.090,-19.531,-30.273,-38.086,0.000
1728628121.438,-63.477,-40.527,-54.688,-36.621,0.000
1728628121.442,-37.598,-41.992,-50.293,-18.066,0.000
1728628121.446,-13.672,-31.250,-32.227,-11.230,0.000
1728628121.450,-25.879,-41.016,-21.973,-28.809,0.000
1728628121.454,-23.438,-46.387,-17.090,-39.062,0.000
1728628121.458,-40.039,-35.156,-24.902,-43.457,0.000
1728628121.462,-34.668,-23.438,-26.367,-8.789,0.000
1728628121.466,-22.949,-24.902,-29.297,-7.324,0.000
1728628121.469,-25.391,-27.832,-39.551,-46.875,0.000
1728628121.473,-19.531,-24.902,-43.457,-52.734,0.000
1728628121.477,-26.855,-35.156,-44.434,-31.738,0.000
1728628121.481,-25.391,-29.297,-39.062,1.953,0.000
1728628121.485,-14.160,-25.879,-21.973,-1.465,0.000
1728628121.489,-29.785,-29.297,-24.414,-48.828,0.000
1728628121.493,-42.480,-34.180,-26.367,-63.477,0.000
1728628121.497,-34.180,-38.086,-20.508,-54.199,0.000
1728628121.501,-36.621,-24.414,-32.715,-35.645,0.000
1728628121.505,-35.156,-32.715,-42.969,-6.348,0.000
1728628121.509,-30.273,-45.410,-41.992,-34.668,0.000
1728628121.513,-23.926,-42.969,-42.969,-68.359,0.000
1728628121.516,-40.039,-46.387,-54.199,-61.523,0.000
1728628121.520,-57.617,-45.898,-50.293,-41.016,0.000
1728628121.524,-39.551,-50.293,-28.809,-23.926,0.000
1728628121.528,-36.621,-48.828,-33.203,-28.320,0.000
1728628121.532,-37.598,-21.484,-40.039,-37.598,0.000
1728628121.536,-43.945,-14.648,-34.668,-41.016,0.000
1728628121.540,-54.688,-40.527,-26.855,-29.297,0.000
1728628121.544,-45.410,-51.270,-19.043,-10.742,0.000
1728628121.548,-33.691,-36.621,-30.762,-32.227,0.000
1728628121.552,-21.484,-34.668,-41.992,-57.129,0.000
