timestamps,TP9,AF7,AF8,TP10,Right AUX
1728626385.155,-12.695,-39.551,-30.762,-52.734,0.000
1728626385.159,-57.129,-53.711,-44.922,-50.293,0.000
1728626385.163,-86.914,-66.406,-62.988,-49.805,0.000
1728626385.167,-69.336,-57.617,-51.758,-52.734,0.000
1728626385.171,-19.531,-43.457,-27.344,-46.875,0.000
1728626385.174,9.766,-47.852,-30.273,-45.898,0.000
1728626385.178,-23.438,-56.641,-47.363,-37.598,0.000
1728626385.182,-68.848,-59.570,-64.453,-29.297,0.000
1728626385.186,-75.195,-52.734,-56.152,-53.711,0.000
1728626385.190,-35.156,-42.969,-27.832,-50.781,0.000
1728626385.194,-5.859,-48.828,-24.902,-31.250,0.000
1728626385.198,-26.367,-54.199,-47.363,-39.062,0.000
1728626385.201,-76.172,-56.152,-57.617,-42.969,0.000
1728626385.205,-74.219,-54.199,-50.781,-31.738,0.000
1728626385.209,-20.508,-43.457,-34.180,-18.066,0.000
1728626385.213,15.137,-36.621,-24.902,-16.113,0.000
1728626385.217,-1.465,-40.039,-29.785,-15.625,0.000
1728626385.221,-57.617,-49.316,-56.152,-25.391,0.000
1728626385.225,-71.289,-63.965,-69.824,-31.738,0.000
1728626385.229,-29.297,-51.758,-45.410,-35.156,0.000
1728626385.233,-9.277,-31.738,-24.414,-43.945,0.000
1728626385.237,-17.090,-33.203,-32.227,-33.203,0.000
1728626385.240,-54.688,-41.504,-49.316,-31.250,0.000
1728626385.244,-84.961,-52.734,-56.152,-41.992,0.000
1728626385.248,-53.711,-51.758,-43.945,-46.387,0.000
1728626385.252,-7.812,-56.152,-34.668,-40.039,0.000
1728626385.255,-14.648,-57.129,-44.922,-36.133,0.000
1728626385.259,-62.988,-55.176,-55.664,-51.270,0.000
1728626385.263,-81.055,-51.758,-59.082,-64.453,0.000
1728626385.267,-38.574,-50.781,-55.176,-46.875,0.000
1728626385.271,-1.465,-59.570,-42.480,-26.367,0.000
