timestamps,TP9,AF7,AF8,TP10,Right AUX
1728633134.832,-48.828,-43.945,-38.086,-41.992,0.000
1728633134.836,-18.555,-39.551,-41.016,-36.133,0.000
1728633134.840,-8.789,-35.645,-35.156,-25.879,0.000
1728633134.844,-19.531,-45.410,-32.227,-23.438,0.000
1728633134.848,-48.340,-49.316,-42.969,-34.180,0.000
1728633134.852,-60.059,-38.574,-49.316,-41.016,0.000
1728633134.856,-25.879,-35.645,-44.922,-32.715,0.000
1728633134.859,-9.766,-43.457,-43.945,-41.016,0.000
1728633134.863,-29.297,-42.480,-48.828,-41.992,0.000
1728633134.867,-41.504,-42.969,-53.711,-29.785,0.000
1728633134.871,-41.504,-41.992,-39.062,-37.109,0.000
1728633134.875,-30.762,-24.902,-23.926,-43.945,0.000
1728633134.879,-10.742,-21.484,-24.902,-25.879,0.000
1728633134.883,-24.414,-29.297,-28.320,-23.926,0.000
1728633134.887,-47.852,-37.598,-37.598,-31.738,0.000
1728633134.891,-53.711,-52.734,-35.645,-27.832,0.000
1728633134.895,-45.898,-53.711,-21.484,-20.996,0.000
1728633134.899,-17.090,-39.551,-20.508,-24.902,0.000
1728633134.903,-17.090,-23.926,-27.832,-37.109,0.000
1728633134.907,-51.270,-27.344,-33.203,-43.457,0.000
1728633134.910,-64.941,-37.598,-33.203,-41.504,0.000
1728633134.914,-41.504,-31.250,-27.344,-47.852,0.000
1728633134.918,-24.902,-28.320,-18.066,-45.898,0.000
1728633134.922,-25.879,-31.738,-25.879,-32.227,0.000
1728633134.926,-39.062,-51.270,-38.086,-53.711,0.000
1728633134.930,-56.152,-68.848,-34.180,-49.805,0.000
1728633134.934,-42.480,-56.152,-31.250,-30.762,0.000
1728633134.938,-18.555,-37.109,-34.668,-38.086,0.000
1728633134.942,-42.969,-39.551,-32.715,-49.805,0.000
1728633134.946,-65.918,-47.852,-34.668,-42.969,0.000
1728633134.950,-62.500,-46.875,-37.109,-41.992,0.000
1728633134.954,-39.551,-41.992,-28.809,-43.945,0.000
1728633134.957,-6.836,-40.527,-23.438,-24.414,0.000
1728633134.961,-22.461,-40.039,-24.902,-25.391,0.000
1728633134.965,-49.805,-51.758,-34.668,-34.668,0.000
1728633134.969,-56.152,-55.176,-40.039,-31.738,0.000
1728633134.973,-41.016,-37.598,-32.715,-41.504,0.000
1728633134.977,-21.484,-24.902,-24.414,-44.434,0.000
1728633134.981,-28.320,-20.996,-20.020,-40.527,0.000
1728633134.985,-43.945,-23.926,-21.484,-48.340,0.000
1728633134.989,-58.105,-35.645,-31.738,-56.641,0.000
1728633134.993,-54.688,-44.922,-39.062,-51.270,0.000
1728633134.997,-23.438,-42.969,-35.645,-43.945,0.000
1728633135.001,-13.672,-45.898,-30.762,-22.461,0.000
1728633135.004,-37.598,-52.246,-36.133,-14.160,0.000
1728633135.008,-62.500,-43.945,-35.645,-33.691,0.000
1728633135.012,-62.988,-32.715,-34.668,-42.480,0.000
1728633135.016,-35.156,-26.367,-26.855,-27.832,0.000
1728633135.020,-13.672,-17.578,-18.555,-12.207,0.000
1728633135.024,-21.973,-27.344,-27.344,-15.137,0.000
1728633135.028,-49.805,-49.316,-42.480,-30.273,0.000
1728633135.032,-49.805,-44.434,-36.133,-36.133,0.000
1728633135.036,-17.578,-41.504,-18.555,-24.414,0.000
1728633135.040,0.977,-44.434,-26.367,-17.578,0.000
1728633135.044,-25.879,-35.645,-35.156,-28.320,0.000
1728633135.047,-66.895,-32.715,-33.203,-31.250,0.000
1728633135.051,-61.035,-34.180,-29.785,-32.227,0.000
1728633135.055,-39.062,-31.250,-26.367,-38.086,0.000
1728633135.059,-24.414,-26.367,-28.809,-46.875,0.000
1728633135.063,-25.879,-36.621,-31.250,-34.180,0.000
1728633135.067,-52.246,-45.410,-33.691,-39.551,0.000
1728633135.071,-63.965,-40.527,-38.574,-66.406,0.000
1728633135.075,-31.738,-42.480,-28.320,-56.641,0.000
1728633135.079,-7.324,-41.992,-18.066,-37.598,0.000
1728633135.083,-23.438,-33.691,-29.785,-36.133,0.000
1728633135.086,-46.387,-34.180,-42.969,-53.223,0.000
1728633135.090,-54.199,-35.156,-33.691,-44.922,0.000
1728633135.094,-25.391,-37.109,-16.602,-10.254,0.000
1728633135.098,-16.602,-41.992,-17.090,10.254,0.000
1728633135.102,-28.809,-41.992,-38.086,-11.719,0.000
1728633135.106,-38.574,-38.574,-53.223,-38.086,0.000
1728633135.110,-48.828,-31.250,-47.363,-43.457,0.000
