timestamps,TP9,AF7,AF8,TP10,Right AUX
1728631560.231,-46.387,-26.367,-44.922,-55.664,0.000
1728631560.235,-48.340,-26.367,-37.109,-47.852,0.000
1728631560.239,-46.387,-35.156,-21.484,-20.996,0.000
1728631560.243,-38.086,-36.133,-22.949,-3.906,0.000
1728631560.247,-39.551,-47.852,-35.645,-41.504,0.000
1728631560.251,-34.180,-53.223,-37.598,-52.246,0.000
1728631560.255,-36.621,-40.527,-34.180,-44.434,0.000
1728631560.259,-41.016,-32.715,-26.855,-26.855,0.000
1728631560.262,-28.320,-30.762,-24.902,4.883,0.000
1728631560.266,-32.227,-28.320,-32.227,-26.367,0.000
1728631560.270,-30.273,-21.484,-36.621,-62.500,0.000
1728631560.274,-26.855,-31.250,-31.738,-53.223,0.000
1728631560.278,-31.250,-51.270,-37.598,-24.902,0.000
1728631560.282,-7.324,-41.016,-40.527,6.836,0.000
1728631560.286,-4.883,-26.855,-40.039,-12.207,0.000
1728631560.290,-21.973,-30.762,-43.945,-44.434,0.000
1728631560.294,-38.086,-33.691,-36.621,-43.457,0.000
1728631560.298,-43.457,-29.297,-31.738,-30.273,0.000
1728631560.302,-23.926,-22.949,-31.738,-4.883,0.000
1728631560.306,-26.855,-30.762,-34.180,-19.531,0.000
1728631560.310,-35.156,-37.109,-39.062,-46.387,0.000
1728631560.313,-35.645,-44.922,-40.039,-53.223,0.000
1728631560.317,-43.457,-45.410,-37.109,-31.250,0.000
1728631560.321,-28.320,-27.832,-32.227,1.465,0.000
1728631560.325,-23.926,-27.832,-42.480,-12.695,0.000
1728631560.329,-32.227,-45.410,-50.781,-42.480,0.000
1728631560.333,-36.133,-42.480,-38.086,-48.340,0.000
1728631560.337,-45.410,-35.156,-35.156,-43.945,0.000
1728631560.341,-35.645,-41.504,-34.668,-14.648,0.000
1728631560.345,-25.879,-31.738,-26.367,0.488,0.000
1728631560.349,-32.715,-24.902,-26.367,-29.785,0.000
1728631560.353,-24.414,-22.949,-39.062,-47.852,0.000
1728631560.357,-29.785,-19.043,-47.852,-44.922,0.000
1728631560.361,-28.809,-19.531,-44.434,-23.438,0.000
1728631560.364,-25.391,-27.832,-39.551,-18.555,0.000
1728631560.368,-47.363,-42.480,-34.668,-51.758,0.000
1728631560.372,-38.574,-35.156,-36.621,-60.547,0.000
1728631560.376,-46.387,-31.738,-42.969,-55.176,0.000
1728631560.380,-41.992,-37.109,-36.133,-37.598,0.000
1728631560.384,-20.996,-35.156,-32.227,-15.137,0.000
1728631560.388,-36.133,-33.203,-36.133,-36.621,0.000
1728631560.392,-35.645,-29.297,-38.574,-52.734,0.000
1728631560.396,-33.691,-34.180,-39.551,-45.898,0.000
1728631560.400,-16.602,-38.574,-34.180,-29.785,0.000
1728631560.404,0.977,-31.738,-40.039,-8.789,0.000
1728631560.408,-22.949,-38.086,-55.176,-37.109,0.000
1728631560.411,-29.785,-40.039,-52.734,-68.359,0.000
1728631560.415,-25.879,-28.320,-41.992,-58.594,0.000
1728631560.419,-29.297,-30.273,-36.133,-27.344,0.000
1728631560.423,-25.879,-41.992,-28.320,0.488,0.000
1728631560.427,-33.691,-48.340,-19.043,-12.207,0.000
1728631560.431,-41.016,-43.945,-26.367,-35.645,0.000
1728631560.435,-42.969,-29.297,-28.809,-37.109,0.000
1728631560.439,-37.109,-21.484,-27.344,-14.648,0.000
1728631560.443,-26.855,-18.555,-29.297,8.789,0.000
1728631560.447,-55.664,-29.785,-44.434,-30.762,0.000
1728631560.451,-57.129,-43.457,-44.922,-62.988,0.000
1728631560.454,-43.945,-40.039,-37.109,-55.664,0.000
1728631560.458,-57.617,-39.551,-41.504,-55.664,0.000
1728631560.462,-40.527,-54.688,-47.363,-35.645,0.000
1728631560.466,-39.062,-57.129,-54.688,-40.527,0.000
1728631560.470,-48.828,-44.922,-40.527,-59.082,0.000
1728631560.474,-33.203,-29.297,-31.250,-54.688,0.000
1728631560.478,-47.363,-33.691,-36.621,-46.875,0.000
1728631560.482,-50.293,-52.734,-35.156,-18.066,0.000
1728631560.486,-46.387,-54.688,-39.062,-25.391,0.000
1728631560.490,-55.664,-45.410,-43.945,-59.082,0.000
1728631560.493,-48.828,-37.598,-41.016,-64.453,0.000
1728631560.497,-55.664,-33.691,-30.762,-55.176,0.000
1728631560.501,-43.457,-23.438,-23.438,-25.391,0.000
1728631560.505,-23.438,-29.297,-31.250,-21.973,0.000
1728631560.509,-37.109,-33.203,-41.504,-59.570,0.000
1728631560.513,-41.992,-36.621,-41.992,-80.078,0.000
1728631560.517,-53.711,-47.363,-41.504,-69.824,0.000
1728631560.521,-37.598,-45.898,-32.715,-22.949,0.000
1728631560.525,-17.578,-42.969,-27.832,-11.719,0.000
1728631560.529,-28.320,-36.133,-34.668,-44.434,0.000
1728631560.532,-20.996,-26.855,-30.762,-54.688,0.000
1728631560.536,-27.832,-20.020,-23.438,-44.922,0.000
1728631560.540,-29.297,-22.949,-25.391,-18.066,0.000
1728631560.544,-24.414,-25.391,-32.227,-6.348,0.000
1728631560.548,-45.410,-38.086,-42.969,-35.645,0.000
1728631560.552,-49.805,-49.805,-51.270,-56.152,0.000
1728631560.556,-50.781,-42.969,-49.316,-53.223,0.000
1728631560.560,-47.363,-38.086,-40.527,-21.484,0.000
1728631560.564,-37.598,-44.434,-40.039,0.000,0.000
1728631560.567,-45.898,-53.711,-45.898,-36.133,0.000
1728631560.571,-42.480,-39.551,-39.062,-57.617,0.000
1728631560.575,-53.711,-20.020,-35.156,-59.570,0.000
1728631560.579,-58.594,-25.391,-37.598,-41.504,0.000
1728631560.583,-32.715,-35.156,-39.551,-17.090,0.000
1728631560.587,-36.621,-31.250,-46.875,-48.828,0.000
1728631560.591,-42.969,-40.527,-48.340,-79.590,0.000
1728631560.595,-41.504,-51.758,-43.457,-63.965,0.000
1728631560.599,-32.227,-45.898,-35.645,-22.461,0.000
1728631560.603,-12.207,-35.645,-29.785,5.371,0.000
1728631560.606,-31.738,-26.855,-39.551,-28.320,0.000
1728631560.610,-47.363,-31.250,-54.199,-69.824,0.000
1728631560.614,-43.945,-34.668,-49.805,-68.359,0.000
1728631560.618,-53.711,-37.109,-42.480,-47.852,0.000
1728631560.622,-33.203,-33.203,-43.457,-19.043,0.000
1728631560.626,-21.484,-44.922,-51.270,-33.691,0.000
1728631560.630,-24.902,-63.965,-52.246,-67.871,0.000
1728631560.634,-17.090,-49.316,-40.039,-62.012,0.000
1728631560.638,-37.598,-37.598,-40.527,-42.969,0.000
1728631560.641,-40.527,-31.738,-36.133,-9.277,0.000
1728631560.645,-36.621,-29.785,-41.016,-6.836,0.000
1728631560.649,-44.434,-35.645,-47.363,-48.828,0.000
1728631560.653,0.000,-44.922,-42.480,-55.664,0.000
1728631560.657,0.000,-35.156,-38.574,-45.410,0.000
1728631560.661,0.000,-25.391,-29.297,-12.207,0.000
1728631560.665,0.000,-39.551,-25.391,-1.953,0.000
1728631560.669,0.000,-44.434,-28.320,-35.645,0.000
1728631560.673,0.000,-50.781,-25.391,-45.898,0.000
1728631560.677,0.000,-52.734,-26.367,-39.551,0.000
1728631560.681,0.000,-31.738,-30.273,-13.672,0.000
1728631560.685,0.000,-23.926,-29.785,-3.906,0.000
1728631560.689,0.000,-23.438,-30.762,-41.504,0.000
1728631560.692,0.000,-25.879,-29.297,-64.941,0.000
1728631560.696,0.000,-29.785,-31.250,-53.223,0.000
1728631560.700,-35.645,-35.156,-38.086,-13.672,0.000
1728631560.704,-17.578,-39.551,-38.086,6.348,0.000
1728631560.708,-25.879,-33.203,-32.715,-24.414,0.000
1728631560.712,-37.109,-33.691,-37.598,-41.992,0.000
1728631560.716,-39.062,-40.527,-34.668,-33.691,0.000
1728631560.720,-32.715,-38.574,-27.344,-12.207,0.000
1728631560.724,-13.672,-35.645,-29.785,0.977,0.000
1728631560.728,-21.484,-31.738,-37.598,-34.668,0.000
1728631560.732,-31.738,-37.109,-48.828,-48.828,0.000
1728631560.736,-42.969,-43.945,-46.387,-40.039,0.000
1728631560.740,-53.223,-28.809,-36.133,-29.785,0.000
1728631560.743,-36.133,-29.297,-34.668,-8.301,0.000
1728631560.747,-32.227,-34.180,-30.762,-29.785,0.000
1728631560.751,-27.344,-25.879,-30.273,-47.852,0.000
