timestamps,TP9,AF7,AF8,TP10,Right AUX
1728632043.989,-42.969,-34.180,-35.156,-40.039,0.000
1728632043.993,-51.758,-32.227,-42.969,-50.781,0.000
1728632043.996,-30.762,-26.367,-43.945,-48.340,0.000
1728632044.000,-19.043,-32.715,-36.133,-36.621,0.000
1728632044.004,-35.156,-31.738,-31.250,-34.668,0.000
1728632044.008,-52.734,-33.203,-38.086,-38.086,0.000
1728632044.012,-56.152,-39.062,-42.969,-43.945,0.000
1728632044.016,-47.852,-41.016,-38.574,-41.992,0.000
1728632044.020,-43.945,-44.434,-31.738,-26.855,0.000
1728632044.024,-44.922,-45.898,-38.086,-26.855,0.000
1728632044.028,-52.246,-39.551,-44.434,-39.551,0.000
1728632044.032,-58.594,-33.691,-41.992,-51.270,0.000
1728632044.035,-37.109,-27.832,-43.945,-44.434,0.000
1728632044.039,-14.160,-30.273,-46.875,-36.133,0.000
1728632044.043,-30.273,-30.273,-45.410,-45.898,0.000
1728632044.046,-47.852,-29.297,-41.504,-41.992,0.000
1728632044.050,-50.781,-37.598,-46.875,-42.969,0.000
1728632044.054,-49.805,-39.551,-62.012,-48.828,0.000
1728632044.058,-34.180,-33.691,-56.152,-49.316,0.000
1728632044.062,-23.926,-35.645,-48.340,-42.480,0.000
1728632044.066,-36.621,-38.086,-54.199,-42.480,0.000
1728632044.070,-49.316,-38.574,-50.293,-51.270,0.000
1728632044.074,-30.273,-34.668,-41.992,-48.340,0.000
1728632044.078,-16.113,-22.949,-33.691,-36.621,0.000
1728632044.082,-30.273,-18.555,-27.832,-26.367,0.000
1728632044.086,-40.527,-28.809,-32.715,-30.273,0.000
1728632044.090,-54.688,-39.551,-38.574,-40.527,0.000
1728632044.094,-57.129,-34.668,-37.598,-44.922,0.000
1728632044.098,-36.133,-28.320,-36.621,-43.457,0.000
1728632044.102,-16.602,-29.785,-31.250,-25.879,0.000
1728632044.106,-28.320,-24.414,-26.367,-17.090,0.000
1728632044.109,-55.176,-36.133,-29.785,-36.133,0.000
1728632044.113,-49.805,-45.898,-32.227,-37.109,0.000
1728632044.117,-32.227,-36.621,-35.645,-22.949,0.000
1728632044.121,-24.414,-27.344,-32.715,-36.133,0.000
1728632044.125,-34.180,-24.414,-31.250,-32.227,0.000
1728632044.129,-54.688,-34.668,-36.133,-32.227,0.000
1728632044.133,-38.574,-51.758,-32.227,-48.828,0.000
1728632044.137,-22.461,-52.246,-34.180,-43.945,0.000
1728632044.141,-28.809,-41.504,-28.809,-28.809,0.000
1728632044.145,-34.180,-43.457,-24.414,-29.785,0.000
1728632044.149,-48.828,-47.363,-31.250,-42.480,0.000
1728632044.153,-44.434,-44.434,-32.715,-36.621,0.000
1728632044.157,-28.809,-33.203,-33.203,-27.832,0.000
1728632044.161,-20.996,-25.391,-34.180,-25.879,0.000
1728632044.164,-25.391,-26.855,-25.879,-18.066,0.000
1728632044.168,-43.945,-32.227,-25.879,-21.484,0.000
1728632044.172,-46.387,-32.715,-34.668,-34.668,0.000
1728632044.176,-24.902,-36.133,-32.227,-25.391,0.000
1728632044.180,-13.184,-32.715,-23.438,-14.648,0.000
1728632044.184,-28.809,-25.391,-21.973,-23.438,0.000
1728632044.188,-48.340,-25.391,-29.785,-33.691,0.000
1728632044.192,-57.129,-24.414,-36.133,-44.922,0.000
1728632044.196,-42.969,-25.391,-38.086,-42.969,0.000
1728632044.200,-20.508,-24.414,-37.109,-35.156,0.000
1728632044.204,-23.926,-23.438,-33.203,-34.180,0.000
1728632044.207,-34.668,-27.344,-40.039,-27.344,0.000
1728632044.211,-48.828,-30.273,-41.992,-36.621,0.000
1728632044.215,-51.758,-34.668,-43.945,-40.039,0.000
1728632044.219,-30.762,-31.250,-43.457,-32.715,0.000
1728632044.223,-30.762,-34.668,-36.621,-35.156,0.000
1728632044.227,-60.547,-40.527,-33.203,-42.480,0.000
1728632044.231,-70.312,-31.250,-29.785,-51.758,0.000
1728632044.235,-52.734,-36.133,-30.273,-55.176,0.000
1728632044.239,-34.180,-41.992,-27.832,-38.086,0.000
1728632044.242,-38.574,-42.480,-27.832,-35.645,0.000
1728632044.246,-46.387,-39.551,-35.156,-44.922,0.000
1728632044.250,-61.523,-35.156,-37.598,-42.969,0.000
1728632044.254,-52.734,-27.344,-32.227,-35.156,0.000
1728632044.258,-21.973,-16.113,-29.297,-26.367,0.000
1728632044.262,-13.184,-27.344,-31.738,-23.926,0.000
1728632044.266,-28.809,-38.086,-29.297,-24.414,0.000
1728632044.269,-38.086,-39.062,-25.879,-39.551,0.000
1728632044.273,-37.598,-40.527,-24.414,-54.688,0.000
1728632044.277,-28.320,-33.691,-31.738,-33.691,0.000
1728632044.281,-19.043,-29.297,-39.551,-20.996,0.000
1728632044.285,-30.762,-24.902,-36.621,-26.855,0.000
1728632044.289,-37.598,-25.879,-33.691,-35.645,0.000
1728632044.293,-26.367,-32.227,-23.926,-30.762,0.000
1728632044.297,-5.371,-27.344,-18.555,-13.184,0.000
1728632044.301,-13.672,-18.066,-22.949,-23.438,0.000
1728632044.305,-35.156,-21.484,-31.738,-33.691,0.000
1728632044.309,-47.852,-26.367,-44.922,-35.156,0.000
1728632044.312,-48.340,-25.391,-39.551,-45.410,0.000
1728632044.316,-24.414,-23.926,-23.926,-30.762,0.000
1728632044.320,0.977,-15.625,-20.020,-12.207,0.000
1728632044.324,-4.395,-15.137,-31.738,-21.484,0.000
1728632044.328,-33.203,-31.738,-34.668,-52.734,0.000
1728632044.331,-49.316,-34.180,-32.227,-61.035,0.000
1728632044.335,-23.438,-22.949,-41.504,-42.969,0.000
1728632044.339,5.371,-22.949,-41.992,-32.715,0.000
1728632044.343,-12.695,-34.180,-30.273,-30.762,0.000
1728632044.347,-34.668,-39.551,-41.016,-45.898,0.000
1728632044.351,-36.621,-45.410,-50.781,-44.922,0.000
1728632044.355,-38.086,-45.898,-42.969,-48.340,0.000
1728632044.359,-32.715,-37.109,-40.527,-53.711,0.000
1728632044.363,-33.203,-42.480,-45.898,-41.992,0.000
1728632044.367,-41.504,-45.410,-45.410,-46.875,0.000
1728632044.371,-40.039,-35.645,-50.781,-50.781,0.000
1728632044.375,-41.016,-30.273,-57.617,-41.992,0.000
1728632044.379,-19.531,-33.691,-54.688,-34.180,0.000
1728632044.383,-5.859,-47.363,-55.664,-27.344,0.000
1728632044.387,-44.434,-43.457,-59.570,-25.391,0.000
1728632044.391,-75.684,-17.090,-51.270,-28.320,0.000
1728632044.395,-61.523,-15.625,-36.621,-30.762,0.000
1728632044.399,-34.668,-29.297,-40.039,-33.691,0.000
1728632044.402,-33.691,-32.715,-51.270,-33.203,0.000
1728632044.406,-43.457,-31.738,-57.129,-30.762,0.000
1728632044.411,-40.527,-18.555,-61.035,-30.762,0.000
1728632044.415,-31.250,-16.113,-59.570,-28.809,0.000
1728632044.419,-20.996,-30.762,-50.293,-25.391,0.000
1728632044.423,-22.461,-33.203,-39.062,-31.250,0.000
1728632044.426,-41.992,-26.855,-52.246,-31.250,0.000
1728632044.430,-50.781,-37.109,-63.477,-28.809,0.000
1728632044.434,-49.316,-41.992,-54.199,-39.551,0.000
1728632044.438,-39.551,-32.227,-39.551,-41.992,0.000
1728632044.442,-28.809,-34.180,-31.738,-38.574,0.000
1728632044.446,-39.062,-36.133,-33.203,-39.551,0.000
1728632044.450,-58.594,-28.809,-35.156,-30.762,0.000
1728632044.454,-52.246,-28.809,-29.785,-32.715,0.000
1728632044.458,-34.668,-41.992,-33.203,-38.086,0.000
1728632044.462,-33.691,-52.246,-41.016,-39.062,0.000
1728632044.466,-56.152,-42.969,-47.363,-48.340,0.000
1728632044.470,-63.477,-36.133,-46.387,-46.875,0.000
1728632044.474,-47.852,-33.203,-34.668,-31.250,0.000
1728632044.478,-33.691,-27.832,-34.180,-27.344,0.000
1728632044.482,-30.273,-30.762,-35.645,-36.133,0.000
1728632044.485,-43.457,-39.062,-35.645,-36.621,0.000
1728632044.489,-51.758,-50.781,-44.434,-35.156,0.000
1728632044.493,-43.945,-52.734,-50.293,-35.645,0.000
1728632044.497,-27.832,-33.203,-40.527,-30.762,0.000
1728632044.501,-7.812,-23.926,-31.250,-29.297,0.000
1728632044.505,-8.301,-40.039,-38.086,-24.414,0.000
1728632044.509,-37.109,-34.668,-44.922,-28.809,0.000
1728632044.513,-41.992,-20.996,-38.574,-38.086,0.000
1728632044.517,-17.090,-23.438,-34.180,-27.344,0.000
1728632044.521,-4.883,-30.762,-37.598,-16.602,0.000
1728632044.525,-21.484,-28.809,-34.668,-21.973,0.000
1728632044.529,-49.316,-31.738,-36.621,-37.598,0.000
1728632044.532,-55.664,-40.527,-39.551,-40.527,0.000
1728632044.536,-28.320,-36.133,-31.738,-26.367,0.000
1728632044.540,-4.883,-35.156,-25.879,-24.902,0.000
1728632044.544,-32.227,-44.434,-26.367,-37.598,0.000
1728632044.548,-51.270,-41.992,-24.902,-31.250,0.000
1728632044.552,-65.430,-36.133,-24.414,-48.828,0.000
1728632044.556,-55.664,-29.785,-25.391,-54.199,0.000
1728632044.560,-35.156,-25.879,-20.996,-49.316,0.000
1728632044.564,-56.641,-36.621,-44.434,-71.289,0.000
1728632044.568,-52.246,-37.109,-63.965,-57.129,0.000
1728632044.571,-66.895,-49.805,-30.273,-76.660,0.000
1728632044.575,-62.500,-50.293,-36.621,-71.777,0.000
1728632044.579,-6.836,-33.691,-75.195,-12.695,0.000
1728632044.583,2.930,-41.504,-68.359,-12.695,0.000
1728632044.587,-47.852,-48.828,-72.754,-67.871,0.000
1728632044.591,-73.730,-36.621,-87.891,-66.895,0.000
1728632044.595,-70.312,-28.320,-107.422,-52.734,0.000
1728632044.599,-59.570,-30.762,-172.363,-58.105,0.000
1728632044.603,-8.789,-10.742,-229.980,-10.742,0.000
1728632044.606,-29.785,-22.949,-262.695,-18.555,0.000
1728632044.610,-77.637,-46.875,-323.730,-53.223,0.000
1728632044.614,-34.668,-21.484,-446.289,-27.344,0.000
1728632044.618,-14.648,-24.414,-554.688,-19.531,0.000
1728632044.622,-31.738,-56.152,-654.297,-61.035,0.000
1728632044.626,-31.738,-55.176,-806.641,-52.246,0.000
1728632044.630,-27.832,-33.203,-957.031,-18.066,0.000
1728632044.634,-39.062,-39.062,-1000.000,-48.828,0.000
1728632044.638,-27.832,-47.363,-997.070,-42.969,0.000
1728632044.642,-19.531,-37.598,-1000.000,-12.695,0.000
1728632044.645,-26.855,-26.855,-1000.000,-27.344,0.000
1728632044.649,-33.203,-28.320,-1000.000,-37.598,0.000
1728632044.653,-45.410,-38.086,-1000.000,-36.133,0.000
1728632044.657,-39.062,-47.363,-1000.000,-37.598,0.000
1728632044.661,-22.461,-45.410,-1000.000,-32.227,0.000
1728632044.665,-28.320,-42.480,-1000.000,-36.621,0.000
1728632044.669,-43.457,-50.781,-1000.000,-39.062,0.000
1728632044.672,-60.547,-70.312,-1000.000,-50.293,0.000
1728632044.676,-41.504,-65.430,-1000.000,-45.898,0.000
1728632044.680,-4.395,-59.082,-1000.000,-27.832,0.000
1728632044.684,-15.625,-59.570,-1000.000,-16.602,0.000
1728632044.688,-38.086,-48.340,-1000.000,-20.020,0.000
1728632044.691,-35.156,-45.898,-1000.000,-39.551,0.000
1728632044.695,-29.785,-49.805,-1000.000,-54.199,0.000
1728632044.699,-15.137,-52.246,-1000.000,-41.992,0.000
1728632044.703,-30.273,-46.875,-979.980,-26.367,0.000
1728632044.707,-54.688,-40.527,-958.496,-27.344,0.000
1728632044.711,-54.199,-41.504,-938.477,-41.016,0.000
1728632044.715,-32.227,-40.527,-893.555,-42.480,0.000
1728632044.719,-4.883,-37.109,-848.633,-25.879,0.000
