timestamps,TP9,AF7,AF8,TP10,Right AUX
1728632748.930,-51.758,-89.355,-267.578,-42.969,0.000
1728632748.934,-20.508,-69.824,-250.000,-50.293,0.000
1728632748.938,-11.230,-52.734,-236.328,-32.227,0.000
1728632748.942,-28.320,-64.941,-236.816,-23.438,0.000
1728632748.946,-43.945,-78.125,-237.305,-13.184,0.000
1728632748.950,-67.871,-78.125,-231.445,-17.090,0.000
1728632748.954,-38.574,-69.824,-222.656,-12.207,0.000
1728632748.957,18.066,-61.523,-207.031,-9.766,0.000
1728632748.961,7.324,-60.059,-197.754,-5.371,0.000
1728632748.965,-28.320,-57.617,-196.777,-3.418,0.000
1728632748.969,-25.391,-63.965,-206.055,-3.906,0.000
1728632748.973,-5.371,-72.266,-201.172,-12.695,0.000
1728632748.977,18.066,-61.523,-188.477,-4.883,0.000
1728632748.981,14.648,-59.570,-184.082,3.906,0.000
1728632748.985,-22.461,-65.430,-192.871,-6.836,0.000
1728632748.989,-32.715,-69.336,-203.613,-4.395,0.000
1728632748.993,-16.113,-78.613,-187.988,-18.555,0.000
1728632748.997,-7.324,-76.660,-176.758,-11.719,0.000
1728632749.000,13.184,-74.219,-181.641,6.348,0.000
1728632749.004,-7.324,-82.520,-181.641,-2.441,0.000
1728632749.008,-51.758,-89.355,-174.805,-16.602,0.000
1728632749.012,-53.223,-96.191,-164.551,-25.391,0.000
1728632749.016,-11.719,-103.027,-157.715,-17.578,0.000
1728632749.020,4.395,-103.027,-165.039,-9.766,0.000
1728632749.024,0.000,-98.145,-170.410,-19.043,0.000
1728632749.028,0.000,-93.262,-166.992,-34.668,0.000
1728632749.032,0.000,-96.680,-168.457,-48.340,0.000
1728632749.036,0.000,-97.656,-167.480,-45.410,0.000
1728632749.039,0.000,-96.680,-168.457,-12.207,0.000
1728632749.043,0.000,-96.191,-171.875,-3.906,0.000
1728632749.047,0.000,-99.609,-172.852,-20.996,0.000
1728632749.051,0.000,-106.445,-172.852,-26.367,0.000
1728632749.055,0.000,-98.145,-163.086,-23.438,0.000
1728632749.059,0.000,-85.938,-161.621,-22.461,0.000
1728632749.063,0.000,-98.145,-170.410,-11.230,0.000
1728632749.067,0.000,-102.051,-172.852,-24.902,0.000
1728632749.071,-43.945,-90.332,0.000,-39.551,0.000
1728632749.075,-23.438,-84.473,0.000,-14.160,0.000
1728632749.078,11.719,-83.008,0.000,-9.277,0.000
1728632749.082,-14.648,-72.754,0.000,-21.484,0.000
1728632749.086,-41.504,-73.730,0.000,-25.391,0.000
1728632749.090,-51.270,-92.773,0.000,-30.273,0.000
1728632749.094,-13.184,-90.820,0.000,-3.906,0.000
1728632749.098,31.250,-78.125,0.000,15.137,0.000
1728632749.102,18.066,-70.801,0.000,3.906,0.000
1728632749.106,-14.160,-71.289,0.000,3.906,0.000
1728632749.110,-22.461,-74.707,0.000,-18.555,0.000
1728632749.114,6.348,-68.848,0.000,-20.020,0.000
1728632749.117,17.578,-54.688,-151.855,14.160,0.000
1728632749.121,10.742,-50.293,-142.578,15.137,0.000
1728632749.125,-17.578,-68.359,-159.668,1.465,0.000
1728632749.129,-44.922,-89.355,-167.480,-4.883,0.000
1728632749.133,-38.574,-85.938,-168.457,-26.367,0.000
1728632749.137,3.418,-76.660,-165.039,2.441,0.000
1728632749.141,-7.324,-77.148,-163.574,9.766,0.000
1728632749.145,-30.762,-86.914,-162.598,-16.113,0.000
1728632749.149,-39.551,-93.262,-173.340,-36.621,0.000
1728632749.153,-36.133,-88.379,-173.828,-26.855,0.000
1728632749.157,10.254,-83.008,-156.738,-9.766,0.000
1728632749.160,14.648,-81.055,-155.762,-29.297,0.000
1728632749.164,0.000,-90.820,-159.180,-20.020,0.000
1728632749.168,0.000,-102.539,-157.227,-12.695,0.000
1728632749.172,0.000,-99.609,-153.809,-43.945,0.000
1728632749.176,0.000,-84.473,-148.438,-41.504,0.000
1728632749.180,0.000,-89.844,-147.461,-11.719,0.000
1728632749.184,0.000,-103.516,-153.320,-18.555,0.000
1728632749.188,0.000,-107.422,-154.297,-57.617,0.000
1728632749.192,0.000,-99.609,-146.973,-68.848,0.000
1728632749.195,0.000,-83.984,-143.066,-33.203,0.000
1728632749.199,0.000,-93.262,-146.973,-16.602,0.000
1728632749.203,0.000,-110.352,-156.738,-33.203,0.000
1728632749.207,0.000,-113.770,-150.391,-28.809,0.000
1728632749.211,-63.477,-105.957,-143.066,-16.113,0.000
1728632749.215,-11.230,-93.262,-144.531,-22.461,0.000
1728632749.219,-1.465,-88.379,-151.855,-18.066,0.000
1728632749.223,-41.016,-89.844,-148.926,-16.113,0.000
1728632749.227,-44.922,-82.031,-138.184,-19.531,0.000
1728632749.231,-19.531,-76.660,-130.859,-26.855,0.000
1728632749.235,-12.207,-77.637,-116.699,-22.949,0.000
1728632749.239,-0.977,-72.754,-114.258,-11.230,0.000
1728632749.242,-15.625,-73.730,-116.699,-2.441,0.000
1728632749.246,-42.480,-86.914,-112.305,-7.812,0.000
1728632749.250,-37.109,-85.449,-98.633,-10.742,0.000
1728632749.254,-4.395,-67.383,-88.379,13.672,0.000
1728632749.258,31.738,-52.734,-93.262,16.602,0.000
1728632749.262,10.742,-62.012,-98.633,13.184,0.000
1728632749.266,-36.133,-70.801,-92.773,-2.441,0.000
1728632749.270,-20.996,-62.988,-85.938,-26.367,0.000
1728632749.274,18.066,-59.082,-72.754,-11.719,0.000
1728632749.278,42.969,-54.199,-61.523,11.230,0.000
1728632749.282,16.602,-59.570,-65.430,16.113,0.000
1728632749.285,-35.156,-67.383,-72.754,7.324,0.000
1728632749.289,-26.367,-62.012,-83.008,-9.277,0.000
1728632749.293,-8.789,-50.293,-76.660,-12.207,0.000
1728632749.297,27.832,-32.715,-59.570,4.395,0.000
1728632749.301,37.598,-42.969,-58.594,20.996,0.000
1728632749.305,-11.719,-66.895,-68.359,11.230,0.000
1728632749.309,-35.156,-71.777,-75.195,-21.973,0.000
1728632749.313,-18.555,-70.801,-66.895,-16.113,0.000
1728632749.317,2.441,-81.055,-62.988,5.859,0.000
1728632749.321,-1.953,-84.961,-65.918,5.859,0.000
1728632749.325,-36.621,-74.707,-72.266,-4.883,0.000
1728632749.328,-63.965,-75.684,-88.867,-39.062,0.000
1728632749.332,-45.410,-78.125,-99.121,-51.270,0.000
1728632749.336,-12.207,-83.496,-98.633,-14.160,0.000
1728632749.340,-29.785,-86.426,-100.098,-11.230,0.000
1728632749.344,-39.551,-87.402,-103.027,-21.484,0.000
1728632749.348,-63.477,-91.797,-107.910,-25.879,0.000
1728632749.352,0.000,-91.309,-104.980,0.000,0.000
1728632749.356,0.000,-83.984,-108.398,0.000,0.000
1728632749.360,0.000,-79.590,-118.164,0.000,0.000
1728632749.364,0.000,-85.449,-119.141,0.000,0.000
1728632749.367,0.000,-83.008,-123.535,0.000,0.000
1728632749.371,0.000,-74.219,-118.164,0.000,0.000
1728632749.375,0.000,-71.289,-107.422,0.000,0.000
1728632749.379,0.000,-82.031,-109.375,0.000,0.000
1728632749.383,0.000,-89.844,-109.375,0.000,0.000
1728632749.387,0.000,-75.684,-106.445,0.000,0.000
1728632749.391,0.000,-66.895,-109.375,0.000,0.000
1728632749.395,0.000,-64.941,-104.980,0.000,0.000
1728632749.398,-80.566,-58.105,-105.469,-1.953,0.000
1728632749.402,-22.461,-54.199,-107.910,-1.953,0.000
1728632749.406,2.930,-61.523,-107.422,4.883,0.000
1728632749.410,-16.113,-54.688,-106.445,-9.277,0.000
1728632749.414,-38.086,-47.852,-99.609,-19.043,0.000
1728632749.418,-41.992,-59.082,-98.633,-5.371,0.000
1728632749.422,-2.441,-64.453,-105.957,-2.441,0.000
1728632749.426,25.879,-70.801,-115.723,-8.301,0.000
1728632749.429,-8.301,-68.359,-118.652,-20.996,0.000
1728632749.433,-42.969,-47.363,-105.469,0.488,0.000
1728632749.437,-33.203,-45.898,-101.074,10.742,0.000
1728632749.441,12.207,-61.035,-118.652,-22.949,0.000
1728632749.445,41.016,-64.941,-132.812,-38.574,0.000
1728632749.449,20.996,-77.148,-134.277,-21.973,0.000
1728632749.452,-12.207,-94.727,-120.605,-4.395,0.000
1728632749.456,-0.977,-87.402,-113.770,-8.789,0.000
1728632749.460,20.996,-70.801,-114.746,-16.602,0.000
1728632749.464,19.531,-71.289,-110.352,-26.367,0.000
1728632749.468,13.184,-85.938,-111.816,-27.832,0.000
1728632749.472,-7.812,-81.055,-103.027,-23.926,0.000
1728632749.476,-39.551,-73.730,-96.680,-19.531,0.000
1728632749.480,-1.953,-89.844,-102.051,-18.066,0.000
1728632749.484,23.438,-97.656,-109.375,-19.043,0.000
1728632749.488,-12.695,-99.121,-112.793,-14.648,0.000
1728632749.491,-33.691,-97.656,-111.816,-29.297,0.000
1728632749.495,9.766,-97.168,-114.258,-23.438,0.000
1728632749.499,-18.066,-99.609,-112.793,-20.508,0.000
1728632749.503,-47.852,-106.445,-114.746,-31.250,0.000
1728632749.507,-68.359,-112.793,-121.094,-39.062,0.000
1728632749.511,-42.480,-115.723,-119.141,-37.109,0.000
1728632749.515,7.324,-105.957,-119.629,-15.137,0.000
1728632749.519,-8.301,-85.449,-125.977,-9.766,0.000
1728632749.523,-20.508,-84.961,-134.766,-11.719,0.000
1728632749.527,-30.762,-87.402,-146.484,-11.230,0.000
1728632749.531,-41.016,-77.148,-147.949,-16.602,0.000
1728632749.534,9.277,-80.078,-144.043,-10.254,0.000
1728632749.538,22.949,-76.660,-146.973,1.953,0.000
1728632749.542,-5.859,-77.148,-150.391,2.930,0.000
1728632749.546,-29.297,-87.891,-156.738,-14.160,0.000
1728632749.550,-18.555,-85.449,-145.996,-32.227,0.000
1728632749.554,16.602,-74.219,-133.301,-14.160,0.000
1728632749.558,20.020,-84.961,-140.137,-0.488,0.000
1728632749.562,6.348,-87.891,-139.648,-7.324,0.000
1728632749.566,-17.090,-77.637,-138.184,-25.391,0.000
1728632749.570,-37.598,-82.031,-144.531,-37.598,0.000
1728632749.574,-16.113,-83.008,-146.484,-19.043,0.000
1728632749.577,25.391,-79.102,-152.832,-2.441,0.000
1728632749.581,5.859,-83.496,-163.086,-10.742,0.000
1728632749.585,-27.344,-95.215,-176.758,-17.578,0.000
1728632749.589,-23.926,-93.262,-174.805,-28.320,0.000
1728632749.593,-5.859,-78.613,-159.180,-24.414,0.000
1728632749.597,-4.883,-74.219,-154.785,3.906,0.000
1728632749.601,-6.836,-95.215,-162.598,4.395,0.000
1728632749.605,-25.391,-107.910,-166.016,-7.324,0.000
1728632749.609,-53.711,-103.516,-167.480,-29.297,0.000
1728632749.613,-44.922,-102.051,-182.129,-42.969,0.000
1728632749.617,-20.996,-99.121,-182.129,-27.344,0.000
1728632749.620,-26.367,-99.609,-183.594,-18.066,0.000
1728632749.624,-64.453,-96.191,-195.312,-34.668,0.000
1728632749.628,-62.988,-101.562,-193.848,-36.133,0.000
1728632749.632,-35.156,-108.887,-194.336,-22.949,0.000
1728632749.636,-1.465,-97.168,-199.707,-12.207,0.000
1728632749.640,-2.930,-95.215,-201.660,-6.348,0.000
1728632749.644,-27.832,-95.215,-208.984,-20.508,0.000
1728632749.648,-27.832,-97.168,-213.379,-39.062,0.000
1728632749.652,-22.949,-86.914,-204.590,-25.391,0.000
1728632749.656,0.000,-61.523,-193.359,-9.277,0.000
1728632749.660,-0.977,-74.219,-192.383,-8.301,0.000
1728632749.663,-49.805,-91.797,-198.242,-3.906,0.000
1728632749.667,-52.734,-82.520,-193.359,-18.066,0.000
1728632749.671,-13.184,-81.055,-179.688,-25.391,0.000
1728632749.675,19.531,-79.590,-174.316,-6.836,0.000
1728632749.679,20.508,-66.406,-182.617,2.930,0.000
1728632749.683,-23.438,-63.965,-191.895,0.000,0.000
1728632749.687,-37.598,-63.477,-188.965,-2.441,0.000
1728632749.691,11.230,-63.477,-186.523,-7.324,0.000
1728632749.695,19.043,-77.148,-185.059,10.254,0.000
1728632749.699,-12.695,-82.520,-187.500,7.812,0.000
1728632749.703,-28.809,-79.102,-191.895,-4.883,0.000
1728632749.706,-39.551,-75.684,-190.918,-11.230,0.000
1728632749.710,-38.574,-82.520,-185.059,-18.555,0.000
