timestamps,TP9,AF7,AF8,TP10,Right AUX
1728697866.794,-0.977,-15.625,-12.207,13.672,0.000
1728697866.798,-13.184,-15.625,-13.184,-16.602,0.000
1728697866.801,-29.785,-17.090,-28.809,-59.082,0.000
1728697866.805,-22.461,-18.066,-35.645,-35.156,0.000
1728697866.809,2.441,-17.090,-25.391,19.043,0.000
1728697866.813,10.742,-22.949,-21.973,17.578,0.000
1728697866.817,0.000,-33.691,-18.066,-3.418,0.000
1728697866.821,-26.855,-35.645,-17.578,-39.551,0.000
1728697866.825,-23.926,-31.250,-16.602,-41.992,0.000
1728697866.829,2.930,-20.996,-20.996,3.418,0.000
1728697866.833,17.090,-27.832,-30.762,26.855,0.000
1728697866.837,17.090,-43.945,-32.715,10.742,0.000
1728697866.841,-17.090,-29.297,-42.480,-45.410,0.000
1728697866.844,-40.039,-20.508,-13.672,-57.129,0.000
1728697866.848,-13.672,-19.531,7.812,-0.488,0.000
1728697866.852,4.883,-18.066,-14.648,10.742,0.000
1728697866.856,0.488,-26.367,-16.602,0.977,0.000
1728697866.860,-26.855,-31.250,-14.160,-35.645,0.000
1728697866.864,-43.457,-24.902,-28.320,-55.176,0.000
1728697866.868,-17.578,-16.113,-25.391,-7.812,0.000
1728697866.872,-5.371,-12.695,-36.621,9.277,0.000
1728697866.876,-8.301,-17.578,-42.480,-4.395,0.000
1728697866.880,-16.602,-24.902,-21.973,-41.992,0.000
1728697866.883,-32.715,-29.297,-12.207,-67.871,0.000
1728697866.887,-15.137,-27.832,-11.230,-16.113,0.000
1728697866.891,3.906,-38.086,-18.066,16.113,0.000
1728697866.895,-2.441,-53.711,-21.484,7.324,0.000
1728697866.899,-7.812,-47.363,-38.574,-20.508,0.000
1728697866.903,-27.344,-36.133,-47.363,-53.711,0.000
1728697866.907,-26.855,-30.762,-40.039,-22.461,0.000
1728697866.911,-3.906,-33.203,-37.598,18.555,0.000
1728697866.915,6.348,-35.645,-31.738,10.742,0.000
1728697866.919,-9.766,-38.086,-26.367,-30.762,0.000
1728697866.923,-35.156,-35.156,-21.484,-58.105,0.000
1728697866.926,-24.902,-27.344,-20.020,-13.672,0.000
1728697866.930,-0.977,-23.926,-18.066,15.625,0.000
1728697866.934,-0.488,-25.879,-23.926,10.254,0.000
1728697866.938,-9.766,-30.762,-22.461,-10.742,0.000
1728697866.942,-33.691,-38.574,-21.973,-53.223,0.000
1728697866.946,-26.855,-29.297,-30.762,-24.414,0.000
1728697866.950,-2.441,-23.438,-27.832,22.949,0.000
1728697866.954,-1.465,-37.598,-29.785,15.137,0.000
1728697866.958,-12.695,-38.574,-41.016,-12.207,0.000
1728697866.962,-43.945,-37.109,-34.180,-64.453,0.000
1728697866.965,-47.852,-33.203,-26.367,-50.781,0.000
1728697866.969,-14.648,-25.391,-21.973,3.418,0.000
1728697866.973,-3.906,-32.715,-27.832,12.207,0.000
1728697866.977,-15.625,-36.133,-25.879,-5.371,0.000
1728697866.981,-35.645,-32.715,-11.230,-48.828,0.000
1728697866.985,-41.992,-32.715,-11.230,-44.922,0.000
1728697866.989,-13.184,-27.832,-11.719,6.836,0.000
1728697866.993,-1.953,-21.484,-12.695,11.230,0.000
1728697866.997,-10.742,-29.297,-19.531,-13.672,0.000
1728697867.001,-32.227,-55.664,-25.879,-59.082,0.000
1728697867.005,-48.828,-55.176,-35.156,-59.082,0.000
1728697867.008,-15.137,-25.391,-37.109,-6.836,0.000
1728697867.012,-1.465,-12.695,-24.414,2.930,0.000
1728697867.016,-10.742,-17.090,-18.066,-14.160,0.000
1728697867.020,-30.762,-26.367,-36.621,-60.547,0.000
1728697867.024,-44.434,-30.762,-51.758,-62.012,0.000
1728697867.028,-20.020,-29.785,-30.762,3.418,0.000
1728697867.032,-0.488,-35.645,-17.578,19.043,0.000
1728697867.036,-10.254,-30.273,-21.973,-9.277,0.000
1728697867.040,-30.762,-13.184,-31.738,-50.293,0.000
1728697867.044,-30.762,-15.625,-27.832,-58.105,0.000
1728697867.048,-12.695,-36.621,-22.949,-5.859,0.000
1728697867.051,0.488,-43.457,-40.527,15.625,0.000
1728697867.055,-5.371,-32.715,-44.922,-0.977,0.000
1728697867.059,-23.438,-28.320,-22.461,-33.203,0.000
1728697867.063,-35.156,-23.926,-23.438,-58.594,0.000
1728697867.067,-18.555,-20.996,-39.551,-18.066,0.000
1728697867.071,3.418,-18.555,-28.809,17.578,0.000
1728697867.075,1.953,-15.137,-14.648,0.000,0.000
1728697867.079,-18.555,-22.461,-17.090,-36.621,0.000
1728697867.083,-28.809,-32.227,-19.043,-57.617,0.000
1728697867.087,-12.207,-23.926,-20.020,-14.648,0.000
1728697867.091,3.906,-20.996,-21.973,10.742,0.000
1728697867.094,2.441,-36.621,-23.926,4.395,0.000
1728697867.098,-6.348,-40.039,-30.273,-19.043,0.000
1728697867.102,-26.367,-29.785,-31.738,-63.965,0.000
1728697867.106,-15.625,-24.902,-22.461,-17.090,0.000
1728697867.110,1.953,-33.691,-31.738,20.020,0.000
1728697867.114,0.977,-42.480,-32.227,6.836,0.000
1728697867.118,-1.465,-35.156,-18.555,-7.324,0.000
1728697867.122,-19.531,-28.320,-38.574,-49.316,0.000
1728697867.126,-17.578,-28.320,-48.828,-26.367,0.000
1728697867.130,13.184,-34.180,-24.414,37.598,0.000
1728697867.133,19.043,-34.668,-14.160,32.227,0.000
1728697867.137,-8.789,-27.832,-21.484,-20.508,0.000
1728697867.141,-41.504,-22.461,-27.344,-80.566,0.000
1728697867.145,-31.738,-16.602,-36.621,-56.152,0.000
1728697867.149,7.324,-12.207,-34.180,11.230,0.000
1728697867.153,26.367,-14.648,-33.203,27.344,0.000
1728697867.157,16.602,-16.602,-42.969,9.766,0.000
1728697867.161,-11.230,-12.207,-48.828,-35.156,0.000
1728697867.165,-7.812,-13.184,-48.828,-33.203,0.000
1728697867.169,19.531,-25.879,-41.016,15.137,0.000
1728697867.173,22.949,-19.531,-38.574,13.672,0.000
1728697867.176,7.812,0.488,-48.340,-18.555,0.000
1728697867.180,-7.324,-2.441,-50.293,-57.129,0.000
1728697867.184,-2.930,-17.578,-41.992,-45.410,0.000
1728697867.188,9.766,-35.156,-49.316,9.766,0.000
1728697867.192,6.836,-30.762,-58.594,16.113,0.000
1728697867.196,20.996,-2.441,-48.828,4.883,0.000
1728697867.200,4.395,-0.977,-49.316,-34.668,0.000
1728697867.204,-20.508,-8.301,-49.316,-60.547,0.000
1728697867.208,0.488,-7.324,-53.223,-8.789,0.000
1728697867.212,17.090,-15.137,-45.898,16.602,0.000
1728697867.215,1.953,-33.691,-41.992,5.371,0.000
1728697867.219,-26.367,-36.621,-38.086,-31.738,0.000
1728697867.223,-36.621,-20.508,-38.086,-57.617,0.000
