timestamps,TP9,AF7,AF8,TP10,Right AUX
1728700030.125,-38.086,-29.785,-28.809,-30.273,0.000
1728700030.129,12.695,-28.809,-29.297,-0.977,0.000
1728700030.133,10.254,-26.855,-32.227,-5.371,0.000
1728700030.137,-8.789,-26.855,-27.344,-26.367,0.000
1728700030.141,-31.250,-24.414,-25.391,-40.527,0.000
1728700030.145,-24.414,-25.879,-25.879,-15.625,0.000
1728700030.149,-0.977,-32.227,-20.020,8.789,0.000
1728700030.153,3.418,-24.414,-19.531,5.371,0.000
1728700030.156,-14.648,-22.949,-22.949,-12.207,0.000
1728700030.160,-47.363,-27.832,-27.344,-39.551,0.000
1728700030.164,-40.039,-25.391,-28.809,-26.855,0.000
1728700030.168,-1.953,-22.949,-27.832,8.789,0.000
1728700030.172,7.324,-21.484,-26.855,12.695,0.000
1728700030.176,-9.766,-23.926,-27.832,-11.719,0.000
1728700030.180,-39.551,-32.715,-33.203,-43.457,0.000
1728700030.184,-28.320,-31.738,-27.832,-29.785,0.000
1728700030.188,8.301,-28.320,-22.461,6.348,0.000
1728700030.192,10.742,-28.320,-25.879,-2.441,0.000
1728700030.196,2.441,-24.902,-25.391,-21.973,0.000
1728700030.199,-19.043,-28.320,-22.949,-41.504,0.000
1728700030.203,-35.645,-35.156,-27.832,-41.504,0.000
1728700030.207,-24.902,-35.156,-35.156,-17.578,0.000
1728700030.211,-11.230,-34.180,-25.391,-9.277,0.000
1728700030.215,-9.766,-25.391,-23.438,-15.625,0.000
1728700030.219,-41.016,-20.996,-26.367,-45.410,0.000
1728700030.223,-56.152,-22.949,-21.973,-56.641,0.000
1728700030.227,-18.555,-23.926,-20.020,-25.879,0.000
1728700030.231,1.465,-26.367,-25.391,-5.859,0.000
1728700030.235,-9.277,-28.809,-30.273,-14.160,0.000
1728700030.239,-32.715,-33.691,-28.320,-41.992,0.000
1728700030.242,-43.945,-30.273,-28.320,-54.688,0.000
1728700030.246,-23.926,-29.785,-32.227,-20.996,0.000
1728700030.250,-5.859,-37.109,-31.250,-5.859,0.000
