timestamps,TP9,AF7,AF8,TP10,Right AUX
1728634310.240,0.000,-8.301,45.410,32.715,0.000
1728634310.244,0.000,0.488,40.527,41.504,0.000
1728634310.248,0.000,-1.953,39.551,42.480,0.000
1728634310.252,0.000,-50.293,51.270,32.715,0.000
1728634310.256,0.000,-45.898,53.223,42.480,0.000
1728634310.260,0.000,5.371,46.387,64.941,0.000
1728634310.263,0.000,31.250,43.457,46.875,0.000
1728634310.267,0.000,36.133,46.387,27.832,0.000
1728634310.271,0.000,24.902,35.645,45.898,0.000
1728634310.275,0.000,3.418,27.344,77.148,0.000
1728634310.279,0.000,0.000,47.363,88.867,0.000
1728634310.283,0.000,8.789,57.617,73.242,0.000
1728634310.287,67.871,8.789,51.270,49.805,0.000
1728634310.291,83.496,11.230,44.434,36.621,0.000
1728634310.295,59.082,-2.441,51.270,44.922,0.000
1728634310.298,35.156,-23.926,53.223,56.152,0.000
1728634310.302,32.715,-8.789,41.016,34.180,0.000
1728634310.306,26.367,20.996,37.598,30.762,0.000
1728634310.310,48.828,28.320,24.414,37.109,0.000
1728634310.314,56.152,26.855,18.066,17.578,0.000
1728634310.318,57.617,14.648,23.438,49.805,0.000
1728634310.322,82.031,-6.348,32.715,72.754,0.000
1728634310.326,55.176,6.836,29.297,34.180,0.000
1728634310.330,44.434,21.484,27.832,34.668,0.000
1728634310.334,34.668,-12.695,22.461,53.223,0.000
1728634310.338,47.852,-41.016,-6.836,43.945,0.000
1728634310.341,45.898,0.977,13.672,36.133,0.000
1728634310.345,42.969,43.945,59.570,10.742,0.000
1728634310.349,58.594,40.527,75.195,11.230,0.000
1728634310.353,53.711,20.508,71.777,22.949,0.000
1728634310.357,39.551,17.578,65.918,31.250,0.000
1728634310.361,23.438,11.719,58.594,41.016,0.000
1728634310.365,3.418,1.465,43.945,34.180,0.000
1728634310.369,9.277,8.301,29.297,34.668,0.000
1728634310.373,24.902,10.742,29.297,30.273,0.000
1728634310.377,35.645,11.719,40.527,32.715,0.000
1728634310.381,46.387,14.160,40.527,49.316,0.000
1728634310.384,34.180,11.230,34.180,48.340,0.000
1728634310.388,18.555,2.930,31.738,39.062,0.000
1728634310.392,21.973,-0.977,28.809,29.785,0.000
1728634310.396,35.645,-29.297,28.320,23.926,0.000
1728634310.400,32.715,-29.785,30.762,23.438,0.000
1728634310.404,5.859,11.230,29.785,14.648,0.000
1728634310.408,12.695,26.855,17.578,19.531,0.000
1728634310.412,17.578,27.344,3.418,30.273,0.000
1728634310.416,15.137,13.184,20.508,14.648,0.000
1728634310.420,22.461,-2.441,26.855,-0.977,0.000
1728634310.423,32.227,4.883,1.465,24.414,0.000
1728634310.427,34.180,-4.883,4.395,31.738,0.000
1728634310.431,30.273,-1.953,16.602,33.203,0.000
1728634310.435,25.391,16.113,33.691,31.250,0.000
1728634310.439,17.090,7.812,45.898,-3.418,0.000
1728634310.443,22.949,0.000,42.480,-17.090,0.000
1728634310.447,17.090,3.418,36.621,-5.859,0.000
1728634310.451,12.207,-2.441,36.133,4.395,0.000
1728634310.455,32.227,-33.691,43.457,22.949,0.000
1728634310.459,42.480,-23.438,32.715,20.996,0.000
1728634310.463,20.020,3.906,16.113,16.602,0.000
1728634310.466,9.277,11.230,8.789,6.348,0.000
1728634310.470,3.418,29.297,0.488,0.000,0.000
1728634310.474,7.812,33.691,-0.977,6.836,0.000
1728634310.478,36.621,27.832,8.301,8.301,0.000
1728634310.482,2.930,17.090,12.695,3.906,0.000
1728634310.486,-10.254,13.672,2.441,0.977,0.000
1728634310.490,31.250,15.137,-3.906,13.184,0.000
1728634310.494,23.926,-18.555,10.742,10.254,0.000
1728634310.498,9.277,-19.531,17.578,-9.277,0.000
1728634310.502,9.277,11.719,14.160,-18.066,0.000
1728634310.506,14.160,17.578,16.602,-15.137,0.000
1728634310.509,7.324,16.113,19.531,-8.789,0.000
1728634310.513,-10.254,9.766,19.531,1.465,0.000
1728634310.517,9.766,7.812,20.508,10.254,0.000
1728634310.521,28.320,13.184,15.625,13.184,0.000
1728634310.525,23.438,10.742,4.395,13.672,0.000
1728634310.529,33.691,1.465,-7.324,20.508,0.000
1728634310.533,46.387,-1.465,-1.953,32.227,0.000
1728634310.537,17.090,-0.488,24.414,18.555,0.000
1728634310.541,-24.414,-7.812,40.527,-12.207,0.000
1728634310.545,-26.855,-12.695,48.828,-9.766,0.000
1728634310.548,-24.902,-13.184,43.945,-25.879,0.000
1728634310.552,-18.555,-12.695,32.227,-42.480,0.000
1728634310.556,-9.766,-11.719,32.715,-15.137,0.000
1728634310.560,0.977,-20.996,35.156,0.000,0.000
1728634310.564,-2.930,-22.461,21.484,-4.883,0.000
1728634310.568,0.000,-9.277,13.184,0.488,0.000
1728634310.572,0.000,-5.859,19.531,5.859,0.000
