timestamps,TP9,AF7,AF8,TP10,Right AUX
1728619095.167,-75.684,-24.414,-24.414,-17.578,0.000
1728619095.171,-92.773,-29.297,-26.367,-19.531,0.000
1728619095.175,17.578,-32.715,-28.809,-19.043,0.000
1728619095.179,43.457,-28.320,-27.832,-16.113,0.000
1728619095.183,0.977,-24.902,-25.879,-22.461,0.000
1728619095.187,-81.055,-28.320,-23.438,-26.367,0.000
1728619095.191,-108.887,-29.297,-22.949,-22.461,0.000
1728619095.194,-2.930,-22.461,-24.414,-29.297,0.000
1728619095.198,39.062,-17.578,-23.438,-27.344,0.000
1728619095.202,-1.465,-20.996,-22.949,-31.738,0.000
1728619095.206,-75.195,-23.926,-26.367,-34.180,0.000
1728619095.210,-114.746,-25.879,-25.879,-26.855,0.000
1728619095.214,-16.113,-23.926,-28.809,-27.344,0.000
1728619095.218,44.922,-19.531,-29.297,-19.043,0.000
1728619095.222,23.438,-19.043,-20.020,-11.719,0.000
1728619095.226,-39.062,-21.484,-16.113,-16.602,0.000
1728619095.229,-91.309,-23.926,-18.555,-21.973,0.000
1728619095.233,-14.160,-24.902,-22.949,-27.832,0.000
1728619095.237,41.504,-21.484,-28.809,-33.691,0.000
1728619095.241,29.785,-14.648,-24.902,-22.461,0.000
1728619095.245,-41.992,-19.531,-27.832,-22.461,0.000
1728619095.249,-125.977,-28.809,-30.762,-32.715,0.000
1728619095.253,-41.504,-21.484,-24.902,-27.832,0.000
1728619095.257,38.086,-18.066,-27.832,-24.902,0.000
1728619095.260,31.250,-25.879,-33.691,-17.578,0.000
1728619095.264,-10.742,-26.855,-27.832,-7.324,0.000
1728619095.268,-105.957,-29.297,-20.020,-15.625,0.000
1728619095.272,-65.918,-33.691,-16.602,-26.855,0.000
1728619095.276,20.020,-33.691,-16.602,-25.391,0.000
1728619095.280,12.695,-29.297,-18.066,-31.250,0.000
1728619095.284,-31.250,-35.645,-17.578,-27.344,0.000
1728619095.288,-118.164,-39.062,-20.508,-17.090,0.000
1728619095.292,-84.961,-36.621,-21.484,-36.621,0.000
1728619095.296,9.277,-36.621,-22.461,-28.320,0.000
1728619095.299,6.836,-36.133,-25.879,-16.113,0.000
1728619095.303,-24.414,-34.668,-21.973,-15.137,0.000
1728619095.307,-102.051,-35.156,-21.484,-22.461,0.000
1728619095.310,-78.613,-32.715,-27.344,-32.715,0.000
1728619095.314,22.949,-27.344,-22.461,-28.320,0.000
1728619095.318,35.156,-25.391,-18.066,-11.719,0.000
1728619095.322,-1.465,-25.879,-19.043,-17.578,0.000
1728619095.326,-90.820,-26.367,-17.578,-28.320,0.000
1728619095.330,-89.355,-26.367,-18.066,-25.879,0.000
1728619095.334,12.207,-28.809,-23.438,-26.855,0.000
1728619095.338,27.344,-33.691,-25.879,-25.879,0.000
1728619095.342,-4.395,-32.715,-24.414,-19.531,0.000
1728619095.346,-81.543,-32.227,-23.438,-23.438,0.000
1728619095.350,-95.215,-32.715,-27.344,-38.574,0.000
1728619095.353,7.324,-32.715,-30.762,-29.785,0.000
1728619095.357,44.922,-25.879,-29.785,-21.973,0.000
1728619095.360,10.254,-24.902,-29.785,-23.926,0.000
1728619095.364,-80.078,-30.273,-27.344,-20.996,0.000
1728619095.368,-119.141,-27.832,-25.879,-37.598,0.000
1728619095.372,-11.230,-26.855,-29.785,-36.133,0.000
1728619095.376,36.133,-25.391,-26.855,-23.926,0.000
1728619095.380,6.836,-22.461,-21.484,-31.250,0.000
1728619095.384,-56.641,-22.949,-21.973,-38.086,0.000
1728619095.388,-108.398,-31.250,-26.367,-41.016,0.000
1728619095.392,-24.902,-36.621,-28.809,-38.574,0.000
1728619095.396,29.785,-33.691,-31.738,-36.133,0.000
1728619095.400,9.766,-33.203,-32.715,-32.227,0.000
1728619095.404,-55.176,-35.156,-25.391,-28.320,0.000
1728619095.408,-112.793,-35.645,-23.438,-27.832,0.000
1728619095.412,-32.227,-33.691,-29.297,-32.227,0.000
1728619095.416,30.762,-30.762,-32.715,-35.156,0.000
1728619095.420,16.602,-30.762,-30.273,-23.438,0.000
1728619095.424,-37.109,-31.738,-27.832,-17.090,0.000
1728619095.428,-114.258,-30.762,-30.273,-27.832,0.000
1728619095.432,-49.316,-35.156,-31.250,-32.715,0.000
1728619095.436,33.691,-38.086,-31.250,-21.973,0.000
1728619095.439,20.020,-41.016,-34.668,-21.973,0.000
1728619095.443,-32.227,-42.969,-32.715,-23.926,0.000
1728619095.448,-107.422,-38.086,-29.785,-34.180,0.000
1728619095.452,-49.805,-36.621,-35.156,-34.180,0.000
1728619095.456,41.992,-36.133,-37.109,-25.879,0.000
1728619095.460,34.668,-33.691,-34.668,-27.344,0.000
1728619095.463,-15.137,-33.203,-37.109,-32.715,0.000
1728619095.467,-104.492,-35.156,-32.227,-28.320,0.000
1728619095.471,-73.730,-34.668,-27.344,-31.250,0.000
1728619095.475,23.926,-33.203,-33.203,-39.551,0.000
1728619095.479,31.738,-28.809,-28.320,-29.297,0.000
1728619095.483,-14.648,-29.785,-27.832,-19.043,0.000
1728619095.487,-105.469,-31.738,-34.180,-32.715,0.000
1728619095.491,-87.891,-29.785,-34.668,-40.039,0.000
1728619095.496,0.000,-27.832,0.000,-39.062,0.000
1728619095.500,0.000,-26.855,0.000,-35.645,0.000
1728619095.504,0.000,-29.785,0.000,-33.203,0.000
1728619095.507,0.000,-29.785,0.000,-40.039,0.000
1728619095.511,0.000,-27.832,0.000,-39.062,0.000
1728619095.515,0.000,-24.902,0.000,-32.227,0.000
1728619095.519,0.000,-27.344,0.000,-33.691,0.000
1728619095.523,0.000,-28.809,0.000,-37.598,0.000
1728619095.527,0.000,-26.855,0.000,-29.785,0.000
1728619095.531,0.000,-28.809,0.000,-33.691,0.000
1728619095.535,0.000,-28.809,0.000,-38.086,0.000
1728619095.539,0.000,-32.227,0.000,-32.715,0.000
1728619095.543,7.812,-33.203,-35.156,-36.133,0.000
1728619095.547,-83.008,-34.668,-32.715,-35.156,0.000
1728619095.550,-122.070,-36.133,-37.598,-29.785,0.000
1728619095.554,-21.484,-33.203,-31.738,-32.227,0.000
1728619095.558,26.855,-28.809,-26.367,-26.855,0.000
1728619095.562,10.254,-24.902,-23.926,-11.719,0.000
1728619095.566,-56.641,-30.273,-26.367,-25.879,0.000
1728619095.570,-105.957,-29.297,-25.391,-31.250,0.000
1728619095.574,-12.695,-23.438,-23.438,-19.531,0.000
1728619095.578,41.016,-25.391,-25.391,-19.043,0.000
1728619095.582,9.277,-31.250,-25.391,-20.508,0.000
1728619095.586,-63.965,-32.715,-24.902,-24.902,0.000
1728619095.589,-120.605,-37.109,-29.297,-30.273,0.000
1728619095.593,-29.297,-33.691,-29.297,-31.250,0.000
1728619095.597,39.551,-26.855,-25.391,-23.438,0.000
1728619095.601,16.602,-28.809,-25.879,-18.066,0.000
1728619095.605,-48.828,-33.203,-28.809,-23.926,0.000
1728619095.609,-113.770,-36.133,-31.738,-31.250,0.000
1728619095.613,-49.316,-37.109,-33.691,-28.320,0.000
1728619095.616,22.461,-35.156,-34.180,-19.531,0.000
1728619095.620,16.113,-34.668,-38.086,-26.855,0.000
1728619095.624,-36.621,-34.180,-38.574,-38.086,0.000
1728619095.628,-111.816,-27.344,-30.273,-36.133,0.000
1728619095.632,-52.246,-21.973,-29.297,-26.855,0.000
1728619095.636,38.574,-20.996,-31.250,-19.531,0.000
1728619095.639,34.668,-20.996,-24.414,-15.137,0.000
1728619095.643,-5.859,-21.484,-25.879,-17.578,0.000
1728619095.647,-91.797,-23.926,-28.320,-24.414,0.000
1728619095.651,-62.012,-27.832,-26.367,-32.715,0.000
1728619095.655,32.715,-31.738,-25.879,-26.367,0.000
1728619095.659,38.574,-24.902,-26.855,-16.113,0.000
1728619095.663,1.953,-23.438,-27.832,-14.160,0.000
1728619095.667,-88.867,-27.832,-26.367,-21.973,0.000
1728619095.671,-79.590,-30.762,-33.203,-30.762,0.000
1728619095.675,18.555,-28.809,-35.645,-28.809,0.000
1728619095.679,27.344,-30.273,-31.250,-13.184,0.000
1728619095.682,-15.137,-31.250,-36.133,-24.414,0.000
1728619095.686,-93.750,-25.879,-31.738,-34.180,0.000
1728619095.690,-82.520,-29.297,-25.391,-28.320,0.000
1728619095.693,22.949,-29.785,-24.902,-23.926,0.000
1728619095.697,38.086,-21.484,-23.438,-17.578,0.000
1728619095.701,1.953,-18.555,-23.926,-17.578,0.000
1728619095.705,-69.824,-16.602,-27.344,-21.484,0.000
1728619095.709,-80.078,-17.578,-34.668,-26.367,0.000
1728619095.713,20.020,-18.555,-34.668,-29.297,0.000
1728619095.717,46.387,-18.555,-28.809,-23.926,0.000
1728619095.721,4.883,-23.438,-35.156,-23.926,0.000
1728619095.725,-77.148,-25.391,-39.062,-27.344,0.000
1728619095.728,-105.469,-27.344,-26.367,-27.344,0.000
1728619095.732,-4.395,-24.902,-26.855,-25.879,0.000
1728619095.736,37.598,-20.020,-31.738,-26.855,0.000
1728619095.739,10.254,-19.531,-19.531,-18.555,0.000
1728619095.743,-61.523,-18.066,-17.090,-16.113,0.000
1728619095.747,-114.258,-25.391,-24.414,-29.297,0.000
1728619095.751,-18.555,-23.926,-25.879,-24.902,0.000
1728619095.755,37.598,-21.484,-22.949,-19.043,0.000
1728619095.759,15.137,-25.879,-17.578,-13.184,0.000
1728619095.763,-47.363,-22.949,-21.973,-11.719,0.000
1728619095.767,-106.934,-22.949,-25.391,-16.113,0.000
1728619095.771,-21.484,-17.090,-23.926,-20.508,0.000
1728619095.775,41.016,-11.719,-23.438,-26.367,0.000
1728619095.779,22.461,-15.137,-26.367,-32.227,0.000
1728619095.783,-35.645,-20.508,-28.809,-31.250,0.000
1728619095.787,-107.422,-25.391,-25.879,-32.715,0.000
1728619095.791,-36.133,-22.461,-25.391,-22.949,0.000
1728619095.795,39.062,-19.531,-20.508,-14.648,0.000
1728619095.799,30.273,-23.926,-15.625,-20.508,0.000
1728619095.803,-18.555,-24.414,-23.438,-25.391,0.000
1728619095.807,-92.773,-25.391,-24.414,-29.785,0.000
1728619095.811,-37.598,-28.320,-22.949,-27.344,0.000
1728619095.815,31.738,-32.715,-30.273,-21.973,0.000
1728619095.818,18.555,-29.297,-27.832,-23.438,0.000
1728619095.823,-17.090,-23.438,-22.461,-26.367,0.000
1728619095.827,-95.215,-25.391,-24.414,-21.973,0.000
1728619095.831,-65.918,-27.344,-28.320,-25.879,0.000
1728619095.835,20.996,-26.367,-25.391,-25.879,0.000
1728619095.839,26.367,-28.320,-20.996,-12.695,0.000
1728619095.842,-9.766,-29.785,-20.020,-19.043,0.000
1728619095.846,-95.703,-28.320,-20.996,-27.344,0.000
1728619095.850,-81.055,-28.809,-25.391,-33.691,0.000
1728619095.854,19.531,-33.203,-28.809,-36.133,0.000
1728619095.858,25.879,-35.156,-31.738,-27.832,0.000
1728619095.862,-16.602,-36.133,-31.250,-24.414,0.000
1728619095.866,-89.355,-29.297,-33.203,-22.949,0.000
1728619095.870,-63.477,-20.020,-29.785,-8.301,0.000
1728619095.874,50.293,-20.996,-17.578,19.043,0.000
1728619095.878,45.410,-27.832,-10.254,-1.465,0.000
1728619095.882,-18.066,-35.645,-5.859,-31.250,0.000
1728619095.886,-107.422,-41.016,-5.371,-37.109,0.000
1728619095.890,-116.211,-45.410,-13.184,-46.387,0.000
1728619095.893,-11.230,-44.434,-10.254,-53.223,0.000
1728619095.897,8.301,-47.363,3.906,-56.641,0.000
1728619095.901,-32.227,-53.223,10.254,-62.012,0.000
1728619095.905,-120.605,-61.035,14.160,-66.895,0.000
1728619095.909,-156.738,-66.895,13.184,-71.777,0.000
1728619095.913,-59.082,-70.312,13.184,-75.195,0.000
1728619095.917,-33.691,-75.684,18.555,-74.707,0.000
1728619095.921,-71.289,-74.707,21.973,-72.754,0.000
1728619095.925,-145.508,-78.613,25.879,-74.219,0.000
1728619095.929,-191.895,-82.520,29.297,-87.402,0.000
1728619095.933,-93.750,-84.473,32.715,-83.008,0.000
1728619095.936,-38.086,-86.914,34.668,-76.172,0.000
1728619095.940,-60.547,-88.379,29.297,-81.055,0.000
1728619095.944,-127.930,-91.309,28.809,-72.754,0.000
1728619095.948,-180.664,-89.844,26.367,-72.754,0.000
1728619095.952,-85.449,-84.473,20.020,-72.266,0.000
1728619095.956,-20.996,-76.660,17.578,-53.223,0.000
1728619095.960,-41.504,-73.730,15.137,-48.340,0.000
1728619095.964,-98.633,-78.613,9.766,-54.688,0.000
1728619095.967,-160.645,-72.754,9.277,-48.828,0.000
1728619095.971,-78.125,-64.453,7.812,-41.016,0.000
1728619095.975,5.371,-62.012,4.395,-39.062,0.000
1728619095.979,-6.836,-60.547,4.883,-37.109,0.000
1728619095.983,-62.988,-61.523,5.859,-37.109,0.000
1728619095.987,-130.859,-60.059,0.977,-28.320,0.000
1728619095.991,-69.336,-58.105,-3.906,-20.508,0.000
1728619095.995,23.438,-58.105,-5.371,-17.578,0.000
1728619095.999,19.531,-58.105,-8.789,-21.484,0.000
1728619096.003,-20.996,-54.688,-14.648,-22.461,0.000
1728619096.006,-95.703,-49.805,-17.090,-17.090,0.000
1728619096.010,-60.547,-46.875,-16.602,-21.484,0.000
1728619096.014,37.109,-44.434,-14.160,-13.672,0.000
1728619096.018,45.898,-41.504,-11.719,-7.812,0.000
1728619096.022,-7.812,-43.945,-17.090,-16.113,0.000
1728619096.026,-103.027,-41.504,-12.695,-12.207,0.000
1728619096.030,-75.195,-43.457,-11.719,-18.555,0.000
1728619096.033,21.973,-47.852,-12.695,-21.973,0.000
1728619096.037,29.785,-42.480,-9.766,-14.160,0.000
1728619096.041,0.488,-36.621,-14.160,-14.160,0.000
1728619096.045,-83.496,-35.156,-20.508,-16.602,0.000
1728619096.049,-83.496,-35.156,-20.020,-20.508,0.000
1728619096.053,22.949,-33.691,-16.602,-24.902,0.000
1728619096.056,36.621,-31.250,-16.113,-26.367,0.000
1728619096.060,-5.371,-36.133,-15.625,-16.602,0.000
1728619096.064,-72.754,-29.785,-23.926,-5.371,0.000
1728619096.068,-75.195,-27.344,-24.414,-11.719,0.000
1728619096.072,19.043,-38.086,-15.137,-20.996,0.000
1728619096.076,44.922,-33.691,-11.719,-15.137,0.000
1728619096.080,2.441,-36.621,-9.277,-14.648,0.000
1728619096.084,-90.820,-44.922,2.441,-30.273,0.000
1728619096.088,-95.703,-34.180,-1.953,-20.996,0.000
1728619096.091,28.320,-24.414,-21.973,-6.836,0.000
1728619096.095,68.359,-18.555,-26.855,3.906,0.000
1728619096.099,19.043,-28.320,-11.230,-13.184,0.000
1728619096.102,-81.543,-40.039,0.000,-30.273,0.000
1728619096.106,-115.234,-33.691,-8.301,-11.719,0.000
