timestamps,TP9,AF7,AF8,TP10,Right AUX
1728619681.930,-98.145,-12.695,-19.043,-32.227,0.000
1728619681.934,-25.879,-11.719,-28.320,-41.992,0.000
1728619681.938,20.020,-12.695,-23.926,-40.527,0.000
1728619681.942,5.859,-15.625,-24.902,-31.738,0.000
1728619681.946,-38.574,-18.555,-28.809,-31.738,0.000
1728619681.950,-99.609,-19.043,-31.250,-35.156,0.000
1728619681.953,-36.621,-14.648,-29.785,-34.668,0.000
1728619681.957,28.809,-5.371,-18.555,-29.297,0.000
1728619681.961,14.160,-7.324,-11.230,-30.273,0.000
1728619681.965,-47.363,-14.648,-10.254,-32.715,0.000
1728619681.969,-114.258,-14.160,-9.766,-30.273,0.000
1728619681.973,-48.340,-10.254,-11.719,-33.203,0.000
1728619681.976,25.391,-5.371,-34.180,-29.297,0.000
1728619681.980,20.996,-1.953,-53.223,-27.832,0.000
1728619681.984,-21.484,-1.953,-39.551,-29.297,0.000
1728619681.988,-98.145,-8.301,-16.602,-25.879,0.000
1728619681.992,-53.711,-21.484,-5.371,-28.809,0.000
1728619681.995,20.996,-18.555,-3.418,-32.227,0.000
1728619681.999,12.695,-13.672,-5.859,-32.227,0.000
1728619682.003,-27.832,-17.578,-12.207,-29.785,0.000
1728619682.007,-115.723,-16.602,-20.020,-34.180,0.000
1728619682.011,-79.590,-13.672,-21.973,-34.180,0.000
1728619682.015,15.625,-10.254,-23.926,-32.227,0.000
1728619682.019,9.277,-10.742,-20.508,-31.250,0.000
1728619682.022,-24.414,-14.648,-6.836,-28.809,0.000
1728619682.026,-104.004,-19.531,-5.371,-29.785,0.000
1728619682.030,-88.379,-20.020,-26.367,-31.250,0.000
1728619682.033,10.254,-17.090,-36.133,-31.250,0.000
1728619682.037,23.438,-14.648,-16.602,-33.203,0.000
1728619682.041,-1.465,-15.625,-9.277,-29.297,0.000
1728619682.045,-73.242,-19.531,-21.484,-15.137,0.000
1728619682.049,-83.496,-18.066,-39.062,-25.391,0.000
1728619682.053,15.137,-13.672,-36.621,-33.203,0.000
1728619682.057,30.273,-13.672,-20.508,-20.508,0.000
1728619682.061,-11.230,-15.625,-6.836,-15.625,0.000
