timestamps,TP9,AF7,AF8,TP10,Right AUX
1730365607.772,-28.809,-49.316,-39.062,-69.336,0.000
1730365607.776,-29.785,-41.016,-45.898,-65.918,0.000
1730365607.780,-45.898,-50.293,-50.781,-49.316,0.000
1730365607.784,-56.152,-53.223,-45.410,-30.762,0.000
1730365607.788,-67.383,-54.199,-45.410,-46.875,0.000
1730365607.792,-47.852,-61.035,-46.387,-66.895,0.000
1730365607.796,-51.758,-54.199,-45.410,-61.523,0.000
1730365607.800,-76.660,-47.852,-40.527,-30.273,0.000
1730365607.804,-52.734,-46.875,-36.133,-11.230,0.000
1730365607.807,-43.457,-51.270,-36.133,-31.738,0.000
1730365607.811,-46.875,-53.711,-39.551,-51.758,0.000
1730365607.815,-38.574,-53.711,-39.062,-53.223,0.000
1730365607.819,-34.668,-50.781,-37.109,-43.945,0.000
1730365607.823,-29.785,-42.969,-38.574,-5.371,0.000
1730365607.827,-27.344,-44.434,-39.551,-13.184,0.000
1730365607.831,-19.043,-45.898,-41.016,-57.129,0.000
1730365607.835,-28.809,-45.410,-45.410,-52.246,0.000
1730365607.839,-54.688,-53.711,-46.387,-26.855,0.000
1730365607.843,-50.781,-47.363,-40.527,0.488,0.000
1730365607.846,-38.086,-35.645,-41.504,-14.648,0.000
1730365607.850,-27.344,-38.574,-42.480,-34.180,0.000
1730365607.854,-19.043,-38.574,-44.922,-28.809,0.000
1730365607.858,-46.387,-42.969,-42.480,-36.621,0.000
1730365607.862,-37.598,-48.828,-35.156,-14.160,0.000
1730365607.866,-21.484,-45.410,-30.273,2.441,0.000
1730365607.870,-39.062,-43.457,-35.156,-44.434,0.000
1730365607.874,-26.855,-33.203,-37.598,-60.547,0.000
1730365607.878,-29.297,-28.320,-35.645,-41.016,0.000
1730365607.882,-25.391,-30.762,-35.645,-16.602,0.000
1730365607.886,-21.973,-34.180,-38.574,-11.719,0.000
1730365607.889,-29.785,-39.551,-44.922,-46.387,0.000
1730365607.893,-17.090,-40.527,-44.922,-54.199,0.000
1730365607.897,-21.484,-36.133,-42.969,-31.250,0.000
1730365607.901,-27.832,-36.133,-48.340,-21.973,0.000
1730365607.905,-29.785,-40.039,-43.457,-7.324,0.000
1730365607.909,-29.297,-47.363,-47.852,-20.508,0.000
1730365607.913,-16.113,-45.410,-46.387,-53.711,0.000
1730365607.917,-29.297,-45.410,-39.062,-69.336,0.000
1730365607.921,-34.668,-51.758,-38.086,-28.320,0.000
1730365607.925,-31.738,-56.152,-33.691,2.441,0.000
1730365607.929,-49.805,-58.594,-38.574,-42.969,0.000
1730365607.932,-44.434,-50.781,-42.480,-60.547,0.000
1730365607.936,-50.781,-51.270,-44.922,-48.828,0.000
1730365607.940,-49.805,-54.199,-44.922,-41.016,0.000
1730365607.944,-34.668,-60.059,-39.551,-2.441,0.000
1730365607.948,-54.688,-56.641,-40.039,-31.738,0.000
1730365607.952,-53.711,-48.828,-42.480,-70.801,0.000
