timestamps,TP9,AF7,AF8,TP10,Right AUX
1730365690.620,-14.160,-42.969,-47.363,-49.316,0.000
1730365690.624,-20.020,-38.574,-42.969,-52.246,0.000
1730365690.628,-31.250,-39.551,-39.551,-41.992,0.000
1730365690.632,-15.137,-41.016,-30.273,-0.977,0.000
1730365690.635,-24.414,-36.621,-24.902,13.184,0.000
1730365690.639,-22.461,-39.551,-30.762,-28.809,0.000
1730365690.643,-2.930,-37.109,-39.062,-39.062,0.000
1730365690.647,-31.250,-40.039,-52.246,-47.363,0.000
1730365690.651,-41.504,-42.969,-47.852,-21.973,0.000
1730365690.655,-26.855,-40.527,-39.551,6.836,0.000
1730365690.659,-30.273,-39.062,-42.480,-34.668,0.000
1730365690.663,-24.902,-35.156,-44.434,-53.711,0.000
1730365690.667,-33.203,-36.621,-37.598,-38.574,0.000
1730365690.671,-37.598,-45.410,-34.668,-1.953,0.000
1730365690.674,-18.555,-41.504,-37.598,29.785,0.000
1730365690.678,-2.930,-36.133,-44.434,0.000,0.000
1730365690.682,-7.812,-45.410,-47.363,-26.367,0.000
1730365690.686,-25.391,-52.734,-39.551,-12.695,0.000
1730365690.690,-25.391,-54.199,-36.621,23.438,0.000
1730365690.694,-11.719,-48.340,-39.551,17.090,0.000
1730365690.698,-12.695,-40.039,-36.133,-20.996,0.000
1730365690.702,-18.066,-50.293,-39.551,-33.203,0.000
1730365690.706,-22.949,-52.734,-38.574,-39.062,0.000
1730365690.710,-33.203,-43.457,-34.180,-10.254,0.000
1730365690.714,-32.715,-41.992,-25.879,21.973,0.000
1730365690.717,-27.832,-43.945,-24.902,15.625,0.000
1730365690.721,-18.066,-49.316,-30.273,-16.602,0.000
1730365690.725,-12.695,-46.875,-35.645,-47.363,0.000
1730365690.729,-18.066,-42.969,-40.527,-19.531,0.000
1730365690.733,0.000,-46.387,-38.086,24.414,0.000
1730365690.737,-20.996,-50.293,-43.457,-8.301,0.000
1730365690.741,-52.246,-52.246,-42.480,-54.688,0.000
1730365690.745,-41.992,-51.270,-36.621,-47.363,0.000
1730365690.749,-57.129,-49.805,-37.598,-27.344,0.000
1730365690.753,-53.223,-38.574,-29.297,-15.625,0.000
1730365690.756,-50.781,-44.434,-31.250,-41.016,0.000
1730365690.760,-59.570,-57.617,-46.875,-69.336,0.000
1730365690.764,-49.316,-61.523,-51.270,-73.730,0.000
1730365690.768,-63.477,-58.105,-46.387,-66.895,0.000
1730365690.772,-42.480,-45.410,-43.457,-27.344,0.000
1730365690.776,-32.227,-43.457,-43.945,-30.762,0.000
1730365690.780,-50.293,-50.781,-52.734,-71.777,0.000
1730365690.784,-35.645,-57.129,-60.059,-83.984,0.000
1730365690.788,-46.387,-52.734,-61.035,-49.805,0.000
1730365690.792,-41.504,-47.852,-58.105,0.488,0.000
1730365690.796,-37.598,-52.734,-61.035,-13.672,0.000
1730365690.799,-40.527,-46.875,-65.918,-66.895,0.000
1730365690.803,-11.230,-36.621,-59.570,-72.266,0.000
1730365690.807,-20.508,-39.062,-49.316,-43.945,0.000
1730365690.811,-10.742,-37.598,-41.016,-15.137,0.000
1730365690.815,0.000,-32.715,-40.527,-13.672,0.000
1730365690.819,-25.879,-49.805,-46.875,-46.875,0.000
1730365690.823,-17.578,-53.711,-45.898,-41.504,0.000
1730365690.827,-9.277,-41.016,-37.109,-41.504,0.000
1730365690.831,-26.855,-43.945,-30.762,-3.418,0.000
1730365690.835,-23.438,-43.945,-26.367,26.855,0.000
1730365690.839,-20.508,-43.945,-37.109,-21.973,0.000
1730365690.842,-7.324,-38.574,-43.945,-53.223,0.000
1730365690.846,-8.301,-32.715,-39.551,-65.430,0.000
1730365690.850,-39.062,-44.434,-32.227,-30.762,0.000
1730365690.854,-28.320,-34.668,-25.879,11.719,0.000
1730365690.858,-27.832,-34.668,-28.320,-25.391,0.000
1730365690.862,-25.391,-47.363,-31.250,-56.641,0.000
1730365690.866,-44.434,-53.711,-37.598,-51.758,0.000
1730365690.870,-55.176,-46.875,-33.691,-22.949,0.000
1730365690.874,-42.480,-34.668,-25.391,-6.836,0.000
1730365690.878,-53.223,-39.551,-30.762,-38.086,0.000
1730365690.882,-27.832,-41.504,-43.945,-69.336,0.000
1730365690.885,-26.367,-49.805,-45.410,-67.871,0.000
1730365690.889,-64.941,-59.082,-34.180,-27.344,0.000
1730365690.893,-51.758,-52.246,-31.738,-2.441,0.000
1730365690.897,-40.039,-43.457,-37.109,-43.457,0.000
1730365690.901,-32.715,-40.039,-37.598,-63.477,0.000
1730365690.905,-30.273,-44.922,-40.039,-62.988,0.000
1730365690.909,-44.922,-43.457,-39.062,-39.551,0.000
