,TP9,AF7,AF8,TP10
0,-6.4984639787268,-6.634040049787831,-7.982730070919735,-7.248495031277145
1,-6.80237700348384,-6.9231091989729165,-8.244187503888273,-7.51196223473073
2,-7.101949092039315,-7.204986069699422,-8.52456976875697,-7.7628707988839984
3,-7.386797753050475,-7.470662644785376,-8.829876536643036,-7.993135521152734
4,-7.655068961526432,-7.7139588612299175,-9.16326360167043,-8.200410183823848
5,-7.935593401615327,-7.937150958005386,-9.524340210943752,-8.399925394176964
6,-8.25284848984193,-8.146377859772405,-9.909408545845565,-8.609434279129953
7,-8.563165662962986,-8.347913161835598,-10.312682647339122,-8.825978801397362
8,-8.823203030263684,-8.547483234918204,-10.727442554646084,-9.042857115970078
9,-9.065628835750617,-8.748057191039877,-11.14813517312629,-9.268960158770758
10,-9.332265517173681,-8.949783212122219,-11.569676488324854,-9.510496189348336
11,-9.621675925480778,-9.151344727003414,-11.985188985291716,-9.754412647915975
12,-9.923497029923977,-9.350054736519688,-12.389864219498293,-9.988132062355676
13,-10.225977947941232,-9.541467330621886,-12.785280744421929,-10.214554357684625
14,-10.516766615923842,-9.722338344843042,-13.17417495474429,-10.439486510613724
15,-10.812275978216356,-9.894264686900199,-13.556292392753736,-10.668222905359562
16,-11.127464420959342,-10.060170193460191,-13.930177880031714,-10.902232566199626
17,-11.424490615059065,-10.2201314913758,-14.292963321776659,-11.124680712974756
18,-11.670973653164527,-10.374609482377336,-14.64249259582155,-11.320724201256104
19,-11.904770758641668,-10.526534758719102,-14.980514413089436,-11.503348349658221
20,-12.16742408794141,-10.678583536513358,-15.309138065786595,-11.68856116236954
21,-12.448546363358274,-10.832772197554126,-15.623968612624214,-11.875392561525933
22,-12.724683751055004,-10.98833131197925,-15.921816416687864,-12.056681663535517
23,-12.97627024032243,-11.138888152916987,-16.207164018032053,-12.219030882952376
24,-13.188887478430908,-11.277144880231946,-16.48402109892695,-12.351765964201311
25,-13.37348265222949,-11.39832540778835,-16.7502405401302,-12.464208367548476
26,-13.549777980046727,-11.50247331682874,-16.99835036051494,-12.57151357979755
27,-13.724880731594139,-11.597628124648466,-17.21990784817092,-12.679687640211618
28,-13.906173268932953,-11.675273990031348,-17.322040337497867,-12.810395897634287
29,-14.085406147541752,-11.756694163118876,-17.42613023813965,-12.942809812172106
30,-14.26189825426359,-11.841155397418854,-17.531284980796123,-13.076171956962899
31,-14.43499562144517,-11.927949828264516,-17.636644845499138,-13.209752036913605
32,-14.604071426936835,-12.016394972814664,-17.741382961612597,-13.342846888700278
33,-14.768525994092613,-12.105833730053563,-17.84470530783249,-13.474780480768063
34,-14.92778679177013,-12.195634380790954,-17.94585071218679,-13.604903913331274
35,-15.081308434330731,-12.285190587662095,-18.0440908520355,-13.732595418373254
36,-15.228572681639365,-12.373921395127729,-18.138730254070687,-13.857260359646531
37,-15.369088439064635,-12.461271229474105,-18.22910629431648,-13.978331232672666
38,-15.50239175747879,-12.546709898812937,-18.314589198128953,-14.095267664742424
39,-15.628045833257747,-12.629732593081439,-18.394582040196322,-14.207556414915603
40,-15.745641008281046,-12.70985988404235,-18.468520744538758,-14.31471137402114
41,-15.854794769931896,-12.786637725283843,-18.535874084508492,-14.416273564657075
42,-15.955151751097125,-12.859637452219634,-18.59614368278982,-14.511811141190542
43,-16.046383730167253,-12.92845578208889,-18.648864011398985,-14.60091938975781
44,-16.12818963103637,-12.992714813956248,-18.693602391684337,-14.683220728264214
45,-16.200295523102284,-13.05206202871192,-18.7299589943262,-14.758364706384233
46,-16.262454621266393,-13.106170289071494,-18.757566839336967,-14.826028005561438
47,-16.314447285933777,-13.154737839576137,-18.776091796061053,-14.885914439008483
48,-16.35608102301317,-13.197488306592437,-18.785232583174867,-14.937754951707133
49,-16.387190483916847,-13.234170698312509,-18.784720768686906,-14.981307620408277
50,-16.407637465560843,-13.264559404753925,-18.774320769937603,-15.016357653631896
51,-16.417310910364794,-13.288454197759776,-18.753829853599516,-15.042717391667052
52,-16.41612690625192,-13.305680230998592,-18.72307813567713,-15.060226306571936
53,-16.40402868664917,-13.316088039964393,-18.68192858150704,-15.068751002173801
54,-16.380986630487076,-13.319553541976724,-18.63027700575779,-15.068185214069047
55,-16.3469982621998,-13.315978036180574,-18.568052072429982,-15.058449809623129
56,-16.3020882517252,-13.305288203546413,-18.495215294856248,-15.039492787970635
57,-16.246308414504675,-13.287436106870217,-18.411761035701225,-15.011289280015216
58,-16.17973771148336,-13.262399190773404,-18.317716506961553,-14.97384154842966
59,-16.102482249109954,-13.230180281702909,-18.213141769965926,-14.927178987655799
60,-16.014675279336842,-13.190807587931113,-18.098129735375036,-14.871358123904612
61,-15.916477199619978,-13.144334699555914,-17.972806163181552,-14.806462615156134
62,-15.808075552919016,-13.090840588500642,-17.837329662710246,-14.732603251159528
63,-15.68968502769721,-13.030429608514126,-17.69189169261784,-14.649917953432995
64,-15.56154745792145,-12.963231495170685,-17.536716560893083,-14.558571775263912
65,-15.423931823062244,-12.889401365870091,-17.372061424856728,-14.458756901708663
66,-15.277134248093756,-12.809119719837607,-17.19821629116159,-14.350692649592778
67,-15.121478003493767,-12.72259243812395,-17.01550401579242,-14.234625467510856
68,-14.957313505243663,-12.630050783605341,-16.824280304066054,-14.11082893582659
69,-14.785018314828518,-12.53175140098344,-16.624933710631296,-13.979603766672769
70,-14.604997139236978,-12.427976316785404,-16.417885639468953,-13.84127780395125
71,-14.417681830961344,-12.31903293936385,-16.20359034389189,-13.696206023333017
72,-14.223531387997527,-12.205254058896884,-15.982534926544886,-13.544770532258088
73,-14.023031953845082,-12.086997847388053,-15.75523933940485,-13.387380569935626
74,-13.816696817507188,-11.964647858666401,-15.522256383780604,-13.224472507343826
75,-13.605066413490604,-11.838613028386431,-15.284171710313018,-13.056509847230007
76,-13.38870832180579,-11.709327674028117,-15.041603818974933,-12.883983224110558
77,-13.168217267966773,-11.577251494896888,-14.795204059071253,-12.707410404270956
78,-12.94421512299122,-11.442869572123671,-14.545656629238817,-12.527336285765745
79,-12.717350903400423,-11.306692368664832,-14.293678577446519,-12.344332898418578
80,-12.48830077121928,-11.169255729302206,-14.04001980099522,-12.15899940382218
81,-12.25776803397634,-11.031120880643108,-13.785463046517803,-11.97196209533835
82,-12.026483144703743,-10.89287443112032,-13.530823909979146,-11.783874398097982
83,-11.795203701937252,-10.755128370992074,-13.276950836676125,-11.59541686900103
84,-11.564714449716272,-10.618520072342063,-13.024725121237609,-11.40729719671655
85,-11.335827277583801,-10.483712289079477,-12.775060907624482,-11.220250201682664
