,TP9,AF7,AF8,TP10
0,-9.232531485467279e-11,-6.882088910769857e-11,-1.0800726466154462e-10,-8.15656940817039e-11
1,-1.922118755297284e-09,-1.3704580804186965e-09,-2.1414602649184417e-09,-1.5757182823000735e-09
2,-2.1322958207948513e-08,-1.5394500435911966e-08,-2.4362449523914757e-08,-1.754238839606801e-08
3,-1.5610109086290673e-07,-1.1398186334568267e-07,-1.8127805074541402e-07,-1.2851366416718213e-07
4,-8.578036846545158e-07,-6.334831834017774e-07,-1.01069585882091e-06,-7.068647896098369e-07
5,-3.7854293979796796e-06,-2.8275173965608405e-06,-4.514501114946536e-06,-3.123466820319006e-06
6,-1.4019003276955227e-05,-1.0594567926593552e-05,-1.688151556832218e-05,-1.1592140678821558e-05
7,-4.4951894029591105e-05,-3.438964435813181e-05,-5.4528045703705574e-05,-3.729255522104925e-05
8,-0.0001277460353366386,-9.900399272969145e-05,-0.0001557573891654756,-0.00010646978461438319
9,-0.00032764984337840336,-0.00025744541724527595,-0.000400772463712235,-0.0002747018406575077
10,-0.0007695796374162294,-0.0006135147276631167,-0.0009427713195856521,-0.000649762937805107
11,-0.001675097211814179,-0.0013557178012868804,-0.0020523907833149887,-0.0014253389382773306
12,-0.003412323869296075,-0.0028047861516396384,-0.004176933954809977,-0.0029272088525143856
13,-0.006559533237193014,-0.005476310157265763,-0.00801480851323348,-0.005672509251256559
14,-0.01198223014561055,-0.01015888604282867,-0.014604491678740578,-0.010441549112806725
15,-0.0209224465204681,-0.01800685440799435,-0.025426101483375214,-0.018360531041298464
16,-0.035097681441318224,-0.030645240562319615,-0.04251214980815412,-0.030992475646298128
17,-0.056805323556050204,-0.05028293513497696,-0.06856219271609101,-0.05043252513117626
18,-0.08902653913770717,-0.07982846247885701,-0.10705391912262968,-0.07940246041443236
19,-0.13552164402743933,-0.12300087473366743,-0.1623409441064435,-0.12133767558604978
20,-0.20090716101717668,-0.18442643995614602,-0.23972557076085962,-0.18045816113395408
21,-0.2907034055699631,-0.2697100288321006,-0.3454934377207098,-0.2618135498600664
22,-0.4113408483242573,-0.3854687401969813,-0.48689664178626085,-0.3712913648899161
23,-0.5701138908116686,-0.5393147026629684,-0.6720728236544113,-0.515577639621365
24,-0.775072186764879,-0.7397745278627832,-0.9098899316004221,-0.7020603394072785
25,-1.0348422485665438,-0.996134837540052,-1.209709872776534,-0.9386685801697725
26,-1.358375735533687,-1.3182067387644718,-1.5810689042086412,-1.2336443768069243
27,-1.7546253911831156,-1.71600692750774,-2.033278177465532,-1.5952482227555844
28,-2.232154894107594,-2.199358911592306,-2.5749540712678285,-2.031404807259609
29,-2.798694627885364,-2.777424171948319,-3.213494466023522,-2.549300248908029
30,-3.4606611732661383,-3.4581794198952838,-3.954523503276256,-3.1549470739443652
31,-4.222663689013588,-4.24786200367594,-4.801333130630967,-3.8527375397513053
32,-5.0870247021939,-5.150410576179321,-5.754354291453032,-4.645009495018047
33,-6.0533456231338105,-6.1669320315336025,-6.810693455143383,-5.531651444620364
34,-7.118148089616095,-7.295228134657809,-7.963770817542218,-6.5097744841881315
35,-8.274620817794105,-8.529415909579209,-9.203094619138593,-7.573477991457183
36,-9.512498007767894,-9.859674420117843,-10.514201449346977,-8.713733188196867
37,-10.818089727114653,-11.272146845287383,-11.878785175731878,-9.918403859108116
38,-12.174477343753702,-12.74902061976442,-13.275027492605254,-11.172416744907178
39,-13.561878299809537,-14.268800009560461,-14.67813154329457,-12.458085777516956
40,-14.958174635412046,-15.806775197238784,-16.06104736696872,-13.755584944366278
41,-16.339589146810003,-17.33568037535304,-17.39536500056235,-15.043554843336281
42,-17.68148255546805,-18.826521276720985,-18.65233894216482,-16.29981862842487
43,-18.95923543247522,-20.249540896027085,-19.803997300379287,-17.50217472281218
44,-20.149170838568327,-21.575281812840466,-20.824281105906312,-18.629227030282607
45,-21.229468606533413,-22.775695375066803,-21.69015448146427,-19.661208971872007
46,-22.181020602667697,-23.82524276495708,-22.382625025036507,-20.580756007666206
47,-22.988178476993514,-24.701931106282263,-22.887616053771946,-21.373582694698527
48,-23.63935125235982,-25.388229466077544,-23.196638394633823,-22.02902488953047
49,-24.127419072632534,-25.87181474687576,-23.307219098890666,-22.540415209359374
50,-24.449940674943548,-26.146105726920776,-23.223057459322302,-22.905269784850184
51,-24.60914464032946,-26.210554360959094,-22.95389426689474,-23.125275847459147
52,-24.6117072040218,-26.070676254376234,-22.515097261594832,-23.206081846284334
