,TP9,AF7,AF8,TP10
0,-0.31136864975392703,-0.4814348454820786,-0.642122654771321,-0.3393891945489415
1,-0.7740434697324982,-1.0745450742501477,-1.4620178366485068,-0.8208600761789627
2,-1.4522494712727072,-1.9361501470002398,-2.6329039788741704,-1.5213362386341145
3,-2.3507492365137335,-3.078382932223694,-4.149062002248021,-2.443818526059066
4,-3.4517824306640708,-4.490544059690864,-5.973915376971451,-3.571827365378602
5,-4.719563049137939,-6.138129151417588,-8.04363163784652,-4.873986100015163
6,-6.108472783671873,-7.96623428477088,-10.273648428579156,-6.306943716816576
7,-7.568580787244882,-9.907086066565709,-12.569663042492383,-7.81772107338258
8,-9.04835141953288,-11.89180787170478,-14.84353857158436,-9.349525164326796
9,-10.504913456752192,-13.86616933692361,-17.035189748752458,-10.85341059407384
10,-11.92835172545592,-15.810150894434797,-19.142648476841913,-12.311728681772625
11,-13.32215562113087,-17.685610435794224,-21.156070532601195,-13.715335797603924
12,-14.692861938182652,-19.460956559296534,-23.074024891214904,-15.05720207067623
13,-16.027429173140703,-21.11628318059776,-24.887434902530362,-16.309269612599707
14,-17.29266629828119,-22.641040998033212,-26.572572182625834,-17.424048954759023
15,-18.446962887402197,-24.028247713010895,-28.097261924101414,-18.351686524623805
16,-19.451907297113454,-25.271052649015395,-29.432556817180078,-19.05558189234133
17,-20.276791753684815,-26.361026684080468,-30.56387219109903,-19.516756089663403
18,-20.89798035977567,-27.288359116170422,-31.49257216072806,-19.729737110369793
19,-21.303921032069937,-28.04338292651388,-32.23027531937344,-19.707698674925197
20,-21.505105789186697,-28.61740570002196,-32.79475157491441,-19.494969446579866
21,-21.538891106836715,-29.005732727007715,-33.20756270376002,-19.170963193535915
22,-21.46461829570709,-29.21261094445123,-33.49153604965428,-18.832912572310786
23,-21.352676987451158,-29.25101978030447,-33.668519119521584,-18.568719945999806
24,-21.273474990395112,-29.13819747463784,-33.757339971596096,-18.44671442258597
25,-21.290839627234536,-28.895209985039614,-33.77202903403041,-18.51741410276144
26,-21.454082110591596,-28.548950783320866,-33.72072771271676,-18.810503653003572
27,-21.783319376549134,-28.130269866708538,-33.603877567093214,-19.323110221548855
28,-22.260668332756207,-27.66762776935413,-33.41399892606138,-20.013014018675026
29,-22.83972778338783,-27.181180829757622,-33.142820589911786,-20.813844839980085
30,-23.468754045821928,-26.68241344025812,-32.79139949046362,-21.661362342879215
31,-24.103682439222347,-26.177435728532906,-32.37170408835918,-22.50425147381865
32,-24.704919054615697,-25.669812671486593,-31.89920892074788,-23.298393439634207
33,-25.233323101929983,-25.160981791132933,-31.38617966493243,-24.00642939088634
34,-25.6482988552709,-24.650058616217287,-30.838742618486407,-24.60273963265041
35,-25.916728513992812,-24.134304248583863,-30.257500945910728,-25.078860825856744
36,-26.026937684000508,-23.609672074669085,-29.641514319034105,-25.441130696284624
37,-25.987841983359438,-23.072831083704926,-28.99082411897761,-25.694327328490456
38,-25.816199225203352,-22.5219631581763,-28.306516443507054,-25.831001304413284
39,-25.524636862466707,-21.95366782384436,-27.590841455073008,-25.836075936467182
40,-25.11980072625791,-21.3618005466639,-26.848007200254127,-25.70017627983636
41,-24.60673775250142,-20.740926151562803,-26.084203200589076,-25.424130053154187
42,-23.99095611708326,-20.087109599014227,-25.30539574410827,-25.00949190357295
43,-23.273397054498677,-19.395178587275144,-24.514682390153638,-24.451044141768865
44,-22.444338663101075,-18.660348248644077,-23.712287610278803,-23.737157766493922
45,-21.491610479664196,-17.88239705496831,-22.898098992869393,-22.857749218231028
46,-20.413837365471423,-17.065888875266985,-22.073209888342152,-21.81157053661093
47,-19.222416479560582,-16.216910453265022,-21.240049218213937,-20.609541292881744
48,-17.93115975769995,-15.341389871246935,-20.401124598917196,-19.26907040927985
49,-16.546439163211215,-14.447691472169689,-19.55624361932453,-17.799645505801713
50,-15.075860235002713,-13.547485141550492,-18.704109780989608,-16.204870188080374
51,-13.545256629853442,-12.653337029704284,-17.847361679581983,-14.497120804783831
52,-11.99807209404378,-11.776751884519259,-16.9930694783604,-12.703019502809626
53,-10.474305102473837,-10.927200059140198,-16.150542998679697,-10.858283926568769
54,-8.996307073459533,-10.112550931914695,-15.330517070682465,-9.002907975294791
55,-7.577605748944567,-9.33956016960321,-14.543769952490663,-7.181518591639474
56,-6.235513817337291,-8.61302897076899,-13.799409100619467,-5.440565916108275
57,-4.9885978410556255,-7.9359167509933615,-13.10352194381581,-3.819924909297903
58,-3.845899611661352,-7.310004151830085,-12.45801054154829,-2.3419746361697973
59,-2.80250363286925,-6.73599342088958,-11.860625683252639,-1.0087753563428505
60,-1.845434864784075,-6.214906785962976,-11.305756252104443,0.18821448950321737
61,-0.9626924151272755,-5.748812686833382,-10.784576090890452,1.2584697968245697
62,-0.1452614630850816,-5.340405719176616,-10.286073775812577,2.2126025329782246
63,0.6150318570133274,-4.993444439862788,-9.800057231241498,3.069707537517198
64,1.3243978101930434,-4.712857151283971,-9.319658513398666,3.857993673988608
65,1.9849033946382308,-4.503262250385676,-8.842480331519164,4.602496092798091
66,2.59026402408405,-4.3662314649647325,-8.371328127986194,5.309756570754267
67,3.126428450705414,-4.297463726251917,-7.9124133756461035,5.9686182183258145
68,3.5850940344086077,-4.287846388830249,-7.4712635125016345,6.567393705687136
69,3.9708158095902584,-4.327215339513596,-7.052181948335553,7.103506176009076
70,4.2938135475242545,-4.40603540309052,-6.659320448970218,7.581921215182966
71,4.562624747653076,-4.515851838962178,-6.2948306040332245,8.008015338094852
72,4.784179573872463,-4.649859017276751,-5.957008888128059,8.378342163010354
73,4.967273772057417,-4.803921893167965,-5.640165331656973,8.682763449124034
74,5.121422371867405,-4.9768721061613075,-5.335501756738521,8.915297991318274
75,5.253510930904611,-5.1673897667237165,-5.032980085940214,9.078150204850962
76,5.365896914229383,-5.370194962591103,-4.723903808293042,9.178402067515998
77,5.454389063862306,-5.575027522089471,-4.4032729115495854,9.225342803803443
78,5.507470963313434,-5.767931080026917,-4.070887295112466,9.227776033910118
79,5.5120003151622186,-5.9339748515687365,-3.7305983656174715,9.192019004825955
80,5.463282450282636,-6.059150384430852,-3.387643255315246,9.12319359325648
81,5.365494332632527,-6.132994332125926,-3.0474559543665483,9.023253618253298
82,5.221625501916827,-6.151948121112032,-2.717120689809451,8.886634653749773
83,5.031649878146286,-6.119725450769852,-2.40429409119123,8.6992128551544
84,4.801177777130355,-6.045413407127811,-2.1127989699978613,8.444693035198577
85,4.544980675773896,-5.939709918432657,-1.8399564501873333,8.115533284444638
86,4.282781573430768,-5.808439574378651,-1.5778285676141306,7.712446713976144
87,4.034100047524816,-5.648931437297061,-1.315955648847142,7.236893416624102
88,3.813907041460922,-5.453401115340749,-1.044028831700876,6.6941237544293735
89,3.631423496085244,-5.214031164981467,-0.75573474743514,6.102510848895944
90,3.492931629796964,-4.926307889700929,-0.4525288834956711,5.4891719193767905
91,3.399004615920713,-4.591462302785743,-0.1432187408548784,4.871448199450859
92,3.3365277141564635,-4.218029558722952,0.16034802504479811,4.250734089273529
93,3.2820691215386417,-3.8212001942164027,0.44703805384142875,3.623778845556006
94,3.217075965527163,-3.4186357339935265,0.7082078417276205,2.9919172451014653
95,3.1381280805232885,-3.0265511432987933,0.9397099905631938,2.3626845472940343
96,3.0539892912854714,-2.6597466901130535,1.1415877927406712,1.7481725747913257
97,2.97514517320215,-2.3294224498515734,1.314482730506019,1.1608213943988708
98,2.9080321247732694,-2.037049375510495,1.4595280695271744,0.6148575247895731
99,2.856730388604397,-1.7715208690508262,1.5814809243571901,0.13150909971832142
100,2.8214804756868523,-1.5129882250348703,1.6876021517930349,-0.2667849855544769
101,2.801782888385482,-1.2422458339672,1.785755090402553,-0.5607859993224901
102,2.810203559161833,-0.9479716577100957,1.8882622425201676,-0.730831412325122
