,TP9,AF7,AF8,TP10
0,-0.10015516849758194,-0.2634715223350068,-0.18126024872144797,-0.1295698050436277
1,-0.25137582661539537,-0.5893817231334353,-0.46213224173470985,-0.31421442840199626
2,-0.48011734573573384,-1.0726643090502472,-0.9058647834359266,-0.5763531539904128
3,-0.8016105926564896,-1.7293071538292302,-1.550057728997683,-0.9236704044394444
4,-1.2269975221806375,-2.562668547799981,-2.4186764751520777,-1.3456457819437426
5,-1.7596994133036623,-3.557542147929551,-3.5119407808687684,-1.817190707898747
6,-2.395570451320414,-4.680360910272224,-4.804002582084912,-2.315596921339076
7,-3.126573597209716,-5.885459023686654,-6.247436941550125,-2.829516854135795
8,-3.9424480489369698,-7.1241573470020265,-7.781340152989736,-3.3574622735859143
9,-4.8297931524976105,-8.355351535696924,-9.34228581181861,-3.9037002307952107
10,-5.772685500253069,-9.557589778177789,-10.880148394467263,-4.47965556990364
11,-6.745714627446054,-10.701766904401962,-12.345215642038074,-5.096993730060038
12,-7.724773931380374,-11.766864098063918,-13.69639236667124,-5.766570701138974
13,-8.686589069047997,-12.742680447056394,-14.904151212828515,-6.4882365813346
14,-9.607133411930347,-13.629459888910144,-15.953562133416261,-7.247637001907701
15,-10.464091520723724,-14.43439146068612,-16.84193629249588,-8.027561757972167
16,-11.244306290071114,-15.166429525743743,-17.577822454016236,-8.820538488388138
17,-11.946625610976795,-15.832808118351808,-18.178998137911915,-9.624377746969287
18,-12.572766808281145,-16.43497855314279,-18.663818400830685,-10.42502905744375
19,-13.122134281490391,-16.96504441011531,-19.045035702953534,-11.19466710977618
20,-13.589876022067887,-17.40790010921314,-19.33109275798605,-11.90577797605157
21,-13.962167792364005,-17.747009687678855,-19.528992034899264,-12.54013376712232
22,-14.219080780833053,-17.97038683718416,-19.64351447323622,-13.083878521681905
23,-14.34239576659831,-18.073708559340666,-19.67494512953572,-13.515307580841085
24,-14.319712732636564,-18.060080065719262,-19.619724281347878,-13.8078280946986
25,-14.147357867243155,-17.94026297953506,-19.4727099588986,-13.943742181249489
26,-13.835397729470792,-17.733771184692483,-19.231831992635605,-13.922884082109208
27,-13.410063740758616,-17.465947264359134,-18.90302593450245,-13.765952483750096
28,-12.906666740607108,-17.15988195219199,-18.499494696190382,-13.506461976215869
29,-12.35655957734353,-16.82933792768963,-18.039782435238987,-13.174892200361521
30,-11.782146737940463,-16.478898588189622,-17.547800050511984,-12.788708507758443
31,-11.201234019012603,-16.108149847338304,-17.051190089174884,-12.35838893505724
32,-10.629621681239184,-15.714509922012018,-16.577939422569823,-11.89889816616962
33,-10.078795887211582,-15.296674033999544,-16.148726488618436,-11.425457707934124
34,-9.55115610559033,-14.856408101484904,-15.766886234709405,-10.944246055688541
35,-9.039090596439076,-14.399260169167027,-15.418953113977457,-10.454163137132106
36,-8.531149094960492,-13.937378362014716,-15.085296078164042,-9.954816743687616
37,-8.019706111199909,-13.488202803419602,-14.749542898431104,-9.453797564869918
38,-7.506780708742498,-13.06856110850492,-14.402416389228216,-8.966545801967865
39,-7.001429917297381,-12.691952840343482,-14.040118645184586,-8.50935887485631
40,-6.511124723236291,-12.367465284503854,-13.663976860016069,-8.091342730512375
41,-6.039155279911317,-12.096216791514175,-13.281744653140985,-7.714717957039964
42,-5.585523582694007,-11.869536837217629,-12.905882461160628,-7.381630317239572
43,-5.148177590457909,-11.671297573697988,-12.549170240187768,-7.093631050758201
44,-4.7243291452859575,-11.48318301013052,-12.219036989226513,-6.844300685913605
45,-4.311842123548567,-11.290822411140926,-11.916912901388622,-6.617442685670924
46,-3.913792768588261,-11.085454060973174,-11.640022114752004,-6.400416405565835
47,-3.5418036270780897,-10.861113210301228,-11.379997507201802,-6.196141300399679
48,-3.2127808868624856,-10.61273327624649,-11.122849125358128,-6.016267005856035
49,-2.9407179472560645,-10.336710145853294,-10.85180376187831,-5.8632641752792445
50,-2.7309191778851774,-10.030933578209327,-10.552531001906098,-5.722308280422398
51,-2.581134848982523,-9.693636828031597,-10.216927831256884,-5.575154530067517
52,-2.4850911166834893,-9.323937080903823,-9.84199015510171,-5.413417245165514
53,-2.4344489620932546,-8.922762942447024,-9.427735701580795,-5.237845520573575
54,-2.418165372720701,-8.492173974945706,-8.977739569782697,-5.052379391888525
55,-2.419490851807303,-8.03450827443707,-8.500813967193709,-4.856638168171895
56,-2.4154921040156396,-7.553248903996777,-8.01074047693106,-4.650443548788962
57,-2.3822959439321556,-7.053829603613218,-7.521927313172407,-4.446862990679383
58,-2.3017436212692934,-6.543899037629006,-7.043544501662368,-4.268750677435826
59,-2.16635432395269,-6.033793672340632,-6.577736153343877,-4.1305739510723525
60,-1.9799095671817641,-5.536003874249261,-6.1197271312127715,-4.030217844992494
61,-1.7523705022565437,-5.063867906268533,-5.660282910074694,-3.9545659773162996
62,-1.4956924180657205,-4.629589502995391,-5.1920948353730445,-3.88487075268187
63,-1.223083311235991,-4.243279127183789,-4.71360149372619,-3.7989417020094556
64,-0.9476640784931512,-3.9139047039443993,-4.228060807746128,-3.667719984827835
65,-0.6808938542713333,-3.649499196740951,-3.740350653955224,-3.455951708115574
66,-0.4342503955730636,-3.453460787379599,-3.254590889035178,-3.135503128957537
67,-0.22090776694143746,-3.3196733102019587,-2.771254554787109,-2.6975825601563668
68,-0.054795514007713,-3.233434957094839,-2.284705824276476,-2.152756590314943
69,0.051361379645360195,-3.176613393260029,-1.7858607322717404,-1.5191140699624852
70,0.08884065851772896,-3.1300742121868015,-1.266118346223102,-0.8145605031832082
71,0.05763087484267452,-3.0742874534234743,-0.718775323703237,-0.0600151124826844
72,-0.02896743476043603,-2.992925661183233,-0.1408075974693989,0.7162819258620367
73,-0.1470418466500593,-2.8761147007584764,0.4632819630383194,1.4817888826849361
74,-0.26851503705990337,-2.720061721245872,1.0791241539085308,2.2119230925448763
75,-0.365452739496634,-2.5268991533270118,1.6827713058762055,2.8937343075916924
76,-0.41474963254306263,-2.3047877759993676,2.24262812812627,3.5155160269214742
77,-0.4040774019527258,-2.0667077671111946,2.7233640573979745,4.059396301582455
78,-0.33732134083712373,-1.8274750020030162,3.093374775389255,4.500752020267883
79,-0.2348998163277668,-1.5996629337336798,3.3366145622307273,4.813423936394411
80,-0.12694630264154683,-1.3936334094179026,3.4537098078783033,4.979298317872637
81,-0.044466924343410395,-1.2194952180126573,3.448985676729241,4.9935646501802715
82,-0.014499269330503703,-1.0850030696856319,3.3247741726792213,4.860521743686176
