,TP9,AF7,AF8,TP10
0,-0.18460262194285326,-0.2666521196541398,-0.4133653260749474,-0.307760850270521
1,-0.3793662552504093,-0.6449833579324908,-0.9412363860965793,-0.6788615148544876
2,-0.6970518773110844,-1.2237028147178446,-1.704944921583241,-1.24310175222131
3,-1.1579800462559278,-2.0221246797743024,-2.707171920764751,-1.9949457722081472
4,-1.7575836048346434,-3.0402763498769296,-3.9338595457835863,-2.895963060908188
5,-2.484313516342983,-4.2589256108519224,-5.35075191319212,-3.905446936877595
6,-3.331188703914,-5.642989147791687,-6.904754258691761,-4.99420608343598
7,-4.290847005976605,-7.147228893449194,-8.53136486293596,-6.1383030458752
8,-5.341842108054322,-8.722765308307228,-10.166117118154668,-7.304425837456167
9,-6.453027696854197,-10.3256523126576,-11.758279920400007,-8.461604902974008
10,-7.6073261330745146,-11.930565128050645,-13.290117537470362,-9.618313392431837
11,-8.795153133594999,-13.502497307885857,-14.732553175143549,-10.789571849668139
12,-10.00480615097029,-15.015054633174108,-16.066613598949598,-11.982749428461656
13,-11.209326682524281,-16.451901841451274,-17.28619685287786,-13.185608628550208
14,-12.38036133012459,-17.8027001758307,-18.393038009797774,-14.37885363416575
15,-13.506262156293838,-19.060874004988353,-19.38558792342363,-15.542870794786039
16,-14.592666121050572,-20.221208995496937,-20.255584635814795,-16.65422700997856
17,-15.638478529496936,-21.276533024138313,-20.995026077579357,-17.679161144082766
18,-16.618884930614946,-22.217361829618874,-21.602443498179692,-18.56963831731555
19,-17.505290084719523,-23.03454488240553,-22.0798746201018,-19.287839665741657
20,-18.29343010545022,-23.72299250821072,-22.42358207227777,-19.83721166299968
21,-19.003247626252136,-24.28258626789653,-22.624794214362666,-20.256364313944864
22,-19.649567281312276,-24.71569321307256,-22.679277299787415,-20.580892060684434
23,-20.225469648238846,-25.02527469393565,-22.590473555039548,-20.825141220832805
24,-20.711701481711195,-25.215670165076176,-22.36826962011446,-20.99758613216038
25,-21.096463795687647,-25.29370605304443,-22.028025215939934,-21.114980744470348
26,-21.387600614251767,-25.26755099209334,-21.58947032054731,-21.19814816624631
27,-21.595810311981403,-25.14620042384538,-21.07555342256428,-21.24549441755777
28,-21.71628325613923,-24.940375461520752,-20.509239068961275,-21.22556131512934
29,-21.730805706025485,-24.660168185306958,-19.909325085970607,-21.102902165168747
30,-21.627750607752013,-24.31170660458251,-19.2886709268352,-20.858241748761245
31,-21.416865253735498,-23.900064771754614,-18.653279366887315,-20.4948932309919
32,-21.11442685267122,-23.433498953288016,-18.00166749912822,-20.028190485615514
33,-20.721328109969946,-22.92366509185954,-17.328075255532422,-19.46359235102942
34,-20.215966028898457,-22.38420626635832,-16.62720585676939,-18.7858559209711
35,-19.579428930584818,-21.829230070711464,-15.896684151653647,-17.985432049130342
36,-18.824051178410556,-21.272810766763254,-15.13866339657437,-17.088788639884598
37,-17.97784373973754,-20.72625512466238,-14.359740558440942,-16.13466924280223
38,-17.053066904535743,-20.193763588709505,-13.569038889319211,-15.140514205124221
39,-16.037641240594827,-19.670889527321673,-12.777865741294928,-14.104453846777355
40,-14.92067524123917,-19.145046448881953,-12.000043452041638,-13.028693705057748
41,-13.720735071009234,-18.599395766946238,-11.251136434432043,-11.937619594927165
42,-12.480931354697255,-18.02063456351884,-10.547227643927274,-10.867651823779328
43,-11.241877937003135,-17.405739846725137,-9.903531577289101,-9.842461023145404
