,TP9,AF7,AF8,TP10
0,-3.5268717642168925e-11,-8.846220565375198e-11,-1.0668156844648414e-10,-8.53365314238935e-11
1,-7.951368196559079e-10,-1.9309628262953146e-09,-2.2906793246385233e-09,-1.3689713384537238e-09
2,-1.009999744131965e-08,-2.1293677081723848e-08,-2.5494724657927027e-08,-1.688567322491553e-08
3,-8.323278228662568e-08,-1.5562022350337495e-07,-1.8744740440919726e-07,-1.3142509726538684e-07
4,-5.088160060878868e-07,-8.524719997169218e-07,-1.032532123373758e-06,-7.660159551506035e-07
5,-2.4675465865052877e-06,-3.7461988955870177e-06,-4.559772215555468e-06,-3.564565950579267e-06
6,-9.921356781797013e-06,-1.380372588088713e-05,-1.6873476635948377e-05,-1.3826903763823493e-05
7,-3.4134037325747435e-05,-4.400730805614134e-05,-5.399461358983164e-05,-4.611265892963718e-05
8,-0.000102926656113868,-0.00012428306952245262,-0.0001529888792897557,-0.00013533611543629332
9,-0.00027724582170487967,-0.00031670111141445,-0.0003909983800017394,-0.00035606452364522577
10,-0.0006776048868038895,-0.0007390029300125505,-0.0009148566749512945,-0.0008525437161736856
11,-0.0015224132137537894,-0.0015982294123751699,-0.001983686172971488,-0.001881247090061948
12,-0.0031793467602406716,-0.003235690423904548,-0.004026268550465585,-0.0038666828707261914
13,-0.0062300315696320425,-0.006183836391319355,-0.007714128221042103,-0.007470122658189762
14,-0.011547528589839668,-0.011234825546331859,-0.014050211512106515,-0.013669893806407594
15,-0.020385305056669994,-0.019519722510433782,-0.02447176552446595,-0.02385083683463187
16,-0.03447531289589457,-0.032596253339642216,-0.04096446124063154,-0.03989926623284975
17,-0.056131330702555514,-0.05254182529585543,-0.06618294597094959,-0.06429825131960686
18,-0.08835189987349515,-0.08204709870130555,-0.1035709078878751,-0.10021633484955277
19,-0.13491519128967308,-0.12450386527398923,-0.15747156459626327,-0.15158108833160933
20,-0.20045625792866545,-0.18407951523066843,-0.23321750536417776,-0.22312743548603062
21,-0.2905157109402701,-0.26576919044651964,-0.337187315909445,-0.3204097476752732
22,-0.41154828690768225,-0.37541606511887826,-0.4768156885007832,-0.4497667555242106
23,-0.5708803313818805,-0.5196902750714884,-0.6605440123122955,-0.6182296034507598
24,-0.7766069701573405,-0.7060179676684607,-0.8976999409519107,-0.8333660285816332
25,-1.037422488676848,-0.9424537957152908,-1.1982972352452603,-1.1030574776069695
26,-1.3623809260666913,-1.2374928599488673,-1.5727512633194543,-1.435210720483342
27,-1.7605879091066625,-1.5998214626508138,-2.0315107446973313,-1.8374108207593443
28,-2.240829207015202,-2.0380098785504397,-2.5846123662475544,-2.316527808283446
29,-2.8111462637279927,-2.5601544673918037,-3.2411713715381008,-2.878294635501646
30,-3.478373830027238,-3.1734806157900994,-4.008827655004047,-3.5268784519361294
31,-4.24765943473901,-3.883921939523016,-4.893172771299824,-4.264470510872991
32,-5.12198842128131,-4.695694594301725,-5.897188094091178,-5.090921813801848
33,-6.101741262742355,-5.610888115654872,-7.020727675488501,-6.003451785227292
34,-7.184311457270854,-6.6290956497062945,-8.260080765365123,-6.996455671150059
35,-8.363812120642976,-7.747106546662298,-9.607648138505564,-8.061432856505355
36,-9.630897179076342,-8.95868297510845,-11.051763137671612,-9.187052803311792
37,-10.97271882959449,-10.254439495755152,-12.57668263555488,-10.359368017849219
38,-12.373036914897773,-11.621840502973525,-14.162765106113321,-11.562174703261578
39,-13.812488425529446,-13.045325257935128,-15.786843070872823,-12.77751207623726
