,TP9,AF7,AF8,TP10
0,-0.5010189188376918,-0.17789643712688574,-0.297669666857853,-0.21724367384615048
1,-0.8927674987381329,-0.4210298494765035,-0.6439694814454453,-0.5208011613247449
2,-1.4297325978514852,-0.7693338516334838,-1.1655172474393698,-0.9627477983584858
3,-2.075123863311924,-1.215986673125438,-1.896226662874577,-1.5482636458322885
4,-2.7462678549043136,-1.7538557927517067,-2.851769993490136,-2.2623025988241205
5,-3.3885295153935306,-2.378203191665265,-4.022294799879879,-3.073211619303927
6,-4.005120256496603,-3.084060257262094,-5.371013178629539,-3.948636285286833
7,-4.630084297944183,-3.8614749227567695,-6.846173984013335,-4.862259453037756
8,-5.279557905289122,-4.689495869727002,-8.407560883793499,-5.793821052294906
9,-5.956250196597587,-5.540288522781811,-10.034009562226814,-6.731923211227523
10,-6.7031014939844535,-6.396004866137244,-11.717288521503841,-7.681099837116795
11,-7.586055518077847,-7.240548216436615,-13.424550768523286,-8.640861067283948
12,-8.629522137727712,-8.069756145121854,-15.11365441158775,-9.6110720104367
13,-9.778934157744597,-8.882518041316398,-16.730316070816322,-10.586269965348725
14,-10.969009617826412,-9.67243121040263,-18.219268098436295,-11.556478009003053
15,-12.191629627169066,-10.429677407967231,-19.548847285724168,-12.513603208331185
16,-13.484154746910603,-11.149423296515941,-20.7192741293951,-13.453630262203824
17,-14.853063451722871,-11.834989083502387,-21.74367806051498,-14.374671503845825
18,-16.24155441301813,-12.49428040846137,-22.619209049584676,-15.275006509056578
19,-17.593834392702643,-13.138650454332605,-23.32969518346187,-16.151357552735192
20,-18.90398269339986,-13.782805209184033,-23.880662206795485,-16.999779852688267
21,-20.19460562253725,-14.437328058069117,-24.31780312501452,-17.819658675742996
22,-21.451333342494106,-15.101628305805331,-24.70581413944113,-18.61275763016379
23,-22.60568008752545,-15.766820588838097,-25.09006533798906,-19.37664991550834
24,-23.583329254023305,-16.420897221163973,-25.478661490483827,-20.10419850792956
25,-24.353235130703723,-17.052122379813415,-25.844896168216376,-20.788016133891418
26,-24.948787443619118,-17.649317075781653,-26.14565569529476,-21.42122508966034
27,-25.416110775784865,-18.198053458261636,-26.345049351193026,-21.99635490072846
28,-25.7629930097722,-18.68349015106753,-26.412982047324842,-22.50593091869294
29,-25.96773153314631,-19.101280490426433,-26.32065794302525,-22.94404859192057
30,-26.02665688604009,-19.460797918600022,-26.04932161701654,-23.30831974758466
31,-25.988885049012687,-19.774266444791877,-25.58693055515373,-23.600540525562
32,-25.90517934817134,-20.04576907891468,-24.91985299958012,-23.82206437024732
33,-25.76666676791774,-20.269424273531747,-24.04950722919464,-23.968175249048407
34,-25.505155202786305,-20.435740193768424,-23.020842003348665,-24.028907196379638
35,-25.059947499968835,-20.538524190488236,-21.915646343425376,-23.99388417727345
36,-24.440855473344737,-20.56993319607829,-20.809591801816335,-23.85602329251878
37,-23.702875730553597,-20.512252940735667,-19.73793386486476,-23.61284230024691
38,-22.883495346782762,-20.349398906006574,-18.709062682197402,-23.263264590515586
39,-21.960395343196236,-20.083954157205408,-17.74541185560283,-22.8022862835622
40,-20.897817163323978,-19.73611215468591,-16.89204216948133,-22.222144233067066
41,-19.724695639487173,-19.33447498510984,-16.18951885924918,-21.52085984454004
42,-18.519699826166008,-18.906769109263386,-15.646141909547929,-20.711454656094578
43,-17.33941427627071,-18.469316438041538,-15.235243000338436,-19.8226643049815
44,-16.176684244289685,-18.020628868410064,-14.910944173380173,-18.889472699385568
45,-15.016966355709739,-17.544056105850945,-14.622194819487056,-17.943539404597562
46,-13.901166756721603,-17.01511681556651,-14.320987873692866,-17.006826240151625
47,-12.895366461415923,-16.411514577179382,-13.96675166081081,-16.088689953338765
48,-12.017639798236862,-15.72361639137967,-13.532946696869093,-15.18751483629442
49,-11.20935752265912,-14.95443180974135,-13.008607758836353,-14.294887412802105
50,-10.400496197114167,-14.111202398922323,-12.391583627622246,-13.400974617016836
51,-9.57464447074512,-13.200898725941201,-11.688359353903618,-12.495619564775154
52,-8.757047443202797,-12.2321525030586,-10.923656641466247,-11.56663149878578
53,-7.948607181928109,-11.218330901953792,-10.146981886564562,-10.602196132384151
54,-7.103243484494642,-10.17510048807948,-9.4190724711907,-9.596282925171508
55,-6.194984260751374,-9.113852183405497,-8.782665834296985,-8.5539707725812
56,-5.268635445138152,-8.041926482414748,-8.252232833426824,-7.49361851392387
57,-4.410576583349109,-6.971459211150525,-7.834881933246588,-6.441361153387586
58,-3.6599968108729484,-5.920790408581417,-7.549045365808981,-5.420550539695481
