,TP9,AF7,AF8,TP10
0,-0.5461857442108006,-0.3192668330994222,-0.07864173849706474,-0.4951892875926589
1,-1.004466880525722,-0.7127112020279414,-0.2477201564799969,-1.034239221212243
2,-1.5916541147634335,-1.2870161158116016,-0.5400714865064828,-1.7874603256011534
3,-2.3148596911577375,-2.0493687627483013,-0.9784537414726844,-2.7480474207920427
4,-3.1125557352151727,-2.9959371612456347,-1.584996991096486,-3.8600764710099056
5,-3.896137799185082,-4.111700642673011,-2.3786152271887104,-5.0396842861873745
6,-4.635690034147565,-5.368462691467062,-3.3649927873707015,-6.209797949556529
7,-5.366753237018473,-6.728354448280381,-4.524480346379707,-7.313653839429634
8,-6.117384117390269,-8.15255273035796,-5.816280269140523,-8.309128754604764
9,-6.8624742396690985,-9.61155314899069,-7.200475729459235,-9.173842958337465
10,-7.574011893582068,-11.099717146537024,-8.646361809252399,-9.932982582687458
11,-8.29524652288467,-12.602838212025622,-10.105445614995249,-10.637141943806528
12,-9.085736078212397,-14.108793277365187,-11.521810007331068,-11.348052502621655
13,-9.925881614369732,-15.602642293413432,-12.850147980619681,-12.101362393044347
14,-10.709359034966912,-17.063038881431115,-14.066826836499125,-12.899138063197944
15,-11.34686711422122,-18.464119037687844,-15.157424749772428,-13.736711644373138
16,-11.868016231210895,-19.780584753493326,-16.09496796475229,-14.631657254785827
17,-12.370526449131903,-20.991714368475094,-16.84986829930591,-15.602026648867398
18,-12.891827719777167,-22.083179305659577,-17.42357603385757,-16.621779355939164
19,-13.345452084944357,-23.04539709733169,-17.846887301839846,-17.612887384980873
20,-13.63047678785655,-23.87139653072105,-18.14864851074697,-18.495677360836122
21,-13.755969578505539,-24.556133036085463,-18.344408144649858,-19.233679987401413
22,-13.800896535065558,-25.098260478793854,-18.44570626700382,-19.81703385469814
23,-13.808610139582743,-25.505013845898866,-18.467928776851842,-20.22964014620019
24,-13.739670677481802,-25.793202776323238,-18.432758484446683,-20.4416889226661
25,-13.566135733901595,-25.98463239913094,-18.36623721566772,-20.438039090500453
26,-13.359458945192356,-26.09979073354852,-18.283742874829017,-20.240205990532598
27,-13.236344457148036,-26.1516722290627,-18.181423976972713,-19.89005909917157
28,-13.245964803294562,-26.143976603793842,-18.05347584612512,-19.41941118673646
29,-13.325104925476742,-26.077386140408453,-17.904125006999827,-18.834664949089476
30,-13.399850946561644,-25.960490772446242,-17.734218525770647,-18.143084958314706
31,-13.482766577415388,-25.814798874297953,-17.528695360417938,-17.37809125287819
32,-13.6458548684806,-25.66904864972451,-17.265166513204885,-16.586289450344427
33,-13.901283452290917,-25.546708952490643,-16.93186033644286,-15.78934094297238
