,TP9,AF7,AF8,TP10
0,-7.490309907292574,-11.915572366645824,-13.491702778529403,-5.9697418282117
1,-8.172694987027974,-12.422464215099264,-13.88509093710437,-6.327800684552706
2,-8.614681315878265,-12.934915770589944,-14.28390238800512,-6.5773772620631465
3,-9.047746624010962,-13.421920893021891,-14.711848760698148,-6.795705836806952
4,-9.74167877296022,-13.87191854827631,-15.185878030370871,-7.0951737472832574
5,-10.544559034517308,-14.298737496516141,-15.704168924909371,-7.47268184397289
6,-11.251574310705474,-14.723354039709323,-16.24514923289277,-7.897103705087667
7,-11.846781185745458,-15.147252033658681,-16.796317137512993,-8.328893196012503
8,-12.357486048239306,-15.559399461175136,-17.36465872597409,-8.724484330878642
9,-12.926697927627503,-15.92526404595427,-17.93216288598811,-9.123372750975005
10,-13.662539808615447,-16.22795258700976,-18.445162799855396,-9.564914915543525
11,-14.272456424914008,-16.479837066105368,-18.867167669312646,-9.939924088210228
12,-14.468839708087032,-16.72540507628123,-19.209067582965755,-10.151509288371264
13,-14.486405281062721,-16.973958076627966,-19.511394374019098,-10.300668730138709
14,-14.623220503901484,-17.188397068074437,-19.802040999859848,-10.507065358870486
15,-14.832004576033341,-17.36786113640838,-20.110240512960107,-10.760029264456483
16,-14.996146248906737,-17.58399269844947,-20.443843153980005,-11.008893139418282
17,-15.00536288075857,-17.905316016870305,-20.79577517664595,-11.172851292254233
18,-14.7880284319066,-18.317526902833368,-21.13658809129236,-11.185243805026914
19,-14.60483542116476,-18.737367356018016,-21.396684355827468,-11.13347559387234
20,-14.700891106899949,-19.08696709268369,-21.514190390488583,-11.118666132842467
21,-14.762294413554269,-19.346702367079434,-21.48713803509051,-11.05009868653931
22,-14.45183243475763,-19.540197902498754,-21.343546777778528,-10.827473946631962
23,-13.978683674313569,-19.71711382335132,-21.117856729132885,-10.533421534875886
24,-13.63581151945778,-19.930359129417354,-20.84533313167386,-10.261465634890193
25,-13.480162545987925,-20.189970080639476,-20.544507235253572,-9.996517750713956
26,-13.490191242402693,-20.48379534796613,-20.222032529543068,-9.704790615258798
27,-13.47737579549066,-20.80521280303317,-19.87309148232104,-9.316181526474757
28,-13.262096704472667,-21.140593743856268,-19.497813651374585,-8.806428174902763
29,-13.076747046030839,-21.468073664130785,-19.135967544984194,-8.39482753741566
30,-13.185181932441925,-21.765294925445257,-18.818025697917715,-8.299128224939134
31,-13.39052781733604,-22.006556450527267,-18.54264082149647,-8.430410398992125
32,-13.462613449746883,-22.170037829535527,-18.272481211340963,-8.635926717898334
33,-13.527548088412066,-22.25231182467613,-17.992562349086274,-8.905877688421622
34,-13.745977425841392,-22.253394732538304,-17.69919470577902,-9.255545315270277
35,-14.161756003028637,-22.15606298070296,-17.42534614451853,-9.72324078099102
36,-14.75302129211886,-21.94720796549669,-17.206104589753906,-10.33342805363449
37,-15.24474562779478,-21.637952868585867,-17.03144059717326,-10.941528171357923
38,-15.401537384710137,-21.24734395401737,-16.875061482917832,-11.406736619922928
39,-15.524222102610604,-20.794375375878946,-16.7136896995135,-11.822582095974782
40,-15.959714014128929,-20.29597957387843,-16.533265611426543,-12.320293740090834
41,-16.54284473445767,-19.752581174123623,-16.351010491051508,-12.883441773545536
42,-17.037286979415832,-19.16406296460907,-16.18983608760335,-13.465884361434476
43,-17.467776676640387,-18.55362210357122,-16.079262941911097,-14.053017462029638
44,-17.9065720261259,-17.94410111787966,-16.015691901978716,-14.625532421073459
45,-18.48774567495739,-17.335442929303614,-15.98622715271851,-15.189007122106574
46,-19.304672119637377,-16.716076945369558,-15.966267723632294,-15.755928300764586
47,-20.072864022788114,-16.06907627785019,-15.942042736715639,-16.2715033270426
48,-20.501401652809392,-15.371090160519373,-15.898457241750043,-16.689162214272116
49,-20.811122668523616,-14.599824272161166,-15.80140785558661,-17.094131049390814
50,-21.267830179125678,-13.7371998010249,-15.62329839311241,-17.5590746684558
51,-21.714090232499917,-12.763841261564114,-15.362797188075053,-17.97584327722121
52,-21.944625746134626,-11.673952761406229,-15.035591483671423,-18.22450950326349
53,-21.936356524324754,-10.49685348259399,-14.67262610335412,-18.31630685925919
54,-21.723207963853607,-9.26958189297228,-14.303954999257709,-18.310604911419784
55,-21.499600509734876,-8.003727005219218,-13.937978260264039,-18.304683471672362
56,-21.431915656583843,-6.706563148278574,-13.56407096016959,-18.38554946638786
57,-21.257200189179084,-5.401502644664932,-13.159785183499018,-18.496135815294785
58,-20.700293550171647,-4.109230217209602,-12.699151966267921,-18.557030810488648
59,-19.989548374337858,-2.833449226455214,-12.149553899254158,-18.634042240367535
60,-19.428517386235573,-1.6049899531400016,-11.540586038754046,-18.80166730675509
61,-18.940308796531326,-0.4994683012768504,-11.01152541575463,-18.948989410613123
62,-18.414752277420774,0.44967928447768674,-10.650840580282338,-18.970784209605252
63,-17.782037914144055,1.271740236045856,-10.448554742837883,-18.791995759824598
64,-17.02214291768364,2.032473265992649,-10.323843595688496,-18.414921626213264
65,-16.42592007182964,2.801750681438668,-10.195707930124938,-18.086097558124465
66,-16.25725445450222,3.6083392243136876,-10.013554573440492,-18.030703950003122
67,-16.208183792855763,4.41064223641425,-9.7840649576467,-18.088331098667247
68,-15.515349613315486,5.117674235542678,-9.449119628311614,-17.90780864299206
69,-14.729008352102372,5.783682691617452,-9.100861138115244,-17.657754118116273
70,-14.08347139302353,6.423125299726315,-8.728162410869922,-17.431828661239717
71,-13.561819096863724,7.0403643305115065,-8.358103943077444,-17.257940093736927
72,-13.072388208557603,7.615504904270272,-8.026609869440872,-17.13957478800038
73,-12.452500283215395,8.146404732486756,-7.739980413998382,-17.014874829329976
74,-11.566051561000974,8.633985938314522,-7.487524187581967,-16.813645796478518
75,-10.670823450802779,9.08800237921132,-7.247875428738225,-16.613374340945615
76,-10.077413474181057,9.525829207752057,-6.99683720336897,-16.514382254169046
77,-9.575705820493488,9.968380387709713,-6.726908573208248,-16.448915717174348
78,-8.865173807503076,10.430546807926474,-6.443823907634808,-16.31984972040957
79,-8.069803457163623,10.908205085382761,-6.159917233452429,-16.156069478829107
80,-7.394725454344782,11.38785932780484,-5.88809506817921,-16.00800112926195
81,-6.87761698669632,11.856862273274217,-5.635706295698932,-15.87381611273808
82,-6.498978970339294,12.306114069529094,-5.398939514422028,-15.740540404579718
83,-6.070248732804638,12.738187845354055,-5.151281734955972,-15.55950851922883
84,-5.394679705506072,13.156425496184113,-4.868580828774384,-15.286291315429924
85,-4.680082679736297,13.55982480405542,-4.5541671177659016,-14.999704631456849
86,-4.1963042727168665,13.939245250063564,-4.229760321153382,-14.79137451155552
87,-3.763376839435243,14.247162253591513,-3.94568648300711,-14.594876384769226
88,-3.128535397640447,14.454794764761575,-3.73069831808558,-14.318338231475687
89,-2.3538871406101065,14.598009722537522,-3.574215723693913,-13.982930995096911
90,-1.5828601745402004,14.754299576967782,-3.412257551998819,-13.643328176218818
91,-0.9508177397476753,14.970849581562867,-3.1814494414732217,-13.36651151220638
92,-0.5596146845393111,15.23763467923217,-2.876701002557355,-13.200893105709408
93,-0.2225713680420685,15.533030912839488,-2.526690210875793,-13.053971851056659
94,0.29894472866038646,15.81690366788108,-2.1831902003858867,-12.804017316872327
95,0.8467206619899048,16.070732136361563,-1.8600984668264515,-12.486438862512363
96,1.2007874481444814,16.287821171491608,-1.554510383169773,-12.174253636648274
97,1.5162369104479017,16.451507294151376,-1.2717659377309487,-11.834588345528578
98,1.9985537691853417,16.55130806609599,-1.0145875684999413,-11.425004444356412
99,2.6246225151383604,16.587839748486914,-0.7893871880456983,-10.96662484252805
100,3.30073271814174,16.570394524584646,-0.5998612680556145,-10.489234222550964
101,3.8440552907003713,16.532219398242553,-0.42646705297682264,-10.028624548792065
102,4.097118011306264,16.495607586383763,-0.24371999007384015,-9.610249603038396
103,4.287199574631963,16.458989870241226,-0.04314019922017956,-9.161507579871465
104,4.7013928893035,16.381673168608202,0.17631603898072126,-8.608799510492512
105,5.162703648702719,16.249398903161346,0.41654756765784773,-8.039939444789676
106,5.410109026857657,16.059972846079376,0.6738941855987968,-7.56953782270424
107,5.526570630020964,15.829601858050456,0.9372074987706475,-7.188111751453819
108,5.665183925811212,15.586423549712057,1.1913565961473875,-6.843764417088426
109,5.897389751223285,15.361216578165683,1.4202254560218908,-6.470719532118881
110,6.252113991746205,15.171020159615525,1.606819506594595,-6.015834032961395
111,6.523967980635784,14.985014936825841,1.7341989141821181,-5.560400413634709
112,6.492614387203052,14.765252903615503,1.791474313586721,-5.213313080053048
113,6.382365257200691,14.49520925933451,1.7752856431641248,-4.919595349165622
114,6.489478553517055,14.181488482907207,1.7014871914598155,-4.593217679921306
115,6.666972548489914,13.818666130917576,1.5840977975858177,-4.286640532408272
116,6.688632457368504,13.379482810614267,1.4588708835239248,-4.063168849665151
117,6.590157402490413,12.85581005866776,1.3659553786501886,-3.8891482333690726
118,6.474037987111318,12.292184528640973,1.3102500517426783,-3.707252890269953
119,6.491841039343599,11.763663007351642,1.275137277222618,-3.440198084853781
120,6.771574904849022,11.31194241995149,1.2340961303734932,-3.0340017490399664
121,7.090867280947185,10.918860860189044,1.1822536159553116,-2.5989814541345972
122,7.182215060515757,10.533667370433022,1.1302833239428045,-2.2672465780117017
123,7.258311380275223,10.126897435715774,1.1063941053466615,-1.9730181795172468
124,7.612128868261681,9.684969363631435,1.135991328235963,-1.5998331592199864
125,8.12719292608947,9.219719263338485,1.2277839586149266,-1.1368222504637924
126,8.606156458123307,8.752992218047869,1.3696196571752786,-0.6028852157853323
127,9.02194008611865,8.289176747135354,1.5562676161652809,-0.030420316561341643
128,-4.9270947792381925,-13.49440454228995,-9.979170661896251,-9.283025919104222
129,-5.214667242182636,-13.72763304196692,-10.089758193829802,-9.280524624964503
130,-5.256767257429981,-13.981749439619705,-10.238744276168793,-9.19284159581025
131,-5.325634980260229,-14.267729861545934,-10.424211464601585,-9.140117513789045
132,-5.71155191325062,-14.579686158561387,-10.635588318554847,-9.24433722852333
133,-6.248373191032783,-14.914577808284156,-10.866297168653967,-9.469800713099236
134,-6.691931262937798,-15.26285480416997,-11.10739287393543,-9.73766321587143
135,-6.9866340579835615,-15.601405723844605,-11.344283638412852,-10.011685946917071
136,-7.137064256423395,-15.91263970319296,-11.56300512755114,-10.262288131240648
137,-7.286485624090462,-16.18644861331191,-11.743577031108344,-10.488153527837156
138,-7.582183259175963,-16.430264110453233,-11.877117537820329,-10.706129648991729
139,-7.832372362033235,-16.701646021494902,-11.999054823881522,-10.876982407262506
140,-7.845331579857231,-17.04656652773898,-12.146863622041831,-10.981886607680577
141,-7.885588296926911,-17.4287913595481,-12.306723396087898,-11.143150128058348
142,-8.229592140229327,-17.790064294514863,-12.460004994996481,-11.466124333604045
