,TP9,AF7,AF8,TP10
0,-1.8666448304262626e-10,-8.98153344301772e-11,-3.304393763751408e-10,-8.557612216590307e-11
1,-3.870594528170814e-09,-1.942250032689667e-09,-1.228859123458836e-09,-1.6206756352143237e-09
2,-4.510870017176784e-08,-2.1601112437254956e-08,-1.823798941319216e-08,-1.830889607817002e-08
3,-3.4425722469094783e-07,-1.5882264696583846e-07,-1.3271949377670677e-07,-1.3552360696732697e-07
4,-1.951318242461701e-06,-8.746329230501754e-07,-7.375796385399798e-07,-7.523324176114351e-07
5,-8.799148216924138e-06,-3.860282800405113e-06,-3.2903419995983035e-06,-3.3495810580504575e-06
6,-3.298868034854546e-05,-1.4271418884211042e-05,-1.230077517236381e-05,-1.250064590112582e-05
7,-0.00010614075725294092,-4.5604539095309225e-05,-3.979328334305291e-05,-4.035370704889076e-05
8,-0.0003002566557767716,-0.00012897613953250547,-0.00011402044070493188,-0.00011536731942863866
9,-0.0007613086737689073,-0.0003288618178319632,-0.00029473606495409205,-0.00029752684676395377
10,-0.0017577021806971167,-0.0007673437440745565,-0.0006974854789927773,-0.0007024500403415673
11,-0.00374431887741098,-0.0016585966004939465,-0.001529333448611248,-0.001536634400334826
12,-0.00744164010308385,-0.0033547940322227144,-0.00313793266782915,-0.003145581690723308
13,-0.013928613905331998,-0.006403944751659146,-0.006075165414281159,-0.006075703919661207
14,-0.024747109355183095,-0.011619407362205635,-0.01117551859464671,-0.011149799074328384
15,-0.04201454473272567,-0.020159942249449583,-0.019648153966031888,-0.019554541035741297
16,-0.0685394286692904,-0.03361802877829313,-0.03318004721803483,-0.032936905902985224
17,-0.10793234318608674,-0.054112722270635,-0.05404575465743472,-0.053504848755216966
18,-0.16470260631241687,-0.08438155206038837,-0.08521738834501229,-0.0841259328854554
19,-0.24432867420714904,-0.12786402211648631,-0.13046628868609497,-0.12841604861569822
20,-0.3532885894805214,-0.1887674530096817,-0.19444611941930762,-0.190808903313444
21,-0.4990359639911367,-0.27210454599350337,-0.28274560627258527,-0.2765957181060932
22,-0.6899077383195961,-0.3836914764575373,-0.40189838901591757,-0.3919237777562141
23,-0.9349525414874075,-0.53009573472148,-0.5593373936128625,-0.5437424718332995
24,-1.2436726781588399,-0.7185243965528322,-0.7632822770925625,-0.7396865947777985
25,-1.6256780712217476,-0.956645978256393,-1.0225507633715483,-0.9878891495355694
26,-2.090256520650741,-1.252342418610808,-1.3462884645457254,-1.296719759322738
27,-2.645871192174057,-1.6133919063458586,-1.7436167432418754,-1.6744498212569552
28,-3.29960306263762,-2.0470880867564127,-2.2232043372258614,-2.1288513565156415
29,-4.056562618206373,-2.559806421208775,-2.792775295185135,-2.666742600052483
30,-4.919300775949331,-3.156533853934029,-3.4585727558895183,-3.2934991730041814
31,-5.8872533477671025,-3.8403831066644796,-4.224804721767246,-4.012554698040949
32,-6.956256119672886,-4.612117456774403,-5.093103302614819,-4.824918559900076
33,-8.118168534905982,-5.469715312984558,-6.0620325589197375,-5.728740930133073
34,-9.360642546216347,-6.408005826149641,-7.126681298882954,-6.718955955442999
35,-10.667068980715788,-7.418406757577327,-8.278376067773484,-7.787032993196206
36,-12.016726580149573,-8.48879357941756,-9.504545878985951,-8.920862807366447
37,-13.38514911499969,-9.603524202144055,-10.788764424597769,-10.104800658366372
38,-14.744714198295862,-10.7436369335395,-12.110987411320927,-11.319881273162146
39,-16.065444250715007,-11.887230615722043,-13.447992660908845,-12.544211993374436
40,-17.315996124017424,-13.010025856948822,-14.77401864212648,-13.75354033891053
41,-18.464802079824523,-14.086095464129608,-16.061583823754958,-14.921981363293147
42,-19.481312401822798,-15.08874122414383,-17.282455575158643,-16.022879256662762
43,-20.337280108859556,-15.991483746985226,-18.408724489054553,-17.029767553887122
44,-21.008021956858396,-16.769122889920403,-19.41392962956356,-17.917383973737056
45,-21.47358763658311,-17.398819064383183,-20.274173275014874,-18.662690180539855
46,-21.719771095374675,-17.861141177174648,-20.96916130197398,-19.245844245687582
47,-21.738904327176748,-18.14102558872682,-21.483107417306837,-19.651074549061907
48,-21.530384575134182,-18.228592535239763,-21.805446068894476,-19.867408209101274
49,-21.100899870601186,-18.11977189993039,-21.931309225457717,-19.889214420969385
50,-20.464334059137965,-17.81669872262443,-21.86173586188397,-19.7165326944609
51,-19.64134979703965,-17.327849906626355,-21.60359878649439,-19.355167203512277
52,-18.658665567952113,-16.667906600052383,-21.169250703111977,-18.81654063212699
53,-17.54805978398417,-15.857340976297452,-20.575908928145584,-18.117313404073947
54,-16.345150472875975,-14.921740814238742,-19.844814871300954,-17.278786406689786
55,-15.088011732629743,-13.890899516275528,-19.00021914924061,-16.326116607572203
56,-13.81569696732778,-12.797712094462426,-18.068254605765205,-15.287384591175243
57,-12.566743313732799,-11.676928326563614,-17.075766789535557,-14.192560328629387
58,-11.377731407457917,-10.563821969549124,-16.04917354367072,-13.072417864501118
59,-10.281969768501364,-9.492839087329605,-15.013422217171541,-11.95745074947629
60,-9.308363792616754,-8.496288973916824,-13.991104445909079,-10.876837920298112
61,-8.480516273014997,-7.603137941115087,-13.001775384444773,-9.857504603668987
62,-7.8160907196743175,-6.837959768138609,-12.061507606208382,-8.923315215042495
63,-7.326452035490657,-6.220087446078456,-11.182691339944057,-8.094425884873086
64,-7.016582754067481,-5.762999645819451,-10.374074000900922,-7.3868140005514205
65,-6.885258069831402,-5.473962797259812,-9.64101464085268,-6.811991833859289
66,-6.925450120035374,-5.3539365273112285,-8.985914526103855,-6.3769016484797305
67,-7.124922146410069,-5.397737229545831,-8.40877414386784,-6.083981211170468
68,-7.466966928277641,-5.59444249050426,-7.907820293290456,-5.93138177700473
69,-7.931241403813897,-5.928008645802122,-7.480144483208923,-5.913315597068445
70,-8.494650358745803,-6.378065397647873,-7.122296022024249,-6.0205068668532
71,-9.1322358215533,-6.920845496158837,-6.830779611624809,-6.24071867293346
72,-9.81803485705609,-7.530204079737136,-6.6024179172084985,-6.5593287185295805
73,-10.525876326777395,-8.17868131876728,-6.434553467339265,-6.959928174782736
74,-11.230096259585471,-8.838563324757116,-6.325080390196636,-7.424920694019189
75,-11.90616073678116,-9.48289958503584,-6.272313200440994,-7.936102148671401
76,-12.531193560133211,-10.08644011553381,-6.274715455789195,-8.475205696562009
77,-13.084412694722374,-10.626461685884882,-6.330524210994523,-9.024400914525636
78,-13.54748422470423,-11.08345941431087,-6.437315470454833,-9.56673958283069
79,-13.904805243879611,-11.4416872636354,-6.591560942308691,-10.086543895637716
80,-14.143727584433584,-11.689538015880471,-6.788226869482265,-10.56973516430406
81,-14.254732605261571,-11.819759772779449,-7.020462021010464,-11.004102404889954
82,-14.231563803115124,-11.829511689853048,-7.279414237945699,-11.379510662319621
83,-14.071319595182082,-11.72026645469193,-7.554204225046867,-11.688048813817174
84,-13.77450409937834,-11.49757103965157,-7.832072251179809,-11.924116273086762
85,-13.345029669271169,-11.170680618267378,-8.098699296137807,-12.084447789608546
86,-12.79016168945839,-10.752083312744539,-8.33869003637731,-12.168075597680899
87,-12.12039408306722,-10.256935659770422,-8.536191807467892,-12.176228565987655
88,-11.34924370549122,-9.702430315039996,-8.675612467567454,-12.112168758371903
89,-10.492953687812816,-9.107118543284011,-8.7423914381481,-11.980966954747757
90,-9.57009982678706,-8.49021046743222,-8.723773071433621,-11.789220263344557
91,-8.601099762811993,-7.870875931076315,-8.609530087193917,-11.544717004115848
92,-7.6076313138997245,-7.267568215786741,-8.392587618509923,-11.256056540869059
93,-6.611973361522785,-6.697391777669103,-8.069504915972542,-10.93223455415134
94,-5.636289567256083,-6.175533596866283,-7.6407816148183665,-10.582207159390064
95,-4.701881273188601,-5.714775621933859,-7.110967346782756,-10.214450008224906
96,-3.828440477490954,-5.3251031014583,-6.488566394459922,-9.836530756999867
97,-3.033336368749511,-5.0134203531007095,-5.785741762944805,-9.454714790455307
98,-2.3309694843662725,-4.7833818013572795,-5.017834698427695,-9.073624624955258
99,-1.7322262868033105,-4.635342043643182,-4.202725983256029,-8.69597285562269
100,-1.2440637709527391,-4.566424413874276,-3.3600738035104585,-8.32238676529648
101,-0.8692484600482211,-4.570703152027386,-2.510469642514337,-7.951339768660106
102,-0.606266795543852,-4.639490023623913,-1.6745578270493677,-7.579200730584379
103,-0.44941499498778986,-4.76171226695255,-0.8721658667876382,-7.200406990499478
104,-0.38906683021617805,-4.924365319992151,-0.12149096663690213,-6.807760857646726
105,-0.412108332461549,-5.113021130477532,0.561616637579773,-6.392842765996162
106,-0.502519793462588,-5.312371179239253,1.1642403178387761,-5.946527590404416
107,-0.6420780101085847,-5.506782749464355,1.676829602073212,-5.4595842002900214
108,-0.8111459729926128,-5.6808474541521194,2.0934643795607317,-4.923332495638466
109,-0.9895134747887173,-5.819902487510524,2.4119461845699037,-4.3303271926315015
110,-1.1572505410811587,-5.91050733141041,2.6337206283220604,-3.675033780539347
111,-1.2955359218126479,-5.940861519688074,2.7636426136270016,-2.9544596305865776
112,-1.3874248632932222,-5.901152327468992,2.8096020572869573,-2.1687025292687037
113,-1.4185238572312713,-5.7838246898856935,2.782032769590238,-1.3213802218378377
114,-1.377545028855362,-5.583769062530142,2.693330689922364,-0.41990811440685016
115,-1.2567190243630721,-5.298426143585574,2.55721022913766,0.5244018807170242
116,-1.0520521762018065,-4.927810242070611,2.3880287897469605,1.496440437622625
117,-0.7634207584650655,-4.474455493343019,2.200109883592431,2.4776073186639227
118,-0.39450196596803355,-3.9432910160667043,2.007094258945689,3.446324028514433
119,0.04745220159855834,-3.3414524571932493,1.8213463145084905,4.378740171515274
120,0.5519858254154852,-2.6780382156692464,1.6534396296359384,5.249610062340659
121,1.1059369623933113,-1.9638190580625454,1.5117412701252109,6.03330593861054
122,1.6940404495176709,-1.210909946914711,1.4021097738450699,6.704925283929021
123,2.299610348573685,-0.4324128236437726,1.3277170610780467,7.241442754281384
124,2.905274537502847,0.357961044425498,1.2889999710083109,7.6228524259690795
125,3.4937324241400622,1.1462806031262085,1.2837429252198755,7.833243880977245
126,4.0485059171197,1.9187877855088264,1.307289157858463,7.8617562878080225
127,4.554653805854763,2.662284582069682,1.3528737677946299,7.703358281657315
128,-2.0971154223388223e-10,-8.380539636793609e-11,-4.30218904758171e-11,-2.5166817385123396e-11
129,-4.774827564619043e-09,-1.5486648468887613e-09,-8.868943265087143e-10,-3.918991468557322e-10
130,-5.433641675534125e-08,-1.7421940771399618e-08,-1.0271748264577398e-08,-5.109646269965716e-09
131,-4.0753924301951825e-07,-1.284882406154793e-07,-7.845721266038556e-08,-4.187983386727603e-08
132,-2.2744621497884045e-06,-7.114713328197847e-07,-4.494386288999369e-07,-2.542572622158245e-07
133,-1.0109216776906371e-05,-3.1625860317337743e-06,-2.0640772870367224e-06,-1.2226870468720899e-06
134,-3.740341209538728e-05,-1.1793927527322658e-05,-7.937980565393048e-06,-4.873728389473964e-06
135,-0.00011891667501996536,-3.8073025604715233e-05,-2.6366527669453885e-05,-1.6639267535053506e-05
136,-0.0003328320225503067,-0.00010892321147322364,-7.742182454512878e-05,-4.9879427405639026e-05
137,-0.000836043693603765,-0.0002812749420179583,-0.00020468307377413466,-0.00013389718855516476
138,-0.0019147439435919758,-0.0006653130688008365,-0.0004944503962938043,-0.0003270615651012663
139,-0.004051187991287702,-0.0014588386235655326,-0.0011047548529577505,-0.0007366092386785127
140,-0.008006468185615557,-0.0029948273057492534,-0.002306264262449157,-0.0015466348913275767
141,-0.014918340853713085,-0.005803660968009064,-0.004536697075427624,-0.003055652271081615
142,-0.026412201895591493,-0.010690646593964674,-0.008469570307891095,-0.005724876340794166
143,-0.044721808283328834,-0.018828340047616642,-0.015096989808282783,-0.010237956896121503
144,-0.07281428923423912,-0.0318618258147688,-0.02582472455621253,-0.01757215317777085
145,-0.11451170692589113,-0.0520234631397907,-0.042576049680782276,-0.029079813058572605
146,-0.17459923068277605,-0.08225169584838894,-0.06789892944728244,-0.0465775295501728
147,-0.2589080551351968,-0.12630643218708795,-0.10506921847965502,-0.07243863548661937
148,-0.3743597282944131,-0.1888714058339788,-0.15818086764951714,-0.10968296796674462
149,-0.5289579522765898,-0.2756320713152552,-0.23221277969488532,-0.16205629425347487
150,-0.7317146254894341,-0.3933162580838769,-0.33306111842565345,-0.2340906228980343
