,TP9,AF7,AF8,TP10
0,1.2205544713854867e-12,-9.097111053124303e-11,-1.5937624320108156e-10,-8.02393636659476e-11
1,-3.168214943115813e-11,-1.698593222876504e-09,-2.2120140832321024e-09,-1.6977728177452311e-09
2,-2.0406957942387967e-09,-1.9157573393190267e-08,-2.5805344529464422e-08,-1.9121845640995648e-08
3,-2.7539505757148668e-08,-1.4085081290134825e-07,-1.9021736890349068e-07,-1.4207487659923905e-07
4,-2.2327100269083107e-07,-7.766838954835482e-07,-1.053989290405944e-06,-7.913537401595692e-07
5,-1.3038150667960368e-06,-3.4342035020261008e-06,-4.684039146713095e-06,-3.5340274159175916e-06
6,-5.973042667368965e-06,-1.2724640242772864e-05,-1.7445145671743683e-05,-1.32193707302554e-05
7,-2.259162458337434e-05,-4.0768561758626426e-05,-5.61888374794634e-05,-4.272083010771026e-05
8,-7.304051828588215e-05,-0.00011563072978068762,-0.00016023064225977125,-0.00012207359730374184
9,-0.00020710894872435375,-0.0002957060323530368,-0.00041204201500981614,-0.0003140580320141007
10,-0.0005254707521868847,-0.0006919490466007955,-0.0009696919998164694,-0.0007380962422035208
11,-0.0012123852499549626,-0.0014994609530047775,-0.0021137291571609773,-0.0016036629147867963
12,-0.0025780131258742187,-0.0030392587576876726,-0.004310355831990869,-0.0032533949607907605
13,-0.0051091254867549375,-0.0058101859508113704,-0.008291584269191906,-0.006214960063716241
14,-0.009526191514270121,-0.01054996095753837,-0.015151610456774114,-0.011259702585098483
15,-0.01684418733421559,-0.01830335138207819,-0.026457025946396092,-0.019465174883322233
16,-0.028433686220563668,-0.03049436499980994,-0.04436667189098871,-0.032277802465045344
17,-0.04607774131860728,-0.04899813438810052,-0.07175496381536621,-0.051571007755116714
18,-0.07201884870895697,-0.07620685433476634,-0.11233039598615067,-0.07969308087292641
19,-0.10898905749937063,-0.11508281055348593,-0.17073872308424712,-0.11949800788641085
20,-0.16021527104433744,-0.16919043176326728,-0.25263825766761233,-0.1743515653709208
21,-0.22939123584096893,-0.24269864659453494,-0.36473306738680367,-0.24810457976542435
22,-0.3206080575326946,-0.3403449117790344,-0.5147491018879622,-0.34502568589123467
23,-0.4382366883566378,-0.4673532830340696,-0.711338799251045,-0.4696874483980842
24,-0.5867587787224403,-0.629300938943634,-0.9639019199197078,-0.6268023965751179
25,-0.7705462735566517,-0.8319305873920169,-1.2823142875974594,-0.8210092009630137
26,-0.9935946963770457,-1.0809100372839808,-1.6765617282670036,-1.0566135893519994
27,-1.2592198198419244,-1.381544634331977,-2.1562833761159172,-1.3372933012344927
28,-1.5697321162508686,-1.7384529140191136,-2.730236209618442,-1.6657810547490908
29,-1.9261077144293068,-2.155220363205895,-3.4057005575913735,-2.0435437713199107
30,-2.327678110188492,-2.634050212066413,-4.187853754893129,-2.4704797480646397
31,-2.7718631379869803,-3.1754333441476947,-5.07914555998471,-2.944657679422765
32,-3.253972451093744,-3.7778613495372464,-6.078713781963073,-3.4621220706954614
33,-3.76709991790577,-4.437607180345938,-7.181881425703045,-4.0167884673577205
34,-4.3021328459640324,-5.1485965651216095,-8.37977712267039,-4.600448962999798
35,-4.847893597284306,-5.90239019823682,-9.659118446824378,-5.202903662036405
