,TP9,AF7,AF8,TP10
0,-10.203001802285208,-7.0828413227857565,-12.791227767036803,-12.607640721549787
1,-10.522629571235898,-7.401990028242858,-12.969958003915727,-12.895465288577796
2,-10.782191598274371,-7.678244662886449,-13.142398540154893,-13.185515342424628
3,-10.963126399718403,-7.901903293859228,-13.317423552906648,-13.466130413784501
4,-11.068649445752726,-8.07636125807073,-13.497332332072984,-13.730785453667094
5,-11.137653069063738,-8.212272943212788,-13.689479488650864,-14.024167013157735
6,-11.215399124965668,-8.329979842353069,-13.891787009155014,-14.384882999494982
7,-11.320497339255079,-8.460316009434877,-14.070191699476977,-14.791632647254707
8,-11.453200522800582,-8.621038588345423,-14.192830504914827,-15.202063898943527
9,-11.594588198556233,-8.790025651571,-14.268653987104129,-15.578500072558962
10,-11.719142299987531,-8.93695046939555,-14.315970159419349,-15.888236059706463
11,-11.823655159915637,-9.049367536218469,-14.337184412453,-16.120573805107064
12,-11.907745856566109,-9.132853921930643,-14.329620797486667,-16.279504100373213
13,-11.94819243297414,-9.224890568884254,-14.282985391085338,-16.3672489268317
14,-11.924155595295874,-9.3657305524832,-14.19074390460942,-16.388056605748023
15,-11.83953910434151,-9.56108816968259,-14.065249641843826,-16.35422185615292
16,-11.709472886043542,-9.79428656357338,-13.929549148539257,-16.27746518661436
17,-11.5460035375571,-10.038433365804984,-13.819663232175927,-16.151482534505448
18,-11.368429056712724,-10.261997726960272,-13.759869696843298,-15.97862973292736
19,-11.21654192853144,-10.432384717983524,-13.72503205712879,-15.80410536299488
20,-11.118726149428234,-10.538765409863633,-13.677982842953366,-15.669330993747323
21,-11.065288075522572,-10.621998539377202,-13.607689966711224,-15.57991028937469
22,-11.031323265965938,-10.728802918975163,-13.512189041886007,-15.515617479659015
23,-10.979936500358683,-10.868325235114321,-13.400649011947023,-15.406323551867045
24,-10.892114579605614,-11.02807793368628,-13.281767681921645,-15.19901909035393
25,-10.81819333781111,-11.168523622594149,-13.129099204652707,-14.949704329048426
26,-10.814292265263926,-11.256839832347133,-12.929283522460999,-14.74107041646894
27,-10.880503005762051,-11.320768034948747,-12.685122582138515,-14.609633445297842
28,-10.984367710425953,-11.40297736784312,-12.44517326352647,-14.560338145912034
29,-11.05962433307388,-11.520548034064628,-12.239125097036178,-14.546725368689037
30,-11.045934442818599,-11.671802090305537,-12.082630193094957,-14.50933822201722
31,-10.947828292465207,-11.819958653367138,-11.931201648955208,-14.437635131105091
32,-10.802429861197787,-11.924553304193687,-11.746168706000422,-14.343528048262508
33,-10.653976921982515,-11.988791869465162,-11.531294572687644,-14.242142624742804
34,-10.538252143154887,-12.033431494990344,-11.334140862865151,-14.148910275527081
35,-10.448369377504234,-12.072338794034295,-11.18156139460577,-14.055939828768322
36,-10.36174896331247,-12.116458355796961,-11.057004656019203,-13.946980401115097
37,-10.2646165211865,-12.172793202331405,-10.956757826205795,-13.82343705897104
38,-10.15685437617731,-12.235869478455552,-10.861834406090466,-13.688147688327982
39,-10.07863262853548,-12.278851524410625,-10.777721227308977,-13.529132107590744
40,-10.063842200371987,-12.292133087054134,-10.67934553234667,-13.337084641528818
41,-10.085978775122902,-12.255739664624988,-10.516317809653808,-13.121281135523885
42,-10.092629537506221,-12.209203371608568,-10.216821425558367,-12.893985289242233
43,-10.025607748937693,-12.202122081076133,-9.790144641999786,-12.654354437203269
44,-9.844904513738129,-12.271449242919642,-9.371241775028308,-12.4018027429125
45,-9.570185519092597,-12.37018047016834,-9.10779865726751,-12.147070918374249
46,-9.254072461360986,-12.436195191281097,-9.021947033686484,-11.89805413307915
47,-8.947818882667875,-12.46880963934616,-9.01656860888361,-11.651946738168196
48,-8.695359505176729,-12.483402838190905,-8.974083077879381,-11.395225662375777
49,-8.524385287898209,-12.491515958545984,-8.822658245988064,-11.100333555393224
50,-8.432996902457278,-12.495836405591811,-8.539999248238649,-10.736925346141486
