,TP9,AF7,AF8,TP10
0,-3.91968424563298e-11,-1.0397205077298109e-10,-1.0618124692906894e-10,-6.335014790850716e-11
1,-7.905962781880535e-10,-1.906596425971187e-09,-2.2925248941062804e-09,-1.4206676208285036e-09
2,-1.010326116389874e-08,-2.131344562034576e-08,-2.5492954155413047e-08,-1.6839627020094345e-08
3,-8.323132192008412e-08,-1.5561674065879707e-07,-1.8744713808060656e-07,-1.3142417996209196e-07
4,-5.08813000350241e-07,-8.524553541242331e-07,-1.0325334634417059e-06,-7.660523539302982e-07
5,-2.4675518954603933e-06,-3.746222562834964e-06,-4.559771031453402e-06,-3.564525334269088e-06
6,-9.92135285029438e-06,-1.3803708075518979e-05,-1.6873477566115274e-05,-1.3826934846810789e-05
7,-3.4134039848684576e-05,-4.400732300437187e-05,-5.399461226124409e-05,-4.611262444466495e-05
8,-0.0001029266530445866,-0.00012428305254138467,-0.00015298888061277062,-0.00013533615341493338
9,-0.00027724582589428175,-0.0003167011291362196,-0.00039099837922088265,-0.00035606449401123325
10,-0.0006776048833852151,-0.000739002911970559,-0.000914856676245704,-0.0008525437505460097
11,-0.0015224132170536203,-0.0015982294303285437,-0.0019836861715558287,-0.0018812470514367433
12,-0.0031793467562509447,-0.003235690407526814,-0.004026268551072121,-0.003866682900819938
13,-0.006230031572882708,-0.006183836409285023,-0.007714128219629252,-0.007470122642370976
14,-0.011547528586613376,-0.011234825526995588,-0.01405021151384903,-0.013669893782084021
15,-0.020385305058595864,-0.01951972251643588,-0.024471765524567722,-0.023850836890269882
16,-0.034475312898806815,-0.03259625335584559,-0.0409644612393186,-0.039899266194177725
17,-0.05613133069717016,-0.05254182527171256,-0.06618294597214719,-0.0642982513427174
18,-0.08835189987742394,-0.08204709871905225,-0.10357090788690004,-0.10021633481879293
19,-0.13491519128715904,-0.12450386525912008,-0.1574715645975115,-0.15158108837270629
20,-0.2004562579318497,-0.18407951524830293,-0.23321750536272537,-0.22312743544959054
21,-0.2905157109359446,-0.26576919042823016,-0.3371873159101771,-0.32040974770332004
22,-0.4115482869107805,-0.37541606513542664,-0.4768156884995139,-0.44976675548420536
23,-0.570880331378574,-0.5196902750535418,-0.660544012313668,-0.6182296034663395
24,-0.7766069701618691,-0.706017967687481,-0.8976999409511283,-0.8333660286213561
25,-1.0374224886759666,-0.9424537957090197,-1.1982972352459316,-1.1030574775638249
26,-1.3623809260628252,-1.2374928599327961,-1.5727512633200895,-1.4352107205119384
27,-1.7605879091108394,-1.5998214626751603,-2.031510744695249,-1.8374108207229127
28,-2.240829207011917,-2.038009878532487,-2.584612366248959,-2.316527808320598
29,-2.811146263731439,-2.5601544674065266,-3.2411713715374546,-2.878294635472311
30,-3.478373830023431,-3.173480615773266,-4.008827655004858,-3.526878451967171
31,-4.247659434742076,-3.8839219395409352,-4.893172771298253,-4.264470510832087
32,-5.121988421277979,-4.695694594283602,-5.897188094092543,-5.090921813837389
33,-6.101741262746521,-5.610888115672565,-7.020727675487695,-6.003451785198347
34,-7.184311457267705,-6.629095649689648,-8.2600807653663,-6.99645567118944
35,-8.363812120646235,-7.747106546680166,-9.607648138504127,-8.06143285648964
36,-9.630897179071754,-8.958682975089308,-11.05176313767237,-9.187052803272621
37,-10.972718829595301,-10.254439495761327,-12.576682635554212,-10.359368017893336
38,-12.373036914901563,-11.621840502989546,-14.162765106112687,-11.56217470323392
39,-13.812488425525208,-13.045325257910786,-15.786843070874896,-12.77751207627416
40,-15.269016887670695,-14.506564110940511,-17.422785937309595,-13.986281333395782
41,-16.718452383609446,-15.9848427402619,-19.0422374213196,-15.168955695792414
42,-18.13522396325697,-17.457564218320808,-20.615500170965294,-16.306344804827734
43,-19.49317788190933,-18.900851930816053,-22.112529733342363,-17.38037091870833
44,-20.766468002448786,-20.290230342363742,-23.503991455838833,-18.374811622025806
45,-21.930479183545845,-21.601355789064648,-24.7623280116882,-19.275964411469133
46,-22.962740784080943,-22.81076628166818,-25.86278255867377,-20.07319248601068
47,-23.84378579684309,-23.89661794478917,-26.78432341045489,-20.759317991593434
48,-24.55791191157228,-24.839376293533164,-27.51042058984686,-21.33083833087692
49,-25.093804241353713,-25.62243295082668,-28.029632515611574,-21.787952260675404
50,-25.444985547301986,-26.232622426846376,-28.33597185853226,-22.134394540559395
51,-25.610068266772835,-26.660618862899447,-28.429032546151753,-22.377089992195142
52,-25.592792974963587,-26.901198803197442,-28.313874071491494,-22.525649193452857
53,-25.401849397056473,-26.953362659937675,-28.00067361965887,-22.59173799507546
