,TP9,AF7,AF8,TP10
0,3.412201488746897e-11,-2.7250408386579676e-10,-1.0752441392478223e-10,-6.356700398798403e-11
1,7.349512347203443e-10,-1.11157911529318e-09,-2.1877315580193795e-09,-1.2909015033776248e-09
2,7.2595585261353935e-09,-1.604279012887535e-08,-2.4504785503882653e-08,-1.5249585640145922e-08
3,4.6140644637076675e-08,-1.1833336845766188e-07,-1.804408572826087e-07,-1.1826095984111736e-07
4,2.0958290507575265e-07,-6.6583417029756e-07,-9.961835086631546e-07,-6.880957603499068e-07
5,7.124666154433206e-07,-3.006445517211078e-06,-4.410924826036682e-06,-3.2075853676901107e-06
6,1.806770882688699e-06,-1.1370789948523076e-05,-1.6371007769960205e-05,-1.2502058619894185e-05
7,3.062499979864395e-06,-3.7183509466926565e-05,-5.2553503745874376e-05,-4.199399555681556e-05
8,9.932355684896807e-07,-0.00010758648616910242,-0.00014939259823023237,-0.0001243546820164586
9,-1.6556974968364365e-05,-0.00028049136024969787,-0.0003830340397501299,-0.00033051110489743386
10,-8.115146568806471e-05,-0.0006686060355270855,-0.0008989263651951067,-0.0008000194834656982
11,-0.00026133323297362627,-0.0014747482096253016,-0.001954429542404764,-0.0017852612914174078
12,-0.0006881181651819738,-0.0030401832686130846,-0.003976145413152834,-0.0037109292648169916
13,-0.001588724383997437,-0.005907061974685768,-0.007632804935707064,-0.0072491787295690955
14,-0.003328283201599767,-0.010895164781137829,-0.013923582942337663,-0.01340981248876823
15,-0.006459053722356422,-0.019192305104246927,-0.024280679188384644,-0.023643907350136228
16,-0.011776637522825486,-0.03245653443304608,-0.04068381611361959,-0.03995816571336232
17,-0.020382556597612043,-0.052926779686842854,-0.06578286443066923,-0.0650358365529144
18,-0.03375205597719597,-0.08353647354432897,-0.10302304143979733,-0.10235827333302741
19,-0.053805022655208,-0.1280223780329584,-0.15676507254859137,-0.15631919781999262
20,-0.08297653239366343,-0.19101846893191296,-0.23239052447646405,-0.23232171579437
21,-0.12428194820863421,-0.2781227759309497,-0.3363805007970552,-0.3368463795691617
22,-0.18137003923007708,-0.3959240454070236,-0.4763544469253478,-0.47747752342109234
23,-0.2585566835629639,-0.5519750700899126,-0.6610553520506668,-0.6628751001211156
24,-0.3608316912856873,-0.7547008643842195,-0.9002684993696453,-0.9026805571237109
25,-0.49383217948845365,-1.013232289307217,-1.2046632141298788,-1.207347868016345
26,-0.6637774859796739,-1.3371593358053206,-1.585550681149195,-1.5878944734876461
27,-0.877362415817025,-1.7362026743811219,-2.0545555200564407,-2.055571326390625
28,-1.1416073854664188,-2.219807321460557,-2.623204037533701,-2.6214562742009693
29,-1.4636657146825152,-2.7966680901751575,-3.3024375720943957,-3.2959804193190223
30,-1.8505900588824125,-3.4742026821564655,-4.102064868504108,-4.0884025645442765
31,-2.3090619508928976,-4.25799456518548,-5.030172798051761,-5.006252000922214
32,-2.845090728903163,-5.1512334598042955,-6.092519778351451,-6.05476434759486
33,-3.4636907302305944,-6.154185925842837,-7.291940674407927,-7.2363385963660924
34,-4.1685483349701835,-7.263731344011358,-8.627795373778522,-8.550045629089812
35,-4.961692905237495,-8.472999232935615,-10.095495164926831,-9.991218951989461
36,-5.843187472906072,-9.771141771865308,-11.686141039512458,-11.551156947499836
37,-6.8108558707693145,-11.143270769034801,-13.38630575930005,-13.216962493347502
38,-7.86006278284676,-12.57058106225092,-15.177986821170599,-14.971540451515397
39,-8.983561998211016,-14.030673039406928,-17.038750419522174,-16.793766569555874
40,-10.17142610273325,-15.498075916086933,-18.942077448182005,-18.658833084167075
41,-11.411067975711612,-16.944961327135655,-20.857912031418643,-20.53876715359219
42,-12.687360785098704,-18.3420243851447,-22.753401718681015,-22.403108661236622
43,-13.982858809295365,-19.659497386521373,-24.593807122342046,-24.219724561945075
44,-15.278116609632063,-20.868250914081564,-26.34354826011607,-25.955728499821745
45,-16.55209917153905,-21.940928869773177,-27.967345914893173,-27.5784675457599
46,-17.78267096177454,-22.853058966497425,-29.431409532984578,-29.05653310794326
47,-18.947147737514655,-23.58407873294781,-30.704618910660216,-30.360750752041806
48,-20.02289169077445,-24.118219630953167,-31.75964537807633,-31.465104131411373
49,-20.98792831155459,-24.445198162217075,-32.573959439466414,-32.3475515390842
50,-21.82156220561293,-24.560672714042845,-33.13067587494272,-32.990699498877134
51,-22.504968834692555,-24.46643751328312,-33.4191940465489,-33.38230569184187
52,-23.02173959459601,-24.17033980651484,-33.43560035190198,-33.51559258565193
53,-23.358358833152533,-23.685922217530134,-33.18281097194798,-33.389362648042386
54,-23.504593574964222,-23.03180818711218,-32.670445621154606,-33.0079154170279
55,-23.453780136930583,-22.230863556480976,-31.914436143960828,-32.38077558922926
56,-23.202996562350652,-21.309180517116587,-30.936386719654227,-31.52224937382606
