,TP9,AF7,AF8,TP10
0,-13.824829334385848,-10.099824113768882,-13.44437362409488,-12.036837044970007
1,-14.149793417905899,-10.31589492825027,-13.90166167420904,-12.502632127780979
2,-14.47613540311579,-10.52475612970456,-14.359038815921355,-12.963775440152386
3,-14.755355006596835,-10.722992258123993,-14.799698003952003,-13.412650326445343
4,-14.953858346868584,-10.916665882207747,-15.218704922739878,-13.84971937218519
5,-15.147075361919727,-11.109248147222518,-15.627215382407012,-14.266091291974686
6,-15.418752619198173,-11.3057438847597,-16.04050720948295,-14.67368400119839
7,-15.728380706183064,-11.509611910476728,-16.460576542616842,-15.09360010354638
8,-16.016544609238995,-11.722757716400057,-16.882449648769036,-15.540590630991595
9,-16.303496041151085,-11.946838915275237,-17.299529479117645,-15.995322563134538
10,-16.61436118514651,-12.182480609840194,-17.701557130851107,-16.427732415576134
11,-16.941546099681045,-12.429846745049737,-18.07494807076303,-16.816162502017637
12,-17.268295329450503,-12.686410516119764,-18.412355540685322,-17.149660746227536
13,-17.548269164451778,-12.945163562311112,-18.716885798093756,-17.441104738537042
14,-17.743536202049093,-13.197596388997967,-19.002438655809854,-17.710574757446327
15,-17.897223075953505,-13.43459202030731,-19.28666134518714,-17.966181084350566
16,-18.06759562836857,-13.654865519704071,-19.585773718854718,-18.2112131863773
17,-18.2371938810701,-13.857226795134656,-19.891744188858585,-18.43334282296927
18,-18.384186465890995,-14.052929517292478,-20.174125331332007,-18.63500784619563
19,-18.563952565592512,-14.263663747791481,-20.411184182302968,-18.833109901544145
20,-18.81396957377309,-14.492033793032668,-20.61041179211115,-19.06374181832498
21,-19.074244465269345,-14.710804485431602,-20.797769431357942,-19.313199183739393
22,-19.26203134222946,-14.880617980240809,-20.977028916366326,-19.512409292329895
23,-19.3069016661424,-14.976738848329036,-21.128190065197696,-19.614390805079804
24,-19.174142746199045,-15.004083724356594,-21.230032777754605,-19.610227455042516
25,-18.934921516423096,-14.984989301695354,-21.28872776460722,-19.506384205862652
26,-18.68141992837117,-14.94249250020284,-21.324795970202388,-19.33017212029567
27,-18.418930408651057,-14.890791316108407,-21.344272039005173,-19.104846076834516
28,-18.127936560979037,-14.836199684507982,-21.331969822422973,-18.8490330782872
29,-17.804840586022227,-14.784270957107202,-21.275610456957704,-18.573088853932322
30,-17.449873890430457,-14.737771675982641,-21.17904031442283,-18.284314933447284
31,-17.098644891773933,-14.697929448635032,-21.051684421541204,-18.002686329662147
32,-16.78766438159113,-14.664392721146596,-20.898837262685646,-17.740664950131162
33,-16.48794513895973,-14.635163619445821,-20.72241773238203,-17.501590042573827
34,-16.164834174648533,-14.604623063772827,-20.521472171215887,-17.267850230616656
35,-15.847487970188494,-14.560492698840415,-20.300096326662484,-17.037139337368004
36,-15.568708375628944,-14.490233850114329,-20.062402976639063,-16.80746792352072
37,-15.315558062656429,-14.387238592893082,-19.80769060666997,-16.580063060601734
38,-15.067395013175581,-14.250799173314737,-19.534676924311736,-16.354719720014167
39,-14.806051556297776,-14.08624755048325,-19.235771430356667,-16.113084456359328
40,-14.51856131365309,-13.902847860536859,-18.905842681323005,-15.841592016122098
41,-14.238761734781347,-13.711647836512055,-18.540191804509654,-15.535790140747626
42,-13.994408383509677,-13.519975990596254,-18.12968337877075,-15.207080319580674
43,-13.719704897959858,-13.325636224753747,-17.668301857419014,-14.866724561033369
44,-13.349712253109976,-13.121575453098973,-17.163476213951196,-14.50597285204262
45,-12.925275038702305,-12.899252784670859,-16.630883855525298,-14.108093124394186
46,-12.503815240822831,-12.652019521217763,-16.078264384834892,-13.667061909335775
47,-12.09375172409919,-12.382732698083817,-15.508704872139848,-13.20439888477083
48,-11.68686316583716,-12.094826973492204,-14.923848700017183,-12.761197489783259
49,-11.24092278434641,-11.790533636242895,-14.337764578225,-12.37273516520935
50,-10.718690480930695,-11.466293596999867,-13.76286360367497,-12.039110197464664
51,-10.17616069388977,-11.121029887002791,-13.195064404954426,-11.72499828335422
52,-9.673165111027373,-10.759612374977612,-12.62312765678315,-11.382959951135344
53,-9.161685784724707,-10.386090504651781,-12.036563674101432,-10.995241693153543
54,-8.579797541133702,-9.996607422318572,-11.423086166964717,-10.559176795450153
55,-7.934392561077465,-9.584749220207028,-10.768461076364229,-10.078055521413406
56,-7.245011616574177,-9.142438695574247,-10.062863829076383,-9.558873479476624
57,-6.521525331107177,-8.666332239707053,-9.307157139861452,-8.99820749655123
58,-5.771472048157094,-8.155579000407139,-8.50844495369506,-8.389437575284882
59,-4.967964953457782,-7.61103600039352,-7.670528455849565,-7.733681311421145
60,-4.1278705320784095,-7.059031595583706,-6.830515545704143,-7.081088592843283
61,-3.349005636593035,-6.552057390201671,-6.062360628504471,-6.5310389224529715
62,-2.7475951898926563,-6.124528989525993,-5.415407284812354,-6.125796927946293
63,-2.2814226171004695,-5.780381798780483,-4.876938879413006,-5.832322827604811
64,-1.8682186731599595,-5.509857305591709,-4.399598966744709,-5.599412947797902
65,-1.5297401709661465,-5.298963077513459,-3.9396510427789058,-5.383609306017993
66,-1.2949867818054495,-5.131858596741871,-3.4710682955084806,-5.140477905651867
67,-1.1368521575574269,-5.004715650393423,-2.9883254016821827,-4.850279409576246
68,-1.1707806003937826,-4.830226263253176,-2.4797544075733993,-4.54636167381033
69,-1.1983178415189122,-4.666188131604824,-1.955193679774156,-4.24179698554399
70,-1.1782999160426857,-4.5042713901156946,-1.4328274261647929,-3.9564299610582254
71,-1.1345798514156171,-4.3426901030463245,-0.9388288885640033,-3.7024591451002
72,-1.1042387023105449,-4.19011280163573,-0.49602851885217675,-3.497725200174888
73,-1.0698498693936787,-4.04896529089358,-0.11220166549131355,-3.343693860988706
74,-1.0067986153779198,-3.920227863967735,0.21747453849871157,-3.232850263972329
75,-0.9324544584023149,-3.8028036096726243,0.5058072924956322,-3.1516652137687418
76,-0.86680306030978,-3.6915194853368907,0.7705108496840906,-3.08041560633598
77,-0.8116319470314788,-3.5743616922034276,1.0298612166537182,-2.991898549040565
78,-0.7577776225923948,-3.443870824594192,1.2953797132173281,-2.864063569099326
79,-0.6583556778703125,-3.2972892832729155,1.5649402408825666,-2.693666974055104
80,-0.47401144355032676,-3.1445550070644366,1.8279015324261647,-2.4897770645640103
81,-0.25175549137435543,-3.0042612619618585,2.0703543651575953,-2.2685102693477757
82,-0.062491374887384404,-2.8843789263460247,2.281648572362891,-2.0467552876249884
83,0.07248995199607061,-2.7800090543424743,2.4637687450035926,-1.8297734634873764
84,0.15319887551690475,-2.6783514989964625,2.6270197653692904,-1.616895526976721
85,0.19586911788681918,-2.5737710654038106,2.784858561526904,-1.4086900769893997
86,0.22601719685604185,-2.46283718686255,2.9489932195629764,-1.2065522314686359
87,0.231340070639267,-2.3393538075698954,3.120129769645734,-1.0182607964508124
88,0.19697098700558974,-2.199231359609895,3.2918350322416434,-0.8500805404430307
89,0.1691237069950728,-2.0424902432250507,3.4577563094221855,-0.6959451059122655
90,0.20052442121359715,-1.870916577278825,3.6103007496351953,-0.5446612684482235
91,0.28658457414151184,-1.6886154770963253,3.741234493449663,-0.3785147745841412
92,0.4032462751675642,-1.4994894570736363,3.844912382036926,-0.18494465836409738
93,0.5374256432957611,-1.3012134825986847,3.918107331716702,0.013819669837121776
94,0.6741942634625137,-1.0917831061550758,3.96248263693566,0.19936777134033565
95,0.8062856788753355,-0.8782338677717169,3.989353911083211,0.3681530954094522
96,0.9306861993718991,-0.6714111545398741,4.0104267941664995,0.5470651083890619
97,1.0184476439064518,-0.47997001076705914,4.0393062040164045,0.7621091659403469
98,1.0465161230652826,-0.3098483855642051,4.078879440652593,1.0089906418514372
99,1.0536100155466905,-0.16564817194267817,4.125156469802634,1.2596484526281686
100,1.0880308555200258,-0.0440057808649903,4.17706974431745,1.491366789357892
101,1.140150852650915,0.07534304301919446,4.2269650027913395,1.698795654869563
102,1.188311894124389,0.214688618322704,4.267251092797944,1.8799013527560053
103,1.232829882061408,0.3837152540584199,4.292637915612888,2.0258521952725586
104,1.2793393122316674,0.5770603661558872,4.299940300143344,2.116523641261173
105,1.368860251172665,0.7791201741164787,4.287774478119745,2.1459547653288813
106,1.5292885610602398,0.9630031583594193,4.257894530683661,2.1305583281763227
107,1.6663362590620383,1.1107451248860538,4.215376104160757,2.083483965474707
108,1.6726432644332514,1.2219817887583198,4.165891329045253,2.016569694730752
109,1.5791951962873363,1.3049639783697613,4.115340277666178,1.9213190962972797
110,1.4600132929268423,1.3685573300886,4.064965325454185,1.7835339949455098
111,1.3378122022514467,1.420366146576334,4.003802633528641,1.6050186682088592
112,1.2243912824296,1.471398245826518,3.917690999623657,1.396877004469862
113,1.1184358889223482,1.5348174360871765,3.7988414356947526,1.1777984184188717
114,1.0069442240692306,1.607741619400978,3.64639013287595,0.9687341287879955
115,0.9215915085869117,1.6696350712125456,3.4706322766051123,0.7773075827828159
116,0.8926239831450266,1.7078379765412752,3.2843251836407585,0.6046493130820827
117,0.8560786171183368,1.7203948184586928,3.1028021705049755,0.4581649082480684
118,0.7422515088278514,1.7139111257296618,2.931427419623197,0.34257362996531976
119,0.5946333377747558,1.6968774218382767,2.7648149679821956,0.2503548586306054
120,0.4784054793570083,1.6743190678511513,2.600907539625585,0.17083196901309253
121,0.3935407337274459,1.6454814862435276,2.44541654680648,0.10044147576842978
122,0.31783368168056436,1.6014456294061767,2.2952500230330855,0.037046734204879854
123,0.20119277156069465,1.5378133652563462,2.1347688916762624,-0.025567384825280946
124,0.0011780244835701836,1.459847100276915,1.9584361453700099,-0.08602677896507174
125,-0.212727456242557,1.3710159250448437,1.7773117074091587,-0.15295592712328113
126,-0.3493649771203771,1.2770981602912608,1.608885325966377,-0.21387555894851518
127,-0.43739975873859227,1.1831668717426107,1.4590741102767488,-0.24419534795314696
128,-27.791100464397857,-24.406378076146503,-4.8385067970187405,-20.98232903214842
129,-28.764032185727448,-25.25494417423545,-4.829700731559979,-21.541544247379612
130,-29.673859551229583,-26.086489501671842,-4.885268036405627,-22.079420868271765
131,-30.509966836374254,-26.90740567113634,-4.993314895845593,-22.58585972554863
132,-31.275434464547,-27.6835367716087,-5.119633566639812,-23.04771640829497
133,-32.02378712526861,-28.42870545200059,-5.237923861066943,-23.45039285769398
134,-32.789508873263216,-29.217459176876538,-5.31948281901495,-23.78025845933683
135,-33.46162293406034,-30.068887813958487,-5.321632800064296,-24.01836126218181
136,-33.929686774159784,-30.926791529155874,-5.223177327265128,-24.158436973539146
137,-34.24566317053637,-31.738091049635532,-5.063208327166042,-24.229874204895566
138,-34.50300441588813,-32.479240770025285,-4.888117410379703,-24.271095330645
139,-34.753248320459434,-33.14203176553789,-4.738090345906115,-24.30617890691219
140,-35.027850399499776,-33.72184245140584,-4.615553173144344,-24.349682952635927
141,-35.291282028263325,-34.23407775667199,-4.522157152943958,-24.397055161934563
142,-35.49605583007279,-34.69314826626148,-4.457239119963703,-24.441045597965285
143,-35.69372768022203,-35.10106186353214,-4.45406698147661,-24.503113684010106
