,TP9,AF7,AF8,TP10
0,-43.24278638905464,-13.344853352112597,-32.61039711181164,-38.016968458312725
1,-41.69948339838903,-11.743322402595236,-33.00725167911888,-35.303923642492904
2,-42.47684900836409,-10.382824311533474,-34.29898589945816,-33.11014407607155
3,-43.08855938025252,-9.436729412637511,-35.5082209019313,-32.085192488827275
4,-42.47763966606347,-8.405101743662467,-36.56461051059805,-32.59256232762758
5,-39.52820719470095,-7.268617249355251,-37.1705135215914,-33.181231679472184
6,-38.241081845614495,-6.28830229690305,-38.09556208900407,-33.33346206868298
7,-38.842050060934795,-5.709971030112148,-39.28531719717577,-34.28623006659617
8,-41.46648225832992,-5.2385955131090185,-40.26614108009319,-35.79954900041793
9,-42.743523486057505,-4.676255576564138,-40.9411298695084,-37.97697672595274
10,-40.684027184624654,-4.061256115662703,-40.9962892347869,-39.9638697945661
11,-41.33664099171525,-3.1906023490488966,-41.14489872467644,-41.71798039358131
12,-44.7131820912942,-3.2113405375033426,-41.75414207874812,-43.280641234748884
13,-49.70414870699114,-4.094613833599598,-41.737178361801035,-44.39430861579256
14,-54.218132211475414,-5.42244333727452,-41.21421910787772,-45.118250759987134
15,-56.74124170136221,-6.860131539867587,-40.244461277703515,-45.46953831566406
16,-61.16553698557652,-7.916745788841187,-39.32165302862371,-44.87475105163053
17,-65.2271155789683,-8.566124288557626,-37.79078321191878,-43.65183803639582
18,-68.03569112336547,-8.584290754903764,-36.07742304153048,-41.911388875092705
19,-66.29054936272694,-8.314936602966858,-34.295967627576104,-39.81855531492829
20,-64.99709439065549,-7.2021592194486415,-32.00500031811891,-36.99680878813576
21,-64.42452808603939,-6.364812186255326,-31.013992735399498,-35.66134882278097
22,-63.04458082925366,-6.152367165398678,-30.732170156037547,-35.894034891078206
23,-62.86034509325274,-6.35723859497989,-31.21505410859636,-36.12478754237884
24,-58.07991451315365,-6.5759693421162275,-31.242895759649766,-37.63165365610021
25,-54.54782165576241,-6.868555147050842,-31.06339750067092,-38.923368106572404
26,-54.93478834658494,-7.533671185653009,-31.93940195927426,-39.806151813443556
27,-53.97150851061321,-9.27861055039928,-32.474977357852524,-41.367427813865945
28,-54.53257062175507,-10.867474185154219,-32.491932846929146,-43.68604589838672
29,-52.666084024083304,-11.1101375450592,-32.479859410312926,-45.830993181684576
30,-51.903811638266895,-11.530180606604242,-32.580237839328646,-47.01762228236193
31,-53.73725338034621,-12.989278585427487,-33.63175741476578,-48.633168808272096
32,-56.429808673223455,-14.45219036780701,-34.56360423585492,-50.508806653822795
33,-60.570206218113995,-16.288645198475127,-33.91846548444164,-52.864737543243145
34,-62.39817089394611,-18.41885729812621,-35.25955123193018,-54.40776066700407
35,-65.66568464977519,-21.379041488415467,-38.42976310621948,-55.80970190533672
36,-67.83153841285242,-23.70600033138505,-42.2804329397133,-57.268270494489435
37,-71.8826528297383,-24.87633726754036,-45.825345221418736,-57.68695579832803
38,-75.4110856236751,-24.334156258809383,-48.6694559529977,-58.71816488875386
39,-74.7566067368687,-23.41029439158761,-50.48631429398824,-60.0323383943024
40,-75.5492953327388,-21.991547851536943,-51.87336882240857,-60.74338269753969
41,-74.01490024029856,-21.29323239533725,-52.5176769433425,-60.670844297864996
42,-73.09116310352788,-20.703526102033354,-51.297628870839695,-60.52093633777611
43,-73.46363776592848,-20.52153401616676,-48.63362805777718,-60.71428280977814
44,-69.82563275939282,-19.9510362962862,-44.62390363399791,-60.896490446408286
45,-66.8538226499859,-18.14622418072694,-41.66630497909469,-60.08460565869008
46,-63.25516654139283,-15.680971962474706,-36.514476465243206,-58.61910169057809
47,-61.495856599900286,-13.0151060034139,-29.349036521635888,-56.72211672345643
48,-60.47322093725298,-10.86130919469893,-21.006972236436315,-55.12100558534319
49,-58.136709673645676,-8.476113126580946,-11.482306225241224,-53.64370363310367
50,-56.71970844963007,-6.222976743665016,-3.171090435870242,-52.590630616277984
51,-55.81130283152451,-5.435027785627185,2.6576478100223024,-52.49668677525009
52,-59.40641058922679,-5.871654067088775,5.6793771210340696,-52.85445291283451
53,-61.481478100183104,-6.702861058568291,6.593514710293484,-54.37180357389044
54,-63.28607375469877,-8.061678596038423,5.321810909213251,-55.59440569758103
55,-64.87695643463185,-10.170957499634664,1.0872548651358938,-56.59493234315395
56,-63.56347496280788,-12.779078231037172,-5.211220990343192,-57.63495587786711
57,-65.56786047079483,-14.468420120705739,-13.256464618373986,-57.852063578128465
58,-67.1344250874149,-15.33659627755569,-22.606357523481883,-58.642039318724265
59,-67.24169203806521,-16.32778531089023,-31.31833048462136,-59.38828564667166
60,-67.25389860533757,-16.782686315732743,-39.63091381058029,-60.37597423812271
61,-66.10066250699332,-16.643764785402027,-45.8511208329854,-60.86289746970444
62,-67.65786368328536,-17.024301408704755,-50.10962204816004,-61.1726009393732
63,-68.57073169710641,-17.59818329766761,-55.92653016290158,-61.320666771174494
64,-68.77460144753039,-18.22206320257356,-60.6870896492507,-61.28847751247825
65,-66.5666428652719,-18.0932055509193,-64.11008512435987,-60.492005828372854
66,-65.44081507610467,-17.428540092068268,-65.54107820004401,-59.46394421214104
67,-66.77647364599142,-16.225265147746985,-66.27780297733388,-59.09053310142314
68,-67.25077342416536,-15.472667911287171,-66.22102796230992,-58.50910818184661
69,-69.47556285784489,-15.449367655878541,-65.64481096216917,-57.6725486910741
70,-69.13671824617246,-16.482307776246394,-64.18666684187252,-57.208851867333124
71,-69.14163515882095,-17.79034719667049,-61.770309888396824,-57.41581708226502
72,-72.38590155269445,-19.324736566719615,-60.15777117498666,-57.673489567063925
73,-73.63686271113474,-20.82521592634032,-60.27930100654051,-58.26475309753552
74,-76.10151528466128,-21.671335137665697,-62.55565992197905,-58.90534710382718
75,-75.71211999337211,-21.92138949375279,-62.942363046978606,-59.4752690892974
76,-74.18187169904414,-21.23334395766055,-61.748266619166074,-59.57241716445283
77,-75.31255138212403,-20.172327435638326,-61.46668298387935,-60.04762458455974
78,-75.38352579265137,-18.570771360626047,-60.831480137266716,-60.399386811475324
79,-75.95587666139362,-16.733131044946624,-59.44463100512747,-60.56234215031139
80,-73.19060485886574,-14.969557979514565,-57.883246464864854,-59.73372986771903
81,-71.3750820223294,-12.638607483724007,-56.013519902367044,-58.126425918166326
82,-69.61458037410607,-9.453459351127314,-54.742255660463826,-56.47221622677968
83,-68.56819164478745,-6.386227437421894,-53.409969885578505,-54.0072162091072
84,-66.37861674112057,-3.6938653934487773,-52.195202245591226,-51.695231679450664
85,-59.89764731504635,-1.5952698052159227,-50.20427917750811,-48.646760167682444
86,-54.92230074583551,0.04664463730196754,-48.22928830240436,-44.6852821027832
87,-50.47215370911134,1.29387636541845,-47.07969636854683,-40.86557835031309
88,-47.1441384994857,2.3106645662444762,-45.884715197203484,-38.017031267631175
89,-46.55645798124542,2.7586262195952043,-45.6043488095129,-36.824258280853705
90,-42.20160150942494,3.391716156140004,-44.67345070784542,-34.953811342224654
91,-38.209040008086255,4.235931547824543,-43.64201909373462,-32.66812208794988
92,-35.11045666444591,5.352598716764141,-43.2583882255224,-30.151454865985887
93,-33.87791503018547,6.614435785484393,-42.84578831566713,-28.106980707334426
94,-34.67577717137515,7.5642877942856055,-42.71704039693849,-26.99650935022316
95,-33.38260123988625,8.231547431763621,-41.71773950963761,-27.02800514791118
96,-33.01315615716609,8.891761617106464,-41.104599697703925,-27.169523349091723
97,-32.08922203757584,10.289538938760664,-40.054174822316284,-26.55558491229945
98,-34.666712382418716,11.38951766206962,-39.59610298973764,-26.202714233920343
99,-36.245634456264455,12.170175233300325,-39.25311745700332,-25.878752284507545
100,-37.524796044215435,12.856655185045852,-38.634377275655055,-25.786937495551207
101,-39.39435689156902,13.87898294328137,-38.7662235885791,-26.528861301581156
102,-39.307202082109285,14.229506420550479,-39.1862649709669,-27.03857829288431
103,-42.733641084509166,14.206602693705202,-39.38104282288269,-27.145088438528973
104,-46.09642836179597,14.072158247296988,-39.39551149334363,-27.591947972606505
105,-46.78936135900244,13.347361716966951,-38.11986634787707,-28.427095358422843
106,-49.026234335173484,11.610245788836908,-37.806685250769135,-30.144468891367683
107,-48.36262887968076,8.879861880469042,-37.81697715899875,-32.33819770747089
108,-51.2863018593861,5.197203191276496,-38.29165856542495,-35.153116091588096
109,-55.16092936927979,1.6200233358649347,-39.09156392281939,-38.1536343678855
110,-57.272789389427196,-0.9121055482879499,-39.75958317568202,-41.196570661540065
111,-57.142582963557736,-3.147825129026302,-41.04879861597322,-43.587687287845256
112,-56.66922456953962,-5.451207177065198,-42.38960841164473,-45.125349962829326
113,-57.677110965713496,-7.499788386409538,-44.112485196852006,-47.09367669589408
