,TP9,AF7,AF8,TP10
0,-15.28616816316098,-11.873239346175392,-21.555622989405098,-23.832371902369104
1,-12.199390200777696,-12.74933121816957,-21.65196216149209,-19.537105844328277
2,-8.797229143089348,-13.656897575811326,-22.20820952344704,-14.034897297424324
3,-4.4885249398986575,-14.546640112398245,-23.235523910288325,-8.33966281196008
4,-1.7012396068985043,-15.424632339666744,-24.40258547349398,-4.017518086286374
5,-0.9622439727081796,-16.421189572414455,-25.662686134550206,-1.3516587864096639
6,-1.4511849989378023,-17.153840475623447,-27.060196761846367,-0.7202477198804058
7,-1.293720588233791,-17.668574227567134,-28.350516919685653,0.2464567793761191
8,0.12125836043537927,-18.007650182918834,-29.25878300424342,2.537168640409938
9,0.14706214649304128,-18.213209819513622,-30.310607629525,2.694379825364507
10,-1.19785016172796,-18.368733354227803,-31.45057146577934,0.4940658229632278
11,-3.7331062332040803,-18.449871358858644,-32.453364434528176,-3.0580314223309917
12,-6.070477269506505,-18.97199587278621,-33.18929221309066,-6.081207570340761
13,-7.363640624991435,-19.139196828138108,-33.75431617201251,-7.563645384076316
14,-8.990841116363981,-18.962814559155,-34.16262998882484,-9.484752810367924
15,-10.481209483691158,-19.300948874058452,-34.28352717137559,-11.553268877249009
16,-12.016845787068892,-19.690111703703074,-33.68636623741135,-12.597085756313119
17,-13.014599317716762,-20.111726505031772,-32.28607454128741,-14.487626789611257
18,-13.089387593664076,-20.627269040735353,-30.96914482285712,-15.180322968202088
19,-14.476402074184243,-21.225846237779347,-30.076460332084682,-17.356094293496508
20,-15.827110448758472,-22.020462983394943,-29.642688821197183,-18.459563246761636
21,-17.444087890604717,-22.938340157460615,-29.50488927722109,-18.79991359408165
22,-17.277648592139133,-23.79349748565532,-29.607142631116606,-18.610546455189056
23,-16.886501904498186,-24.969231082939014,-30.19167498582465,-17.720260450523803
24,-17.34897839629629,-26.365381756367825,-31.67441096485996,-19.660318765884952
25,-17.29593338162583,-27.68754836853399,-33.28194400006736,-20.628321571843955
26,-18.391142087612963,-28.724807656923623,-34.73726563379729,-22.844915931640585
27,-17.914916307247275,-29.45360839840326,-36.001300763532804,-24.115846843156348
28,-16.837109887565273,-29.688249142711527,-37.035632511976175,-22.825016557347617
29,-16.11465518062325,-29.563788496854777,-37.34046562584036,-24.187424588136484
30,-14.954499226686533,-29.08868424770375,-37.69612268448673,-24.892493212640755
31,-14.520251104691843,-28.627699236392072,-38.257941043861074,-26.420577139569126
32,-12.930283238460651,-28.319381968469635,-38.0776778182886,-27.025604677747147
33,-12.485143616536673,-28.40469835262536,-36.454105026824145,-26.389369525032958
34,-12.932170160477048,-28.221968193194012,-34.970760136766486,-27.642766747351917
35,-13.944893930272254,-27.475451202774913,-34.006101036619164,-30.046600457756366
36,-14.434874478560713,-26.367842689449002,-33.18502729510426,-31.710246813983215
37,-13.3297122940668,-25.89009337436896,-32.40453568647253,-30.148022438808276
38,-13.069999580195493,-26.226700889039094,-32.06992454393899,-27.9599015704214
39,-12.871080029502854,-27.474898092798952,-31.708972426433736,-26.86511268025724
40,-12.791097090624273,-28.94083057300086,-31.667227742292106,-26.25610103220931
41,-12.302619516211667,-30.702554232324324,-31.928860355944224,-25.812289371788456
42,-10.78108753268685,-31.75259360414154,-32.69078444919843,-23.37529079907494
43,-9.407248718526965,-32.33615811029187,-33.237288324515944,-21.1594640174033
44,-6.9212918065884015,-33.369866126940835,-33.529368102159836,-18.567299694195064
45,-6.143877037075738,-33.617690730129176,-33.0244953690227,-17.137396877631407
46,-5.849176550120481,-32.70202946917154,-31.997281148329613,-16.60836467758253
47,-4.34163749204106,-31.668293808291807,-30.779463708073674,-14.448795920514893
48,-4.239539716482634,-30.86201206780209,-29.30510285718456,-13.61366790687049
49,-4.080428140903066,-30.417132631292418,-27.72467198985749,-12.384100245672826
50,-5.305185140336033,-30.218022147165115,-25.53282072784081,-12.38648186066859
51,-6.148315504800553,-29.639504370193215,-22.267067997004677,-12.099947919598502
52,-7.0245582579103845,-29.029684879597205,-19.72157276934927,-10.89934663548648
53,-8.292324872727908,-28.707397964651314,-18.294640050530223,-10.947393793291845
54,-9.373787003312058,-28.536232938845515,-17.383688206993384,-10.409352954420868
55,-12.459594381878896,-28.400928242507998,-16.571413943172203,-11.120224741927126
56,-14.882828023349488,-28.234860174776287,-16.11837990046911,-10.184150244791622
57,-17.119537471699548,-28.09229250473969,-16.424150443631927,-7.383820568783841
58,-18.44002075082697,-27.851276079930862,-16.64143638643427,-5.91641598468628
59,-18.580825155521385,-27.582851010113583,-17.04121174612696,-2.858344593994142
60,-19.89374092810895,-27.441842190119406,-17.844609635690514,-2.0781138380207955
61,-20.68650797597285,-27.05259188080142,-17.830003402482102,-1.558330833743966
62,-21.48357773611757,-26.045384425344448,-17.129904977355658,-0.8566770892241256
63,-21.249967866208337,-24.789262478760794,-17.4025638212114,-1.8404730627806634
64,-20.705858862391096,-23.538911985620285,-17.884086587047932,-2.182437517672802
65,-20.68606040102942,-22.361937676727422,-17.975882962719496,-5.242577789162462
66,-20.639439294022967,-22.183572393745443,-18.52964385514674,-7.374295085363321
67,-22.022361920223275,-22.84012639190643,-19.54231322908504,-10.193627885487295
68,-22.922435697088744,-23.953990468545406,-21.01671016417947,-13.677712660829673
69,-22.831153885896825,-25.440548686692715,-22.952839348813814,-15.92903540810505
70,-24.254625013228313,-27.608339777435383,-24.601753557133446,-20.510108641449563
71,-26.019297409648775,-30.436264957720546,-25.97706909729022,-24.231281758137833
72,-28.754873638965442,-33.627467216625206,-26.748033795217765,-28.603756482397447
73,-29.27173482126828,-36.72829383038008,-27.41051752948595,-30.2744726076076
74,-30.303905379454303,-37.9343536039576,-28.23372249713913,-30.647288916642815
75,-31.265091372630504,-37.38018814952526,-29.096298965075057,-32.09345240469262
