,TP9,AF7,AF8,TP10
0,-2.4549677643608396e-14,-4.9890859475317554e-14,-5.4358341961103014e-14,-1.900517470536091e-14
1,-4.675336346384763e-13,-1.0838484796237817e-12,-1.183380268744482e-12,-3.5552403941804846e-13
2,-5.119906331214893e-12,-1.286308096745128e-11,-1.3922586293280216e-11,-3.931524873776783e-12
3,-3.746466690875883e-11,-1.0224419676996912e-10,-1.0966180909085213e-10,-2.9191112515432415e-11
4,-2.0634495920462857e-10,-6.124288147950935e-10,-6.507009592543311e-10,-1.6351871531535075e-10
5,-9.171535418944057e-10,-2.957001667973303e-09,-3.111551293928881e-09,-7.407666567346466e-10
6,-3.447364863951206e-09,-1.2022497755542961e-08,-1.2526329721007656e-08,-2.8423508384110136e-09
7,-1.1337839137456719e-08,-4.244649487356651e-08,-4.3782298346607745e-08,-9.548667319032956e-09
8,-3.3485425755662396e-08,-1.3314602590426197e-07,-1.3594429759153613e-07,-2.8786055301628517e-08
9,-9.061067289215487e-08,-3.77680149724381e-07,-3.816894570010982e-07,-7.933397044587527e-08
10,-2.2811809858859278e-07,-9.824481313080482e-07,-9.827815156150998e-07,-2.0269339102665384e-07
11,-5.404538528070404e-07,-2.3702748997102855e-06,-2.3471837761945137e-06,-4.851489395838044e-07
12,-1.21499525559886e-06,-5.353324536739479e-06,-5.24859909011295e-06,-1.0964918007904633e-06
13,-2.60723069296924e-06,-1.1405998937549876e-05,-1.1074496885601633e-05,-2.3544467436043907e-06
14,-5.3633041684455095e-06,-2.307482940239639e-05,-2.2193516182961984e-05,-4.826759922890617e-06
15,-1.0610568962904446e-05,-4.4567543616144255e-05,-4.2476965946408626e-05,-9.486023650895035e-06
16,-2.0241174143650907e-05,-8.256664472709385e-05,-7.801145155612047e-05,-1.7935469694904207e-05
17,-3.731736893332142e-05,-0.00014731318558775937,-0.00013803997848476658,-3.2726916968849794e-05
18,-6.662958615128567e-05,-0.0002540033172370585,-0.00023616685899320234,-5.779450554162612e-05
19,-0.00011543892512187046,-0.0004245332167310098,-0.0003918571287973099,-9.902945138866872e-05
20,-0.00019443398744349843,-0.0006896170142858084,-0.0006322538487175746,-0.00016502151969274677
21,-0.00031892790611340457,-0.0010912875104669593,-0.0009943266348881635,-0.0002679920357907758
22,-0.0005103148264546599,-0.0016857712740947694,-0.0015273521825857504,-0.00042494093010555796
23,-0.0007977961814066392,-0.0025467088907648303,-0.0022957127208454906,-0.0006590265223284126
24,-0.0012203760973827581,-0.003768668663290557,-0.003381981703464455,-0.0010011915160278893
25,-0.0018291124981059544,-0.00547087907611355,-0.004890248195793687,-0.0014920420551870611
26,-0.0026895963502093327,-0.007801083029999167,-0.006949613073216087,-0.002183978758658643
27,-0.00388461650122089,-0.010939396434191968,-0.009717772125911529,-0.0031435694520993594
28,-0.005516952247917368,-0.015102036337516677,-0.01338458434842631,-0.0044541428816123555
29,-0.007712220747275721,-0.02054477037015745,-0.01817550897658823,-0.006218571031294423
30,-0.010621692309272047,-0.02756593063990617,-0.02435478306639463,-0.008562194847451594
31,-0.014424974212147931,-0.036508831937683395,-0.03222820333339084,-0.01163583440294542
32,-0.01933245370194282,-0.04776343647853238,-0.04214537218116374,-0.015618810213698856
33,-0.02558738398046302,-0.06176711553235574,-0.05450126876028954,-0.020721888140656706
34,-0.033467493840179864,-0.07900437207743995,-0.06973701174141662,-0.027190046839683152
35,-0.04328600261091221,-0.1000054077552037,-0.0883396912975508,-0.03530495494831197
36,-0.055391927524379166,-0.1253434414772184,-0.11084116343394872,-0.04538703607003519
37,-0.0701695805965962,-0.1556307154563442,-0.1378157199803203,-0.057796994048704524
38,-0.08803716661021867,-0.19151315649679523,-0.16987657182409815,-0.07293666979799288
39,-0.10944441248811512,-0.23366369526148417,-0.20767111073881503,-0.09124910463379861
40,-0.13486918085070332,-0.28277428301979873,-0.25187494575573444,-0.11321769398819861
41,-0.16481304628244287,-0.3395466830697613,-0.30318474264690365,-0.13936432968130621
42,-0.19979584115399093,-0.40468215157765847,-0.3623099288563834,-0.1702464485092341
43,-0.24034920803189863,-0.4788701589063767,-0.42996336018674575,-0.206452929478617
44,-0.28700922693629427,-0.5627763365208472,-0.5068510787180956,-0.24859881105920675
45,-0.34030821705503644,-0.6570298651911094,-0.593661322764383,-0.2973188325841802
46,-0.4007658429894093,-0.7622105464353494,-0.6910529780932876,-0.35325983944251704
47,-0.46887968415018083,-0.8788358200198149,-0.7996436840988848,-0.41707212883781086
48,-0.5451154514915374,-1.0073480050514363,-0.9199978281247653,-0.4893998503381578
49,-0.6298970573320203,-1.1481020501252661,-1.0526146748079832,-0.5708706117998289
50,-0.7235967605998233,-1.3013540786956823,-1.19791688444361,-0.66208447504332
51,-0.8265256206209971,-1.4672510091430748,-1.3562396744729013,-0.7636025554455699
52,-0.9389244968968965,-1.6458215149755606,-1.5278208710521162,-0.8759354640331478
53,-1.0609558297596937,-1.836968569547711,-1.7127920833206935,-0.9995318485171109
54,-1.192696427136597,-2.0404637921074,-1.9111712117989235,-1.1347673000062277
55,-1.3341314659076033,-2.2559437785659058,-2.1228564749247227,-1.2819338941532294
56,-1.485149892774688,-2.4829085619082827,-2.3476221049516206,-1.4412306288672754
57,-1.6455413797145801,-2.720722304492571,-2.585115827338762,-1.612755005517285
58,-1.81499495377041,-2.968616278573287,-2.834858197570454,-1.7964959772265485
59,-1.9930993811876434,-3.225694143240258,-3.096243827331444,-1.9923284572680005
60,-2.179345342941898,-3.4909394766604356,-3.368544489453913,-2.2000095438723823
61,-2.3731293939123206,-3.7632254731654364,-3.650914049354999,-2.4191765763550093
62,-2.573759652787096,-4.041326666480891,-3.9423951310578156,-2.6493470928923344
63,-2.7804631257196686,-4.323932494374238,-4.2419273894829725,-2.889920714119318
64,-2.992394525177523,-4.609662477291277,-4.548357228494888,-3.140182930501549
65,-3.2086464075850283,-4.897082745170963,-4.860448776961184,-3.399310726578028
66,-3.428260420333532,-5.184723613494696,-5.176895913378798,-3.6663799329548916
67,-3.6502394214160154,-5.471097882558048,-5.496335113753614,-3.94037415849707
68,-3.87356021405538,-5.754719513656001,-5.817358887497722,-4.220195121486911
69,-4.097186624741314,-6.03412232292814,-6.1385295620457105,-4.504674170363198
70,-4.320082646359179,-6.307878328458648,-6.458393178434058,-4.792584762555451
