,TP9,AF7,AF8,TP10
0,-52.2963074713052,-28.981663156605176,-43.441466704028976,-32.77563458441469
1,-46.247158472620214,-28.047152299529063,-43.459212121697206,-31.949977083885386
2,-39.034070131282455,-27.17864002842571,-42.376807440384844,-30.56740174275294
3,-28.55967165402512,-26.20080488189829,-41.07742065977268,-28.441258188067923
4,-21.312010348886492,-25.17769200276345,-40.296395057044506,-26.622164491096054
5,-18.57726024283762,-24.03720093322999,-40.1254607518623,-25.103498311975926
6,-16.9676966690626,-23.105197809114838,-39.887949766639174,-23.63761759400535
7,-14.425421079592972,-22.71536290562264,-39.47023314209922,-22.72676274831211
8,-8.542832526149589,-22.170561620626106,-38.11142637774841,-22.415911159299462
9,-6.422537241932601,-21.618251140034268,-37.46698910310975,-22.30649106509003
10,-8.976709028552923,-21.179324603164016,-37.359762788064636,-22.443119816680646
11,-13.482642198089518,-20.9484606767644,-37.80231589804007,-22.845040551620784
12,-15.326918923200488,-20.956628459923326,-37.845559207924055,-23.20420362430136
13,-11.248740477397838,-21.30525627913955,-37.141127832429966,-23.19257270306269
14,-9.467363042621933,-22.015751586336116,-36.00351548797427,-23.601299857686087
15,-9.617631738711976,-23.0794237176273,-34.3748170601976,-24.32874812638575
16,-9.59750482977533,-24.187600762662775,-32.340031643238724,-24.457561558759753
17,-9.324441136690224,-25.17851974774364,-30.582288289168368,-23.91753987111898
18,-6.203939638708855,-25.389352786487734,-29.36316276332845,-23.85322771136934
19,-8.450495090664681,-25.694448586826752,-29.654065288250344,-24.033165273232818
20,-8.879861398816058,-25.84427151527681,-31.335324607571057,-23.47455251340598
21,-10.122818328431395,-26.051848000888835,-31.964040604636224,-21.409354929627277
22,-9.799418362014897,-26.652922338946677,-31.581748519653626,-19.356409343161907
23,-8.663379100668651,-27.07418118545354,-30.16216021365981,-18.49300321689028
24,-12.102425127248372,-27.54692990840972,-29.25403673815887,-18.23142098679302
25,-14.704694826411078,-28.221991078339652,-29.358738192839166,-18.51458152748131
26,-19.45912640958568,-28.99543495029859,-30.766303397164457,-18.830495108327945
27,-18.968673881128936,-29.502781073212308,-32.307555080738744,-19.207516712011042
28,-15.641645247083051,-29.50416899388539,-33.971265006323634,-19.636304294200873
29,-16.163333617592937,-29.379854037013363,-35.418104854490785,-20.094332800103906
30,-16.87956613226264,-29.677352004348997,-35.807156302984396,-20.971903408664815
31,-19.16960437727552,-29.77156348094673,-35.070090625843,-21.46172847583054
32,-16.720580612784588,-29.688533017499438,-34.334726173602625,-22.3164135101197
33,-14.403051421964324,-29.75601709643742,-34.10613366529549,-23.240627611504376
34,-16.3535389078218,-30.110337784537975,-33.070671914731086,-23.698640452637903
35,-20.395471025676258,-31.394451967228793,-30.77701098960649,-24.45060410330162
36,-27.26107609672314,-33.77108610537647,-26.580056269412005,-27.105556008700123
37,-30.697957623338162,-36.518674146238645,-22.965513499513776,-31.52667202520374
38,-36.07889394792183,-39.43181466518324,-21.977352057383982,-36.351987905606784
39,-45.57659195590005,-42.29435347580632,-22.991232492549642,-41.384481171296635
40,-56.045608327670955,-45.09685531403834,-25.36889309509919,-46.294204720145565
41,-65.70496335452624,-47.675244821070144,-27.80809378531835,-51.269526954832926
42,-69.10946023482487,-50.07898579338775,-29.368001714473774,-55.75534502697844
43,-73.87081233199838,-52.19856900004535,-29.862100055642593,-60.38937863221204
44,-77.96806357368622,-54.214892096408974,-29.96957462082913,-64.90325921319518
45,-83.7641213587827,-56.24909709499258,-29.886890068192066,-68.85885569403051
46,-87.4194863456987,-58.13274278839397,-28.253031722782485,-71.93171469342599
47,-84.6185711298861,-59.031837099584955,-26.031190566641126,-74.60575916899558
48,-83.84463786313074,-59.0349002800855,-24.556354001668296,-76.07718259942374
49,-80.20174270882929,-58.10832997200543,-23.706074360125175,-75.49817394734579
50,-78.62126110885944,-56.59876852368986,-22.53196862182762,-72.76429086088122
51,-75.668468484782,-54.29240543687129,-21.211053609279666,-70.07980579212726
52,-68.78606352508976,-51.58983194723218,-18.845992633780433,-67.22268441115632
53,-63.88301140935731,-48.879228100197736,-17.487205056010524,-64.1090051346116
54,-56.55992069510538,-46.34766724400724,-16.961085641418368,-60.49503896963417
55,-54.30309518605825,-44.223490835285155,-18.13917404020799,-57.10265935637455
56,-51.28273186504224,-42.47278228837684,-19.623401667645457,-53.553982253897054
57,-46.86150054788107,-40.997501268157976,-20.85250588586376,-49.87223362374014
58,-44.44612023202554,-39.57681464750774,-22.23547152942126,-46.26118507400593
59,-38.92743257295391,-38.4468482880987,-23.55800165703567,-43.257391826872826
60,-37.66667010742232,-36.83945000967862,-25.107517008066107,-41.23127841306013
61,-36.07317909533425,-35.33833493880227,-26.94840525573083,-40.097884394396296
62,-32.27370135742858,-33.97794009381657,-28.893373820137512,-38.23982281793494
63,-29.2031411640639,-32.759050083036044,-29.13605935817457,-35.541085919783384
64,-23.79151154196897,-32.02611912733128,-27.762282818654107,-33.86400985396236
65,-24.57370608117197,-31.715239730590977,-24.652122004001342,-33.767146307582365
66,-25.061741515808002,-32.06654798850912,-22.459510971940823,-34.61761148274399
67,-27.38489552545601,-32.6683120006337,-20.141343891379325,-34.83551548797564
68,-29.165466920568452,-33.118718334591044,-19.390438763764244,-34.567570900164874
69,-26.97067734990501,-33.233616060658505,-19.89386054154929,-33.85769247556869
70,-30.125967835266174,-32.693525288953815,-21.160555182384915,-33.115376926573504
71,-31.201036013467718,-32.06677088779504,-22.33154535047603,-32.44972196245523
72,-34.41443409745718,-31.424014679332817,-23.38406200506331,-32.1058795292684
73,-33.917723133444724,-31.017730804545398,-25.627965745162502,-31.922859224722515
74,-31.582193734939224,-30.875755055111174,-28.198802769692882,-31.410038054969156
75,-33.55457934455942,-30.929297268240354,-29.742184689586455,-30.469844019513516
76,-34.07505660523473,-31.19095825523101,-30.63837717403113,-30.166360263150754
77,-37.92174130810778,-31.327898649567665,-30.842556693615172,-30.067498161729763
78,-36.80503677350075,-31.01753595602306,-30.65727199692421,-30.100362432798725
79,-33.877033322394155,-30.238839357643027,-30.076362454892934,-29.292062009475288
80,-35.58624661513117,-29.01063167682573,-28.995005236285596,-28.729664963908917
81,-36.43421243544268,-28.371711419120025,-27.315529822684617,-28.34552987129058
82,-38.679530534103804,-28.033645772910013,-27.693129171347916,-28.063551311477564
83,-35.39610254344019,-27.766420200229327,-27.626848376487978,-26.662653351213358
84,-34.00165475639429,-27.606571651374868,-27.25147107869429,-25.88388035559775
85,-35.982632401506535,-27.452076604888912,-25.845793724340727,-25.545338606446563
86,-38.55010273344644,-27.694549075547563,-25.34243673109329,-25.361849317702426
87,-41.017293887819974,-28.028323714970256,-28.272526835551126,-25.090788850366767
88,-37.412919868805496,-28.553426550094073,-29.37551075099101,-24.79527988897005
89,-35.5153686942814,-29.228297825015513,-28.335671410989402,-24.581048483427317
90,-35.139726018942476,-30.132069494980527,-27.402587802216452,-23.79043757509255
91,-35.33790941384469,-31.208164614818084,-27.74759623777178,-23.059737004179933
92,-37.139725311926576,-31.637037091662883,-29.97288008604408,-23.772927181993005
93,-31.565815791995263,-31.490662723556433,-34.16211213231323,-23.624654093581125
94,-28.800592296169857,-30.908510746570425,-37.50362774847168,-23.015341491948643
95,-25.63264177386727,-30.55040534852218,-39.48642871972926,-21.950631972895863
96,-24.33798516594317,-30.357630253959332,-39.77613887509516,-21.21482501411561
97,-21.17590811030489,-29.315831381647207,-39.719615786683185,-20.07698181647129
98,-13.843970778229119,-27.93124107392116,-38.81728657023203,-18.200927464804924
99,-9.255813158395641,-26.566284886670207,-38.088942038099106,-16.862024078211466
100,-2.7142030454578463,-25.111682983921618,-37.64523780397209,-15.248072146298751
101,-2.7987944932448157,-23.895086878684065,-37.68693432723279,-13.517440902487142
102,-3.2440562782768194,-23.042486929059777,-37.79469309861982,-12.860192422567092
103,-2.89956289769179,-22.49152942057625,-37.16595943947179,-13.547499332740216
104,-6.584900576208408,-22.661096564771466,-34.81258496089705,-16.021714759773534
105,-8.391958140367786,-23.85346264756137,-31.658258718324372,-20.76400871833702
106,-18.540022173691693,-26.04436389101894,-27.985827148404997,-27.446098018562555
107,-28.135256822648287,-29.276705453691925,-24.475569609876832,-35.624196377397766
108,-37.711708188940854,-33.373204437355156,-20.37572653596332,-45.03822203314191
109,-51.06170325750563,-38.82814090334144,-15.904828721524229,-56.22824167926861
110,-60.98700400781224,-45.37215989990483,-12.91870342546576,-67.32996618257862
111,-77.01983061271444,-52.529566618292996,-8.28967199871775,-78.25665263088324
112,-89.62978476286946,-59.94109116049306,0.060611694888194595,-87.60435222964217
113,-99.69173835183543,-67.095510326739,7.854921742425788,-96.30911087287302
114,-110.33497299637197,-73.3471180446687,13.959332274269654,-102.98857509797838
115,-120.99462123943081,-78.64739712059578,16.436878004788554,-107.05792637766822
116,-130.2982998177925,-82.82384654260733,15.645949788761476,-108.23226673400173
117,-130.70596934197192,-85.65720006706671,17.197655096664086,-106.48256932255723
118,-124.28480230560356,-87.25332486821729,19.638598986296433,-101.95344271852545
119,-115.3220156911485,-87.64861995800759,20.981010030730687,-95.090824258409
120,-107.30246920059645,-86.98149759163394,20.674446775110294,-87.73207496543117
121,-100.51729749352009,-84.8007526423647,17.809831889826597,-80.62951197494877
122,-86.59493996119045,-81.6801558168593,13.08710937056598,-71.22505964093114
123,-70.57877263760895,-78.09502561147602,8.73216029322376,-61.95341626742663
124,-53.57419396469321,-74.4705300214774,4.29233030348062,-53.431919373877435
125,-40.39210178339489,-70.95663900762402,0.2828718007632771,-46.8817781479235
126,-31.68716415525879,-67.38894313393615,-2.6590435652895885,-41.33444712859312
127,-21.955610766907547,-64.6749882723372,-4.465736208811249,-37.208633903908996
128,-90.66878577478155,-65.22815619689818,1.8695830696740066,-42.021640991714435
129,-83.05162327213908,-63.885104898646055,4.2320057665745345,-40.97268353625751
130,-70.63542581651865,-62.00861782374016,5.19049860806097,-38.84515074408664
131,-58.96362076668775,-59.657447022519754,4.263346295243902,-35.50868094682666
132,-50.34453822286292,-56.78559645867977,2.1627304820039948,-30.946280644583666
133,-47.26556703366965,-54.19541353659569,1.8324690637351526,-26.428354182838373
134,-42.95164373580983,-52.03733406385355,2.6468416333750406,-22.205938414673035
135,-36.41853748051483,-50.13624035362528,4.0514339030637325,-18.350166108399243
136,-30.753002779411407,-48.10869477776508,5.298078606646841,-14.809368102181635
137,-28.756975820102348,-45.820483809335904,6.169889003280438,-11.787806318036386
138,-32.54532931804758,-44.02298117571243,5.567885830557718,-9.69697350023621
139,-34.591331695378344,-42.6788551372878,3.1230684079785522,-8.460496513529492
140,-34.22719244021756,-41.57788203915558,0.36090461061185986,-7.642762297608493
141,-31.499739876412775,-40.80839003282872,-2.742180284039507,-6.898246716797702
142,-29.68080018025398,-40.45060318858422,-6.432070034105919,-7.5653025443563084
143,-29.530098628359355,-40.33916161883746,-10.321073016814918,-9.602859662213096
144,-23.9761622065615,-40.02883772266276,-11.301741237437362,-12.59445060624949
145,-23.22504628726797,-40.384611655071836,-9.47869818473162,-15.618876586343537
146,-20.970055102846114,-40.906351460819245,-11.229303224852604,-17.909428883251227
147,-22.8438243733827,-40.922408644960925,-14.534265289151648,-20.254008682986907
148,-23.35785946334958,-40.21448950963936,-16.5786622330831,-22.44054533721938
149,-18.80912426203273,-39.26680476699341,-18.877840002806106,-24.166338902510084
150,-17.83100709220919,-38.4176011249907,-21.00550882880759,-24.903799756051363
151,-14.262838884846268,-37.7507040219796,-23.38164410701467,-25.272202678668307
152,-16.274648269565382,-36.96622194477464,-25.889024493571423,-25.67086710793114
153,-16.664331363986587,-36.15855039235052,-28.51460798303387,-26.021177142220886
154,-15.711054616780382,-35.39105579658643,-30.138421340285934,-26.371874946943322
155,-17.032880545617914,-35.43819782677584,-29.32642994375833,-26.532758484132053
156,-14.639403183311602,-35.29232557971011,-27.812812720909424,-26.283083458503103
157,-17.644349900997604,-34.65252769721652,-26.22658004274385,-26.130154650351418
158,-18.74261796077433,-34.08156486403702,-24.430142038998763,-26.214350740566253
159,-20.169318306325533,-33.78274318169858,-25.91035631271734,-26.160647429975246
160,-20.455236496016926,-33.701459647161066,-28.059014502583327,-25.638221034507826
161,-17.14214154851655,-33.92608577838252,-28.774239642217687,-24.587018046492922
162,-18.916533238453702,-34.27149281935354,-28.05443760601944,-23.626775505487245
163,-18.865483968445286,-34.66160417399111,-27.234738435877574,-22.21064201248833
164,-19.738688419094704,-34.699396983663014,-26.255929669794156,-20.429017573682433
165,-18.30828892107599,-33.948123833388166,-25.558128406891964,-18.462723403011644
166,-13.538677663657909,-32.7502124796353,-24.449652233250706,-16.548930297279984
167,-14.798991427443228,-31.97268886538281,-23.23967027093594,-15.036151468803235
168,-14.616901535086258,-31.221832442165372,-22.06791650167119,-13.73619317818682
169,-17.01047365488691,-30.47887337383336,-19.849171733574224,-12.648310529184972
170,-16.057194640818437,-29.87665728839147,-18.550070714592422,-10.960397818850394
171,-12.930117563085927,-29.449982068333995,-18.36294543620604,-10.118640624988254
172,-14.94968197643908,-29.51157331285457,-18.585811103626593,-9.709791687276615
173,-15.573609030312793,-29.617347006646867,-18.696086861014763,-9.735186850419968
174,-18.882546720318835,-30.01627745418599,-19.450061346661503,-9.853442122089797
175,-17.072426855007006,-30.668083736884597,-19.96174962437584,-10.113113665676881
176,-16.124936943208045,-31.691203553590135,-19.57929416623149,-11.420833387819018
177,-18.25800611122736,-32.024556344525834,-19.366965007224387,-13.206996557712301
178,-19.64655318065449,-31.745402060907665,-20.017174380456094,-14.935661579097452
179,-23.033649378685045,-31.329037224228287,-21.42944120295868,-16.55376676504014
180,-21.016194764540042,-30.924276588093292,-24.26122049541156,-17.942746937726593
181,-19.834406926058666,-30.38761529178453,-28.103626577491372,-19.14649114905155
182,-20.771705758601428,-29.553048010606208,-32.26304999465988,-19.66277029126673
183,-22.87760928217789,-29.092960380693004,-34.820924314156336,-20.066717472933405
184,-24.41255011839641,-28.878432484588902,-35.67687228679392,-19.902923850196043
185,-20.363551474983403,-28.04908200028557,-37.52408626886899,-19.1126235550188
