,TP9,AF7,AF8,TP10
0,-9.347600888858543e-14,-2.5298930710672477e-14,-2.982515785343016e-14,-3.493970101149051e-14
1,-2.156874470504611e-12,-5.362999907411239e-13,-6.318039394066255e-13,-7.527980887206753e-13
2,-2.5835085663441875e-11,-6.372402042716851e-12,-7.517003959687372e-12,-8.916502460041684e-12
3,-2.0583062902260622e-10,-5.071501522945971e-11,-5.994897124886653e-11,-7.082969202825452e-11
4,-1.2292198296986433e-09,-3.03952165845486e-10,-3.601541958129581e-10,-4.243415773264736e-10
5,-5.887208327547633e-09,-1.4674940601503719e-09,-1.743197398842636e-09,-2.0507657874195327e-09
6,-2.3627821926041812e-08,-5.9632070536176695e-09,-7.10070971350905e-09,-8.350924862984052e-09
7,-8.197973349534873e-08,-2.1035205613089242e-08,-2.5101962332107874e-08,-2.9543561581057368e-08
8,-2.5172999789378555e-07,-6.591604368923062e-08,-7.879754673904328e-08,-9.288800230690071e-08
9,-6.967357057542314e-07,-1.8679288978952057e-07,-2.2357044949482166e-07,-2.641279538471729e-07
10,-1.7639983176845643e-06,-4.855168345342732e-07,-5.814754219795904e-07,-6.886984750795914e-07
11,-4.134777835406834e-06,-1.1708367898578288e-06,-1.4022468484976602e-06,-1.665135437810998e-06
12,-9.062650491208244e-06,-2.644328035232812e-06,-3.165027024496086e-06,-3.767502514691472e-06
13,-1.872902186536954e-05,-5.636945464109126e-06,-6.738950463252731e-06,-8.03807963800435e-06
14,-3.6750118557190424e-05,-1.141598487349507e-05,-1.3624818630898585e-05,-1.6275517016823562e-05
15,-6.887128814475912e-05,-2.2085814831855055e-05,-2.6303852211997418e-05,-3.1446596532763124e-05
16,-0.0001238840015508858,-4.100861134155286e-05,-4.872250452733516e-05,-5.825113270254338e-05
17,-0.00021479788321593135,-7.337301637136575e-05,-8.694412750220466e-05,-0.0001038689461700106
18,-0.00036029416257204257,-0.0001269386812268767,-0.00014999848378409423,-0.00017891494152467551
19,-0.0005864780725123859,-0.00021298262861613643,-0.00025095833965985164,-0.0002986229719885844
20,-0.0009289360328364506,-0.00034746895573264377,-0.00040826839941124403,-0.00048427141409982814
21,-0.0014350893085394215,-0.0005524564385111332,-0.000647345529884733,-0.0007648534261551626
22,-0.0021668198269107278,-0.0008577491068427689,-0.0010024605958643485,-0.0011789831092060906
23,-0.0032033267300079983,-0.0013027830700188625,-0.001518901448682739,-0.0017770157495491119
24,-0.004644154816241288,-0.0019387292065062309,-0.0022554039828435774,-0.0026233466200291594
25,-0.006612319036797856,-0.0028307763901169215,-0.003286824116998084,-0.003798839141730107
26,-0.009257433387505036,-0.004060544439606224,-0.004707008582632989,-0.005403320270195758
27,-0.012758738606707211,-0.005728560778989104,-0.006631807107011406,-0.007558069470516819
28,-0.017327911769888574,-0.007956720756550623,-0.009202153595054248,-0.010408218238082691
29,-0.023211532801483095,-0.010890639558943774,-0.012587129907136936,-0.014124970390853808
30,-0.030693078636755654,-0.014701794475487997,-0.016986913448893994,-0.01890754979518331
31,-0.04009431570222449,-0.01958935060036824,-0.02263549965688016,-0.024984782161015254
32,-0.05177596590162607,-0.025781561428938806,-0.029803083152038713,-0.03261622127617189
33,-0.06613753063354864,-0.03353663853745425,-0.03879797734481743,-0.04209273759065922
34,-0.08361617157292976,-0.04314299174698797,-0.04996795202723337,-0.05373649826103475
35,-0.1046845658441889,-0.054918752745750594,-0.06370087228083535,-0.06790028226441008
36,-0.1298476764308772,-0.06921051073298756,-0.08042453002794743,-0.08496609143249566
37,-0.1596384056905622,-0.08639120769646436,-0.10060557175592968,-0.10534303750704539
38,-0.19461213001069602,-0.10685716272715652,-0.12474744217559476,-0.1294645057286416
39,-0.23534014609929194,-0.13102421849333173,-0.15338728348985303,-0.1577846161363487
40,-0.2824020931070768,-0.1593230277901229,-0.18709175304847767,-0.19077402378039532
41,-0.3363774485461177,-0.1921935231095387,-0.22645174782259012,-0.22891511759665725
42,-0.39783622858019346,-0.23007863664099285,-0.2720760516245948,-0.27269669402193997
43,-0.46732905349900095,-0.27341736127637867,-0.3245839495427138,-0.32260819494078957
44,-0.5453767658622147,-0.3226372643952285,-0.38459688285263416,-0.3791336098180841
45,-0.6324598107912193,-0.3781465848733517,-0.4527292459295009,-0.44274514865532066
46,-0.7290076042461321,-0.44032605942058073,-0.5295784536719798,-0.5138967956833834
47,-0.8353881251816662,-0.5095206366431116,-0.6157144329796361,-0.5930178536276908
48,-0.9518979708721468,-0.5860312458810334,-0.711668714261579,-0.6805065852661222
49,-1.078753111359373,-0.6701067927297261,-0.8179233182158977,-0.7767240532812584
50,-1.216080569067481,-0.7619365541439894,-0.9348996486736776,-0.8819882516097295
51,-1.36391123354394,-0.861643143156877,-1.062947613665974,-0.9965686121933119
52,-1.5221739996768986,-0.9692762066025397,-1.202335203615152,-1.1206809608461563
53,-1.6906913914757686,-1.0848070089561375,-1.3532387572997582,-1.254482985474805
54,-1.869176803560618,-1.2081240416909644,-1.5157341426968178,-1.3980702696896121
55,-2.0572334598555266,-1.3390297806555709,-1.689789070774053,-1.5514729354155923
56,-2.2543551545317815,-1.4772386942026552,-1.8752567457303604,-1.7146529298070188
57,-2.459928804853026,-1.6223765825299004,-2.071871035171961,-1.887501984778008
58,-2.673238810024288,-1.7739813043532786,-2.279243318544084,-2.0698402717626605
59,-2.8934731751101976,-1.931504921112924,-2.496861142266365,-2.261415769692674
60,-3.119731325076345,-2.094317261942829,-2.724088776056499,-2.461904360232879
61,-3.3510335014028705,-2.261710885186643,-2.9601697276246446,-2.6709106605250357
62,-3.5863316028553363,-2.4329073849012155,-3.2042312331538167,-2.887969599473259
63,-3.8245213032208847,-2.6070649641475137,-3.4552906997147574,-3.112548738390712
64,-4.064455252484099,-2.7832871714962737,-3.7122640340251807,-3.344051330143526
65,-4.304957144366969,-2.9606326736093087,-3.9739757508079263,-3.581820102473483
66,-4.5448364127350445,-3.1381259154906647,-4.239170714480806,-3.82514174087142
67,-4.782903302480505,-3.3147685014839974,-4.506527331035493,-4.073252034354269
68,-5.017984047621455,-3.489551114722342,-4.774671973678336,-4.3253416341286375
69,-5.2489358810276725,-3.6614657808481432,-5.0421943969581235,-4.580562360942219
70,-5.474661596865285,-3.829518273664176,-5.307663870414981,-4.838033982604796
71,-5.6941233889187615,-3.9927404560947974,-5.569645744825642,-5.096851369455481
72,-5.906355695685512,-4.150202349463527,-5.826718152313645,-5.356091923228665
73,-6.110476796749101,-4.301023727546696,-6.077488536201964,-5.61482316454062
74,-6.305698924476643,-4.44438503896298,-6.3206097076191465,-5.8721103566832085
75,-6.491336680373142,-4.579537471942127,-6.554795133488131,-6.127024039014298
76,-6.6668135760102745,-4.7058119890616465,-6.778833174446104,-6.378647342238006
77,-6.831666553667995,-4.82262717578805,-6.991600011145599,-6.626082960343698
78,-6.985548380889054,-4.929495765232391,-7.192071022822988,-6.868459659819074
79,-7.128227855148002,-5.026029722045193,-7.37933041241672,-7.104938215724976
80,-7.2595877987605855,-5.111943790459062,-7.55257890717632,-7.334716675965186
81,-7.379620868892882,-5.187057434787473,-7.711139401814032,-7.557034869170602
82,-7.488423251952952,-5.251295124894414,-7.854460451909529,-7.771178087549989
83,-7.5861863547324715,-5.304684944004841,-7.9821175675189515,-7.976479893296502
84,-7.673186645510805,-5.347355521522883,-8.09381229977266,-8.172324015114727
85,-7.749773836139647,-5.379531319095634,-8.189369155703837,-8.35814531958727
86,-7.816357630186644,-5.40152632385182,-8.268730417723647,-8.533429859921837
87,-7.873393291957855,-5.413736228395065,-8.331948983234351,-8.697714021689713
88,-7.921366316244358,-5.4166292025439295,-8.379179376151571,-8.850582801195827
89,-7.960776498696746,-5.4107353867312735,-8.410667115017318,-8.991667266969868
90,-7.992121721617747,-5.396635261075805,-8.426736651470732,-9.120641268544302
91,-8.015881779451052,-5.374947067012142,-8.427778117751581,-9.237217469306609
92,-8.03250257209712,-5.346313479537251,-8.414233142375606,-9.341142791947126
93,-8.042380992235064,-5.311387747077012,-8.38658000894625,-9.432193376025584
94,-8.045850825002727,-5.2708195321558,-8.345318444127182,-9.510169157529248
95,-8.043169964682571,-5.225240698929873,-8.29095432703342,-9.574888189960198
96,-8.034509233485643,-5.175251302728184,-8.223984613712553,-9.626180835294624
97,-8.019943062194898,-5.121406041601541,-8.144882767054899,-9.663883960790834
98,-7.999442261506338,-5.064201430168775,-8.05408497452654,-9.687835283647612
99,-7.972869076716641,-5.004063951517922,-7.951977423742291,-9.697868009411314
100,-7.939974677392549,-4.94133943341649,-7.838884889302699,-9.693805911245825
101,-7.9003991883679126,-4.8762838805403135,-7.715060863748831,-9.675458995185792
102,-7.85367431953072,-4.809055974860539,-7.580679441192293,-9.642619890832666
103,-7.799228600265838,-4.739711431837591,-7.435829134422137,-9.595061097284532
104,-7.73639517119337,-4.668199370865963,-7.280508775354126,-9.53253320022127
105,-7.664422032195305,-4.594360824825033,-7.1146256148759,-9.454764157981812
106,-7.58248459288256,-4.517929476090825,-6.937995701797816,-9.361459732346763
107,-7.489700320817764,-4.438534665580903,-6.7503465821480955,-9.252305113947664
108,-7.385145235157302,-4.355706678124425,-6.551322319936639,-9.12696776332431
109,-7.267871950078033,-4.268884262598633,-6.340490799328484,-8.985101457381681
110,-7.136928934520281,-4.17742429989038,-6.117353226574437,-8.826351498257862
111,-6.991380623395728,-4.0806134869328226,-5.88135570875951,-8.650361008436931
112,-6.83032799132156,-3.9776818619547947,-5.631902746186318,-8.456778203444948
113,-6.652929183875781,-3.8678179557496835,-5.368372436728955,-8.245264502803627
114,-6.458419793926901,-3.750185317225332,-5.090133154454038,-8.015503312206798
