,TP9,AF7,AF8,TP10
0,-9.471202334017544,-28.626398446304403,-34.95682482850857,-23.1031207313787
1,-11.36125478116608,-29.495761842443095,-34.51391211375372,-24.570954021994915
2,-14.415270803857664,-29.689420566990375,-33.51723736209341,-25.0550940195198
3,-16.373401106457198,-28.36199520553124,-31.92878271259723,-23.076469792818205
4,-16.63824132138902,-27.804388645329684,-30.587726942484256,-22.671700588562455
5,-16.713184627737924,-28.92089156175937,-29.77077432123239,-24.077307811588252
6,-17.527096259877826,-28.99527227973157,-29.200853754208158,-25.701960380696935
7,-20.885922758742687,-28.076033817310407,-28.6868164990122,-26.513040697438072
8,-22.01120927599251,-26.837175007922713,-27.980272438810808,-25.690710614895192
9,-20.199056132435516,-25.761709876949705,-27.995506283550615,-25.49814026704474
10,-18.66720870596672,-24.901967291755568,-28.735137390379503,-26.37115136715685
11,-18.095728824922414,-24.1453613855418,-29.847888959064576,-27.267232921171644
12,-19.67491277217736,-23.720735899470455,-31.272950084805274,-27.025182316675316
13,-20.601499553673733,-23.628681521289003,-32.87340031104776,-25.843440001030483
14,-20.672042526842485,-24.023218975332657,-34.502941556450274,-24.44122486122018
15,-21.537643908169255,-24.659326220453522,-36.11075504184858,-23.269551439629357
16,-22.401136771749986,-24.56797969542534,-37.73954771453475,-21.24136004663822
17,-25.071605605704736,-24.04912900785525,-38.608129922537124,-18.05751225782688
18,-25.963365777861508,-22.97625673869643,-38.88397258550344,-17.08744434033649
19,-26.715678604854407,-23.151840860055113,-39.22378035293094,-16.94418936030979
20,-26.631362905618083,-24.356098729998564,-39.48505812088877,-18.087074682706657
21,-27.637374438775854,-26.17697722971364,-39.7048612573775,-18.987542906864253
22,-29.15556854493218,-27.305311863656044,-39.697044829033324,-18.438380519103283
23,-29.39335077591323,-27.79116590954066,-39.43222957168069,-20.16666011645704
24,-28.61285705949729,-28.779395498941383,-39.6663366223733,-22.77287547278885
25,-28.547978864679767,-29.670184048855504,-39.84072099914062,-25.154734578237154
26,-30.64397841837502,-30.2634939726741,-39.83170429594493,-28.070969876770246
27,-32.71048932847583,-30.664535911835117,-39.55183195608383,-29.54887668354171
28,-33.39716952414105,-31.102329419682462,-39.6095403350784,-32.13913104934752
29,-33.68903002594357,-31.76549314635024,-39.91277696810264,-34.373539208281585
30,-32.961511873370895,-32.38155082981954,-40.041521029188466,-35.811883311786715
31,-33.02443385000405,-31.776865667383888,-39.46323754325871,-35.20757877894664
32,-31.469193606793198,-30.972684234445058,-38.791181441732355,-32.091866515799815
33,-29.673067533018408,-31.00546387598913,-38.097248943854204,-30.67857272514818
34,-27.93916629839796,-31.08917699639344,-36.94817412414399,-29.01613807529858
35,-26.84967494605901,-29.6371368512806,-35.830492350955254,-27.30152866053107
36,-26.60111062991819,-27.70357559297545,-34.76742606843388,-25.556569521498886
37,-24.423126550982666,-25.906750106021942,-33.29316735007445,-23.59223513059335
38,-23.645816295751665,-24.139175467484684,-32.51192067745798,-22.421016650143628
39,-22.676722112706962,-22.764843073891825,-31.721230128462853,-20.468658848251106
