timestamps,TP9,AF7,AF8,TP10,Right AUX
1727670264.221,-50.293,-34.668,-54.199,-25.879,0.000
1727670264.225,-59.082,-39.062,-50.781,-35.156,0.000
1727670264.229,-13.672,-34.180,-31.738,-34.668,0.000
1727670264.233,15.625,-34.668,-29.297,-28.320,0.000
1727670264.237,-8.789,-33.203,-43.945,-21.973,0.000
1727670264.241,-58.105,-43.945,-57.617,-23.438,0.000
1727670264.245,-66.406,-42.480,-60.059,-29.785,0.000
1727670264.249,-26.855,-22.949,-47.363,-31.738,0.000
1727670264.253,11.230,-21.484,-41.992,-18.555,0.000
1727670264.256,3.418,-34.668,-44.922,-14.160,0.000
1727670264.260,-36.133,-37.109,-46.387,-26.367,0.000
1727670264.264,-49.805,-30.762,-47.852,-32.715,0.000
1727670264.264,-49.805,-30.762,-47.852,-32.715,0.000
1727670264.268,-13.672,-20.996,-40.039,-31.738,0.000
1727670264.272,24.902,-16.602,-31.738,-23.926,0.000
1727670264.276,11.719,-25.879,-41.016,-29.297,0.000
1727670264.280,-25.879,-38.574,-53.711,-31.250,0.000
1727670264.284,-48.828,-45.898,-44.922,-29.297,0.000
1727670264.288,-31.250,-41.016,-35.156,-33.203,0.000
1727670264.292,4.883,-39.551,-34.668,-31.250,0.000
1727670264.296,-2.930,-42.480,-39.551,-26.855,0.000
1727670264.299,-36.133,-47.852,-51.758,-25.879,0.000
1727670264.303,-62.500,-46.875,-45.898,-31.250,0.000
1727670264.307,-35.645,-32.227,-35.156,-29.297,0.000
1727670264.311,12.695,-33.691,-29.785,-16.602,0.000
1727670264.315,7.324,-38.086,-30.762,-11.230,0.000
1727670264.319,-31.250,-44.922,-42.969,-14.160,0.000
1727670264.323,-58.105,-57.617,-46.875,-20.020,0.000
1727670264.327,-31.250,-47.363,-38.086,-21.484,0.000
1727670264.331,16.602,-35.645,-35.645,-21.973,0.000
1727670264.335,8.789,-40.039,-40.527,-19.531,0.000
1727670264.339,-31.250,-41.504,-48.828,-20.020,0.000
1727670264.342,-51.758,-38.086,-58.594,-21.973,0.000
1727670264.346,-40.039,-44.434,-48.340,-25.879,0.000
1727670264.350,-2.441,-37.109,-30.762,-28.809,0.000
1727670264.354,16.602,-32.227,-34.668,-14.648,0.000
1727670264.358,-24.414,-53.711,-46.387,-14.160,0.000
1727670264.362,-75.195,-61.523,-51.758,-35.156,0.000
1727670264.366,-56.152,-46.387,-41.992,-36.133,0.000
1727670264.370,-1.953,-35.645,-32.715,-21.973,0.000
1727670264.374,2.930,-38.574,-32.715,-17.578,0.000
1727670264.378,-34.180,-43.945,-37.109,-17.090,0.000
1727670264.381,-60.059,-38.574,-46.387,-21.973,0.000
1727670264.385,-48.828,-37.109,-46.875,-31.738,0.000
1727670264.389,0.488,-38.574,-42.480,-21.973,0.000
1727670264.393,23.438,-31.738,-35.156,-17.090,0.000
1727670264.397,-13.184,-36.133,-39.062,-23.438,0.000
1727670264.401,-54.688,-57.129,-51.270,-17.090,0.000
1727670264.405,-48.340,-59.082,-43.457,-15.625,0.000
1727670264.409,-3.906,-30.762,-24.414,-17.090,0.000
1727670264.413,20.020,-27.832,-32.227,-16.113,0.000
1727670264.417,-13.672,-53.223,-45.410,-18.555,0.000
1727670264.420,-58.105,-46.875,-50.293,-22.949,0.000
1727670264.424,-53.711,-29.785,-48.340,-24.902,0.000
1727670264.428,-13.184,-28.320,-39.551,-19.531,0.000
1727670264.432,13.672,-29.785,-44.434,-11.719,0.000
1727670264.436,1.465,-30.273,-48.340,-3.906,0.000
1727670264.440,-44.434,-30.273,-53.223,-14.648,0.000
1727670264.444,-50.781,-31.738,-50.293,-17.090,0.000
1727670264.448,-0.977,-28.320,-33.691,-7.812,0.000
1727670264.452,29.297,-21.484,-28.320,-5.371,0.000
1727670264.456,0.000,-29.785,-40.527,-12.695,0.000
1727670264.460,0.000,-41.016,-53.711,-19.531,0.000
1727670264.464,0.000,-41.992,-49.316,-24.902,0.000
1727670264.467,0.000,-42.969,-36.621,-24.902,0.000
1727670264.471,0.000,-35.156,-31.738,-15.625,0.000
1727670264.475,0.000,-31.738,-40.039,-13.672,0.000
1727670264.479,0.000,-38.574,-55.664,-13.672,0.000
1727670264.483,0.000,-44.922,-54.688,-27.832,0.000
1727670264.487,0.000,-38.574,-37.109,-31.738,0.000
