timestamps,TP9,AF7,AF8,TP10,Right AUX
1726931664.795,-59.082,-10.254,-47.363,-39.062,0.000
1726931664.799,15.625,-7.324,-50.781,-7.324,0.000
1726931664.802,50.293,-6.836,-49.805,9.766,0.000
1726931664.806,23.438,-13.672,-50.293,-0.977,0.000
1726931664.810,-30.273,-18.066,-47.852,-18.066,0.000
1726931664.814,-59.570,-19.043,-46.387,-27.344,0.000
1726931664.818,2.930,-20.508,-50.293,-5.371,0.000
1726931664.822,30.273,-20.996,-53.711,1.465,0.000
1726931664.826,9.277,-15.625,-53.711,-9.766,0.000
1726931664.830,-37.598,-18.555,-47.363,-16.113,0.000
1726931664.834,-65.918,-20.996,-44.922,-23.926,0.000
1726931664.838,-5.371,-15.625,-48.340,-17.090,0.000
1726931664.841,41.016,-20.508,-45.410,-5.859,0.000
1726931664.845,23.926,-21.484,-43.457,0.488,0.000
1726931664.849,-24.414,-19.531,-45.898,-12.207,0.000
1726931664.853,-70.312,-25.879,-47.363,-35.645,0.000
1726931664.857,-20.020,-27.344,-43.945,-21.484,0.000
1726931664.861,41.016,-23.926,-34.180,5.371,0.000
1726931664.865,20.996,-20.996,-38.086,-2.441,0.000
1726931664.869,-40.527,-26.855,-40.039,-28.809,0.000
1726931664.873,-84.473,-32.227,-35.156,-43.945,0.000
1726931664.877,-34.180,-31.738,-36.621,-23.438,0.000
1726931664.881,18.066,-31.738,-40.039,-1.465,0.000
1726931664.884,13.184,-25.879,-38.086,-2.441,0.000
1726931664.888,-21.484,-24.414,-35.156,-16.602,0.000
1726931664.892,-69.336,-23.926,-30.762,-25.879,0.000
1726931664.896,-35.156,-23.926,-29.297,-20.996,0.000
1726931664.900,28.320,-15.625,-28.320,-2.441,0.000
1726931664.904,23.926,-17.090,-26.367,4.395,0.000
1726931664.908,-8.789,-25.391,-22.461,-1.465,0.000
1726931664.912,-73.730,-31.250,-29.297,-30.273,0.000
1726931664.916,-61.523,-35.156,-36.621,-33.691,0.000
1726931664.920,20.020,-28.320,-32.715,0.000,0.000
1726931664.924,32.227,-27.832,-24.414,14.160,0.000
1726931664.927,-14.648,-29.785,-30.273,-20.020,0.000
1726931664.931,-75.684,-28.809,-38.574,-41.992,0.000
1726931664.935,-59.570,-29.297,-33.691,-32.227,0.000
1726931664.939,14.160,-30.762,-26.855,-5.371,0.000
1726931664.943,29.785,-35.156,-22.949,17.578,0.000
1726931664.947,-4.883,-33.691,-27.344,-1.465,0.000
1726931664.951,-70.801,-34.668,-32.715,-28.320,0.000
1726931664.955,-69.336,-37.598,-38.086,-31.250,0.000
1726931664.959,4.395,-32.715,-36.621,-14.648,0.000
1726931664.963,20.020,-29.785,-38.086,-9.766,0.000
1726931664.967,-5.371,-30.762,-36.621,-12.695,0.000
1726931664.970,-62.500,-32.227,-36.621,-36.621,0.000
1726931664.974,-76.660,-35.156,-38.086,-57.129,0.000
1726931664.978,-3.906,-28.809,-37.598,-28.320,0.000
1726931664.982,22.949,-27.344,-37.109,-11.230,0.000
1726931664.986,-4.883,-27.832,-26.855,-12.207,0.000
1726931664.990,-61.523,-28.320,-23.926,-28.320,0.000
1726931664.994,-80.078,-32.715,-27.832,-41.504,0.000
1726931664.998,1.953,-29.785,-24.902,-8.301,0.000
1726931665.002,35.645,-22.461,-29.785,6.348,0.000
1726931665.006,-1.465,-21.973,-39.551,-12.207,0.000
1726931665.010,-54.688,-25.391,-35.156,-35.156,0.000
1726931665.013,-72.754,-24.902,-30.273,-35.645,0.000
1726931665.017,-14.648,-23.926,-42.969,-27.832,0.000
1726931665.021,17.090,-25.879,-45.898,-25.391,0.000
1726931665.025,-5.859,-32.227,-42.480,-31.250,0.000
1726931665.029,-61.035,-36.133,-42.480,-53.711,0.000
1726931665.033,-89.844,-37.598,-41.016,-58.594,0.000
1726931665.037,-26.855,-40.527,-43.945,-38.086,0.000
1726931665.041,8.789,-39.062,-43.457,-22.949,0.000
1726931665.045,-12.207,-39.062,-43.945,-26.855,0.000
1726931665.049,-49.316,-37.109,-41.992,-37.109,0.000
1726931665.052,-84.961,-35.645,-41.992,-49.805,0.000
1726931665.056,-30.762,-30.273,-46.875,-37.598,0.000
1726931665.060,23.438,-30.273,-47.363,-15.625,0.000
1726931665.064,-2.930,-34.180,-42.480,-24.902,0.000
1726931665.068,-44.922,-37.598,-38.574,-38.086,0.000
1726931665.072,-84.473,-39.062,-46.875,-56.641,0.000
1726931665.076,-40.527,-34.668,-51.758,-52.246,0.000
1726931665.080,9.277,-31.738,-43.457,-36.133,0.000
1726931665.084,-5.371,-33.203,-38.574,-38.574,0.000
1726931665.088,-46.387,-34.180,-37.598,-51.270,0.000
1726931665.092,-98.145,-33.691,-35.645,-65.430,0.000
1726931665.095,-60.059,-33.691,-38.086,-48.340,0.000
1726931665.099,7.324,-30.273,-35.645,-27.832,0.000
1726931665.103,12.207,-28.809,-30.762,-22.461,0.000
1726931665.107,-37.109,-35.156,-37.109,-39.551,0.000
1726931665.111,-93.262,-31.738,-37.109,-57.617,0.000
1726931665.115,-52.734,-27.344,-34.668,-43.457,0.000
1726931665.119,9.766,-24.902,-41.016,-27.832,0.000
1726931665.123,11.719,-18.066,-38.574,-23.438,0.000
1726931665.127,-8.301,-13.672,-24.414,-22.461,0.000
