timestamps,TP9,AF7,AF8,TP10,Right AUX
1726384520.993,-41.992,-56.641,-10.254,-32.227,0.000
1726384520.997,-277.832,-53.223,-14.648,-39.551,0.000
1726384521.000,-208.008,-17.090,-12.695,-43.457,0.000
1726384521.004,81.543,15.137,-10.742,-25.391,0.000
1726384521.008,199.707,2.930,-6.836,-18.555,0.000
1726384521.012,12.207,-33.203,-12.695,-24.414,0.000
1726384521.016,-236.816,-55.176,-23.438,-47.852,0.000
1726384521.020,-203.125,-43.945,-24.414,-63.965,0.000
1726384521.024,65.918,-6.836,-19.043,-40.527,0.000
1726384521.028,190.918,25.391,-13.672,-20.020,0.000
1726384521.032,40.527,15.137,-21.484,-25.391,0.000
1726384521.036,-209.473,-23.926,-36.133,-45.410,0.000
1726384521.040,-218.262,-1.465,-20.020,-45.898,0.000
1726384521.043,38.086,28.320,-17.578,-8.789,0.000
1726384521.047,196.289,11.719,-33.691,-19.531,0.000
1726384521.051,54.688,-22.949,-33.203,-44.922,0.000
1726384521.055,-207.031,-54.688,-24.414,-48.828,0.000
1726384521.059,-236.328,-37.598,-19.531,-50.781,0.000
1726384521.063,9.277,-12.695,-16.113,-42.969,0.000
1726384521.067,189.453,-31.738,-29.785,-41.992,0.000
1726384521.071,76.660,-58.594,-46.387,-45.898,0.000
1726384521.075,-193.848,-72.754,-39.062,-54.199,0.000
1726384521.079,-257.812,-48.828,-24.902,-41.504,0.000
1726384521.082,-3.906,6.836,-6.348,-22.949,0.000
1726384521.086,202.148,4.395,-15.625,-31.738,0.000
1726384521.090,93.750,-26.855,-26.367,-32.227,0.000
1726384521.094,-187.988,-61.035,-26.855,-39.062,0.000
1726384521.098,-277.344,-57.617,-28.320,-61.035,0.000
1726384521.102,-48.340,-20.020,-30.273,-40.527,0.000
1726384521.106,168.457,-33.203,-43.945,-34.668,0.000
1726384521.110,104.004,-59.570,-55.664,-53.223,0.000
1726384521.114,-167.480,-70.312,-51.758,-53.223,0.000
1726384521.118,-295.410,-57.617,-31.250,-63.965,0.000
1726384521.122,-88.867,-27.832,-17.090,-48.340,0.000
1726384521.125,157.227,-23.926,-26.367,-32.227,0.000
1726384521.129,124.023,-41.504,-41.504,-31.738,0.000
1726384521.133,-140.137,-48.828,-46.387,-50.781,0.000
1726384521.137,-287.109,-48.828,-51.270,-70.801,0.000
1726384521.141,-93.750,-32.227,-41.992,-50.293,0.000
1726384521.145,161.133,-29.297,-36.133,-31.738,0.000
1726384521.149,149.414,-38.574,-67.383,-39.062,0.000
1726384521.153,-93.262,-47.852,-79.590,-60.059,0.000
