timestamps,TP9,AF7,AF8,TP10,Right AUX
1726384419.363,65.918,-57.617,-21.973,-25.391,0.000
1726384419.367,-85.449,-62.988,-43.457,-45.410,0.000
1726384419.371,-174.316,-50.293,-49.316,-46.875,0.000
1726384419.375,-67.383,-26.367,-44.434,-36.621,0.000
1726384419.379,67.383,-28.320,-35.645,-23.438,0.000
1726384419.383,59.082,-44.922,-38.086,-23.926,0.000
1726384419.386,-78.613,-42.969,-47.363,-38.574,0.000
1726384419.390,-163.574,-36.621,-31.250,-30.762,0.000
1726384419.394,-77.637,-21.973,-15.625,-23.438,0.000
1726384419.398,75.684,-9.277,-17.578,-22.461,0.000
1726384419.402,83.984,-14.648,-27.832,-15.137,0.000
1726384419.406,-41.504,-38.086,-30.273,-15.625,0.000
1726384419.410,-156.250,-48.828,-28.320,-37.598,0.000
1726384419.414,-94.238,-31.738,-37.598,-52.734,0.000
1726384419.418,72.754,-36.133,-47.363,-39.551,0.000
1726384419.422,112.305,-55.664,-44.434,-18.066,0.000
1726384419.426,-19.043,-66.895,-45.410,-17.578,0.000
1726384419.430,-194.336,-65.430,-31.738,-34.180,0.000
1726384419.433,-129.883,-33.691,-20.020,-40.527,0.000
1726384419.437,54.688,-13.184,-17.578,-31.250,0.000
1726384419.441,97.168,-15.137,-14.648,-6.836,0.000
1726384419.445,-23.926,-31.250,-24.414,-9.766,0.000
1726384419.449,-150.391,-42.969,-38.086,-45.898,0.000
1726384419.453,-117.676,-36.621,-43.945,-54.688,0.000
1726384419.457,40.039,-28.320,-33.203,-21.973,0.000
1726384419.461,93.262,-38.574,-20.996,-20.020,0.000
1726384419.465,-37.598,-54.688,-33.203,-39.062,0.000
1726384419.469,-166.992,-62.012,-38.086,-43.457,0.000
1726384419.473,-135.742,-41.504,-26.367,-45.410,0.000
1726384419.476,25.879,-21.484,-41.504,-44.434,0.000
1726384419.480,95.703,-32.715,-66.895,-49.805,0.000
1726384419.484,-6.836,-48.828,-65.918,-45.898,0.000
1726384419.488,-159.668,-75.684,-47.363,-56.152,0.000
1726384419.492,-169.434,-75.684,-21.484,-64.453,0.000
1726384419.496,-21.484,-47.363,-7.812,-47.852,0.000
1726384419.500,77.637,-37.109,-17.090,-44.922,0.000
1726384419.504,0.000,-47.363,-38.086,-35.645,0.000
1726384419.508,-150.391,-65.430,-46.875,-32.715,0.000
1726384419.512,-175.293,-51.758,-39.551,-56.152,0.000
1726384419.516,-33.203,-23.438,-48.340,-47.852,0.000
1726384419.520,97.656,-27.344,-57.129,-28.809,0.000
1726384419.523,62.988,-45.898,-33.691,-25.391,0.000
1726384419.527,-129.883,-55.664,-23.438,-37.598,0.000
1726384419.531,-177.246,-71.289,-40.527,-50.781,0.000
1726384419.535,-7.324,-39.551,-57.129,-27.832,0.000
1726384419.539,95.215,-4.883,-47.363,-16.602,0.000
1726384419.543,52.246,-17.578,-19.043,-18.555,0.000
1726384419.547,-97.656,-27.344,-20.020,-27.344,0.000
1726384419.551,-160.645,-23.926,-27.832,-51.270,0.000
1726384419.555,-32.715,0.488,-29.785,-47.363,0.000
1726384419.559,97.656,-1.953,-28.809,-21.484,0.000
1726384419.563,71.777,-15.137,-23.926,-13.672,0.000
1726384419.567,-76.172,-32.227,-25.879,-31.250,0.000
1726384419.570,-145.508,-41.992,-26.367,-37.109,0.000
1726384419.574,-49.805,-15.137,-20.996,-33.203,0.000
1726384419.578,74.219,-3.418,-19.043,-25.391,0.000
1726384419.582,76.172,-16.113,-24.902,-20.996,0.000
1726384419.586,-77.148,-30.762,-38.574,-32.715,0.000
1726384419.590,-192.383,-46.387,-42.969,-46.387,0.000
1726384419.594,-87.891,-25.879,-17.578,-32.227,0.000
1726384419.598,74.219,-3.418,-4.883,-12.695,0.000
1726384419.602,91.309,-21.973,-14.648,-17.090,0.000
1726384419.606,-53.711,-46.875,-27.344,-37.109,0.000
1726384419.610,-180.176,-54.199,-33.203,-65.430,0.000
1726384419.613,-107.910,-51.758,-24.414,-57.617,0.000
1726384419.617,46.875,-57.129,-24.414,-28.809,0.000
1726384419.621,80.078,-71.289,-26.855,-20.020,0.000
1726384419.625,-56.152,-63.477,-17.090,-20.996,0.000
1726384419.629,-186.035,-39.551,-9.277,-49.805,0.000
1726384419.633,-140.137,-21.484,-11.230,-68.359,0.000
1726384419.637,22.949,-6.348,-17.578,-39.062,0.000
1726384419.641,83.008,-17.090,-12.695,-36.621,0.000
1726384419.645,-40.039,-40.039,-12.207,-52.734,0.000
1726384419.649,-177.734,-58.105,-22.949,-62.012,0.000
1726384419.653,-140.137,-45.898,-24.902,-53.711,0.000
1726384419.657,27.832,-23.438,-21.973,-41.504,0.000
1726384419.660,80.078,-38.086,-20.996,-37.109,0.000
1726384419.664,-21.973,-68.359,-35.156,-24.902,0.000
1726384419.668,-122.070,-61.523,-41.504,-25.879,0.000
1726384419.672,-113.281,-32.227,-39.551,-41.992,0.000
1726384419.676,6.348,-18.555,-43.457,-39.551,0.000
1726384419.680,85.938,-39.062,-50.293,-30.762,0.000
1726384419.684,4.883,-61.035,-31.250,-39.062,0.000
1726384419.688,-134.277,-67.383,-11.230,-36.621,0.000
1726384419.692,-134.766,-27.344,-16.602,-36.621,0.000
1726384419.696,40.527,12.695,-23.438,-21.484,0.000
1726384419.700,145.996,5.371,-36.621,-18.066,0.000
1726384419.703,14.648,-1.465,-45.410,-19.043,0.000
1726384419.707,-160.645,-16.113,-34.668,-3.906,0.000
1726384419.711,-148.438,-23.926,-24.414,-18.555,0.000
1726384419.715,46.875,-9.277,-34.180,-24.414,0.000
1726384419.719,136.230,-10.742,-37.109,4.395,0.000
